"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;42,019705553484926;35,321611380295735;29,95512113306006;35,13895514970807;37,320701950552916;41,49485972;30,281300509337882;29,95512113306006;42,019705553484926
2, Jan;41,63859982606539;35,55168219654621;28,64311715741087;35,71834389365142;40,81236799602442;38,74712394;32,413015280135824;28,64311715741087;41,63859982606539
3, Jan;40,078912908435825;35,67709404895021;30,94565411852409;38,55056901478446;38,927574854019156;37,93795586;34,919267878376104;30,94565411852409;40,078912908435825
4, Jan;42,73387128835884;37,689348987451865;33,05244999378806;36,3859075661573;39,250352838862;42,46456027;39,967473684210574;33,05244999378806;42,73387128835884
5, Feb;42,7224214188098;37,84298794881357;31,928633370605098;36,71486768542678;39,73514598086723;38,43497453;41,591215619694424;31,928633370605098;42,7224214188098
6, Feb;43,70251832525781;38,7458379922972;33,967366132438826;35,73815008075542;37,9797552490993;42,49696435;35,651932088285264;33,967366132438826;43,70251832525781
7, Feb;44,38903342030068;39,92813641446145;34,8824015405641;38,73164244005471;38,49380916884087;39,9573107;41,60738200339563;34,8824015405641;44,38903342030068
8, Feb;45,26669772642566;40,304113554478874;36,05211703317184;42,120078270592614;37,299506771027495;40,09999321;43,60433616298815;36,05211703317184;45,26669772642566
9, Mar;47,82580320536715;41,718828425891445;34,248742700956655;45,111048577463066;38,40084855261529;38,55198162;46,433022071307334;34,248742700956655;47,82580320536715
10, Mar;49,395667784818045;43,56861846192078;36,762307118896786;42,88297304012923;42,26969934153317;45,10787436;46,40609168081494;36,762307118896786;49,395667784818045
11, Mar;50,47960864703697;44,54686669151448;37,71686047956268;43,873466269101755;44,00674742204001;47,92883192;45,19257385398987;37,71686047956268;50,47960864703697
12, Mar;51,53570008696738;44,31097154926084;36,778865697602214;42,41218412225123;44,01176667909061;43,65401698;51,47090322580652;36,778865697602214;51,53570008696738
13, Apr;51,617419555224274;45,68308734004228;41,000667163622836;45,04293079885707;42,15930550378931;50,72458744;47,797500848896505;41,000667163622836;51,617419555224274
14, Apr;50,7853758230836;45,68302770530505;40,24461796496462;48,203092309603676;46,09360790160275;48,29923939;44,932135823429576;40,24461796496462;50,7853758230836
15, Apr;52,75574729780101;46,619511740588905;41,12172568020878;48,13280531743072;48,45959870791404;52,38799488;48,98212563667232;41,12172568020878;52,75574729780101
16, May;51,39830165237919;45,79166231830044;37,58212572990436;45,38155423033919;47,67628401043612;40,91554688;47,93637011884556;37,58212572990436;51,39830165237919
17, May;51,97914399304261;45,11284010436083;39,64540812523296;43,44891166604549;43,20485650391356;45,79057069;43,87652971137527;39,64540812523296;51,97914399304261
18, May;49,88747546279046;43,35655733631506;34,10023232699717;46,99285485164398;46,53875885203132;45,13329372;48,38723599320883;34,10023232699717;49,88747546279046
19, May;50,005095042862536;41,51064355820603;32,434395577090356;41,30277071290948;40,031096856055285;44,13724771;48,61344651952464;32,434395577090356;50,005095042862536
20, Jun;45,78392968070568;39,269172568020906;30,511950552863766;44,93243260032301;37,23136679920481;40,57136163;32,39425591098751;30,511950552863766;45,78392968070568
21, Jun;44,81911914523545;36,27477326375953;27,92487638215931;36,72154912226671;35,17662872154119;32,79186813;28,63171052631583;27,92487638215931;44,81911914523545
22, Jun;43,0077736364766;35,34461051062249;27,59004721083369;32,4892376905774;31,651784672500696;37,38808972;31,922152801358266;27,59004721083369;43,0077736364766
23, Jun;41,77297676730029;34,55478817244381;27,921338054416708;40,71894589789184;35,6373665537817;37,42590274;32,21903577512779;27,921338054416708;41,77297676730029
24, Jul;39,72464281277183;32,54879488135174;25,397019505528647;34,92761431411532;31,283841032043313;33,90661455;30,37126888217523;25,397019505528647;39,72464281277183
25, Jul;37,751786557336345;32,526173437694126;25,046029320412515;30,54450129198966;31,519157740993194;34,16562059;29,133070175438604;25,046029320412515;37,751786557336345
26, Jul;37,29685302522057;31,59614983227732;25,991716983476238;28,41994026879047;28,673875968992263;36,52031291;25,955459459459462;25,991716983476238;37,29685302522057
27, Jul;35,66149248167022;29,930680999130175;25,28946812476704;30,998321631561396;28,026856419987382;28,93911765;26,606743674367465;25,28946812476704;35,66149248167022
28, Aug;35,199837246862955;29,87047956267861;25,458264380668425;33,83865531415154;29,28792761904765;27,02741497;28,13878106508878;25,458264380668425;35,199837246862955
29, Aug;31,992333913908965;28,53748444886793;24,55533963672559;28,680058479532192;21,487578897786193;25,74738983;26,032789317507422;24,55533963672559;31,992333913908965
30, Aug;33,15877873027705;28,367326375947357;24,506633122127027;28,2923144104804;26,66456953642387;24,28714515;30,611652572233993;24,506633122127027;33,15877873027705
31, Aug;32,026553609144;27,95441545533606;22,581206361038653;26,81619276218612;24,861247137205908;24,24108864;26,98869404949977;22,581206361038653;32,026553609144
