"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,06510000000003;34,45912500000003;28,488625000000013;30,89322672352523;35,790137500000014;39,81889267;29,804173764906352;28,488625000000013;40,06510000000003
2, Jan;39,933100000000024;34,871425000000045;29,70707500000003;35,033275;39,42978750000003;34,7634753;31,51139693356049;29,70707500000003;39,933100000000024
3, Jan;39,111699999999985;34,68965000000003;28,66025000000002;36,80868750000002;37,60445000000004;22,98904762;38,22543441226577;28,66025000000002;39,111699999999985
4, Jan;40,102599999999995;35,73009999999999;32,394450000000006;37,30728750000003;33,73787500000003;38,75618399;39,676712095400376;32,394450000000006;40,102599999999995
5, Feb;39,064824999999985;35,23810000000003;28,718750000000057;32,980887499999994;38,47905000000003;34,9934753;37,90155025553668;28,718750000000057;39,064824999999985
6, Feb;40,135050000000035;36,41202500000003;31,02135000000004;31,82642500000003;35,07747500000005;39,21722317;35,74967632027261;31,02135000000004;40,135050000000035
7, Feb;41,99555000000004;37,456200000000024;33,62555000000003;35,250625000000014;34,77408750000001;34,73730835;37,678603066439564;33,62555000000003;41,99555000000004
8, Feb;41,99155000000002;37,7457;32,64665000000002;39,43172500000003;35,12393750000001;35,54860307;41,601550255536665;32,64665000000002;41,99155000000002
9, Mar;46,18225000000001;39,86862500000001;35,778250000000014;43,950237500000014;37,6103875;38,21826235;44,62511073253836;35,778250000000014;46,18225000000001
10, Mar;44,720500000000015;40,33020000000005;35,515075000000024;40,364675000000034;37,75132500000001;42,20313458;41,88500851788763;35,515075000000024;44,720500000000015
11, Mar;45,247975000000054;40,2371;35,29695000000004;40,44947500000001;40,165237500000046;39,04318569;41,181959114139715;35,29695000000004;45,247975000000054
12, Mar;44,25055000000003;40,49085000000002;36,142825000000016;39,684387500000014;37,84207500000002;39,44647359;42,31725724020447;36,142825000000016;44,25055000000003
13, Apr;45,320550000000026;40,998125000000016;35,50045;39,24718750000005;40,25271250000003;43,79715503;44,259250425894436;35,50045;45,320550000000026
14, Apr;45,4898;41,04312500000003;36,14530000000002;43,81770000000006;38,21393750000004;41,52189097;41,52538330494042;36,14530000000002;45,4898
15, Apr;46,009450000000015;42,37640000000005;38,08660000000003;45,295487500000036;44,47557499999999;45,08434412;40,602078364565614;38,08660000000003;46,009450000000015
16, May;45,48815000000002;41,95982500000002;35,96300000000002;42,98398750000001;42,56967500000002;38,15078365;43,32947189097109;35,96300000000002;45,48815000000002
