"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;32,79369553986572;28,03166350955746;24,41845186843466;25,49058001035735;28,359053937618512;30,60731132;25,996591230551644;24,41845186843466;32,79369553986572
2, Jan;32,40977961432509;28,451790633608823;23,9628099173554;28,239255172413834;29,53435848730794;28,31227208;26,73098422415825;23,9628099173554;32,40977961432509
3, Jan;32,788980716253434;28,474517906336132;23,203002754821;28,093429260727248;30,020937284631316;25,36920386;30,459056872037934;23,203002754821;32,788980716253434
4, Jan;35,35732782369149;29,98090909090911;26,261625344352638;28,490499655410076;28,432983787512967;31,1543775;35,02440245630612;26,261625344352638;35,35732782369149
5, Feb;35,93567493112948;30,600082644628117;25,599834710743835;26,685756635642917;32,15101309441769;29,45411523;35,55875530410185;25,599834710743835;35,93567493112948
6, Feb;36,86721763085404;31,778760330578564;27,70826446280995;28,884210344827636;30,720700000000022;29,53355658;33,369717580607244;27,70826446280995;36,86721763085404
7, Feb;36,58950413223147;32,65413223140496;28,850082644628117;30,180493103448327;30,828139534883746;32,18674594;33,51064531323601;28,850082644628117;36,58950413223147
8, Feb;38,46117272257624;33,86969347339419;29,465408989151058;33,12782219159203;31,01861379310344;32,47149965;38,14413314514235;29,465408989151058;38,46117272257624
9, Mar;39,33005509641873;34,764269972451814;30,546473829201148;36,93177716548996;32,52379465056083;34,75118704;38,001750588235325;30,546473829201148;39,33005509641873
10, Mar;40,09515151515154;35,29509641873284;31,46539944903583;33,288179310344844;32,563386179562315;32,8892333;38,54745351847498;31,46539944903583;40,09515151515154
11, Mar;39,81330578512399;35,89344352617087;31,466611570248006;34,95629329657078;34,1468337639966;35,66730009;37,55426823529416;31,466611570248006;39,81330578512399
12, Mar;41,89159779614329;35,92443526170803;31,599421487603365;33,99833907649901;32,859358841778715;33,69116317;41,81154316631387;31,599421487603365;41,89159779614329
13, Apr;40,40914600550968;36,60107438016536;32,10471074380172;33,820932597828005;34,1879586206897;35,73636814;38,94957186544349;32,10471074380172;40,40914600550968
14, Apr;39,738099173553735;36,31404958677689;32,06807162534437;39,32572019297038;35,06427832384901;38,1582744;38,52890249646731;32,06807162534437;39,738099173553735
15, Apr;39,90287657083837;36,77143226028579;33,12208813909456;36,85261498708013;38,75978980013787;37,42700635;37,58052309142323;33,12208813909456;39,90287657083837
16, May;40,820688705234204;36,66812672176309;32,74118457300278;34,64606483876531;36,854455547898;34,31446437;40,032143698468815;32,74118457300278;40,820688705234204
17, May;39,28165289256202;35,78862258953171;30,95231404958679;36,12580472658277;34,489075862069;33,25109228;36,62109592269627;30,95231404958679;39,28165289256202
