"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,690240601503774;34,79460150375945;29,695533834586513;31,754165413533883;36,65436090225569;39,65455567;31,466363636363667;29,695533834586513;39,690240601503774
2, Jan;39,9214586466166;35,61541353383461;29,522120300751908;35,15375939849628;37,74120181405897;35,03259448;32,186915219611876;29,522120300751908;39,9214586466166
3, Jan;38,39610526315789;34,42777443609026;29,03315789473686;36,473413533834616;37,33687218045117;18,90966667;34,616466165413556;29,03315789473686;38,39610526315789
4, Jan;40,09327819548872;36,171203007518784;32,333308270676696;36,19821052631579;35,79413533834588;39,28783453;37,77379979570992;32,333308270676696;40,09327819548872
5, Feb;40,1108421052632;36,513849624060185;30,386240601503744;33,54554887218046;39,43354887218044;36,52648283;39,001971399387116;30,386240601503744;40,1108421052632
6, Feb;42,0966165413534;37,596285714285784;32,96350375939852;33,60565413533834;35,488962406015105;39,6745761;37,15929519918291;32,96350375939852;42,0966165413534
7, Feb;43,159022556390994;38,30058646616544;34,28590977443611;35,71596992481204;37,015263157894765;37,74068437;40,03909090909093;34,28590977443611;43,159022556390994
8, Feb;42,65664661654142;38,89192481203014;34,193157894736885;39,47905263157901;34,96846616541353;37,32679265;41,89831460674162;34,193157894736885;42,65664661654142
9, Mar;46,4908421052632;40,86996992481204;36,42810526315793;43,84624060150378;38,70615037593984;40,30107252;43,914821246169595;36,42810526315793;46,4908421052632
10, Mar;47,7015187969925;41,63821052631579;35,98052631578952;40,29584962406017;38,83455639097747;41,04058223;44,59026557711951;35,98052631578952;47,7015187969925
11, Mar;46,7847368421053;41,905218045112804;36,628526315789486;40,75018045112785;40,847684210526324;42,17561798;42,70779366700714;36,628526315789486;46,7847368421053
12, Mar;47,56828571428571;42,29968421052632;37,97736842105269;40,77209022556394;39,83445112781959;41,90309499;47,02319713993876;37,97736842105269;47,56828571428571
13, Apr;47,23998496240603;43,13601503759401;38,3595338345865;39,080736842105296;40,95993984962411;46,97400409;45,72252298263538;38,3595338345865;47,23998496240603
