"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,62015192135834;31,699305927911837;27,43545129579985;27,235658914728674;32,727295204051245;35,51488438;29,09770292207793;27,43545129579985;38,62015192135834
2, Jan;38,276916890080486;32,28704498063752;27,442767351802217;30,98988084599347;32,64729439809298;32,92376876;30,178024340770833;27,442767351802217;38,276916890080486
3, Jan;37,22776586237717;32,62162943103965;27,930059577003306;31,887104557640782;33,955320226392644;32,54477401;31,230448247758773;27,930059577003306;37,22776586237717
4, Jan;39,875296395591306;34,3891123026512;30,421403038427172;32,777047959487675;32,28746797736079;37,72555375;38,551096669374544;30,421403038427172;39,875296395591306
5, Feb;40,92311289842121;35,21218051831994;29,891310694072104;30,422749478701235;36,91739946380699;35,50184189;39,53823051948058;29,891310694072104;40,92311289842121
6, Feb;42,527426273458445;36,51848972296699;31,443482275841575;32,7645844504022;34,64775990467683;34,41784295;36,59890872210957;31,443482275841575;42,527426273458445
7, Feb;41,78245159368487;37,81569556151328;33,555701519213585;35,50502532022642;35,07876973488237;36,39856795;37,855517241379346;33,555701519213585;41,78245159368487
8, Feb;43,613014596365815;38,957858206732226;34,17315758117371;38,718871015787954;34,5730682156688;36,5929082;42,97854361054772;34,17315758117371;43,613014596365815
9, Mar;44,632281799225495;40,14994638069709;34,768069705093865;42,5798302055407;37,05338397378614;39,64362013;43,552044624746486;34,768069705093865;44,632281799225495
10, Mar;45,60710455764075;40,686687518617816;36,08882037533516;39,175439380399155;38,158996127494845;40,03288032;44,26794726166332;36,08882037533516;45,60710455764075
11, Mar;45,63806076854337;41,499198689305956;35,34458445040218;41,01415251712842;40,374283586535626;43,12035714;42,55252332657204;35,34458445040218;45,63806076854337
12, Mar;46,450119154006586;40,876952636282454;36,37807864164432;39,18516234733397;37,56055704498067;40,40007708;46,31435699797163;36,37807864164432;46,450119154006586
13, Apr;47,57112004766162;42,083363121834964;36,94963658028007;38,81111408996128;38,185853440571975;45,58027597;44,215217038539606;36,94963658028007;47,57112004766162
14, Apr;45,44412570747693;41,694206136431376;37,62812332439677;45,7454125707477;39,5023860589813;44,28070994;44,14080730223128;37,62812332439677;45,44412570747693
15, Apr;46,49535001489426;42,27679773607389;37,67914507000302;42,85110217456065;44,40697944593387;44,53469968;41,845957792207855;37,67914507000302;46,49535001489426
16, May;46,11110217456064;41,91321120047667;37,303476318141236;41,124852546916884;41,998269288054814;38,35093306;45,23020283975666;37,303476318141236;46,11110217456064
17, May;45,22717009234435;41,00511468573137;35,76455466190055;41,859115281501374;36,3448688915376;38,63329412;42,273062550771726;35,76455466190055;45,22717009234435
18, May;45,2037682454573;39,95002978850164;32,901069407208865;40,8017461263409;39,40765266607093;36,32486201;43,20987018255579;32,901069407208865;45,2037682454573
19, May;43,864739350610705;38,538507596067916;29,663750372356276;36,98821596244136;36,96453516090588;39,92563489;41,39245841784992;29,663750372356276;43,864739350610705
20, Jun;44,3709770628538;38,04513851653263;31,106324098897858;40,64061978545891;34,80574582338903;41,65868186;41,10193469387758;31,106324098897858;44,3709770628538
