"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,010181515655745;30,776304643775518;23,879314778399646;31,871851459688457;32,46426108001816;34,44205542;25,169287510477773;23,879314778399646;37,010181515655745
2, Jan;37,84740432612318;31,762781727424056;25,471473302072354;32,77687641809109;37,444424444108336;29,83533059;26,09963329213025;25,471473302072354;37,84740432612318
3, Jan;35,80002873997881;31,31192104068981;26,57179700499171;34,15677960974136;34,22007737824305;29,24709161;31,292623018324093;26,57179700499171;35,80002873997881
4, Jan;36,20860837997276;32,43225986991382;27,389730751777392;34,0477461806081;32,3452136752137;34,98474486;34,671411522633775;27,389730751777392;36,20860837997276
5, Feb;38,21442898199973;32,782657691725944;26,012099531084573;30,900133414190464;35,92063275809875;29,06257467;34,48793415637863;26,012099531084573;38,21442898199973
6, Feb;38,03509151414312;33,732734835879626;27,428889729239188;28,866092303021162;33,21909228441757;34,84772016;33,29282304526754;27,428889729239188;38,03509151414312
7, Feb;38,97035698078963;34,98391014975044;31,25603842081381;32,559677809711104;32,94593645990926;33,27117284;35,92820576131686;31,25603842081381;38,97035698078963
8, Feb;39,527295416729714;35,37973528966876;31,105743457873302;34,9658735440932;34,81169717138107;34,2124321;38,73897119341569;31,105743457873302;39,527295416729714
9, Mar;44,29091967932237;37,30123581908941;32,25631069429744;40,359499319316285;35,56510210255635;35,38683409;40,75291358024691;32,25631069429744;44,29091967932237
10, Mar;43,16302979882016;37,9011813643927;32,914946301618556;37,097967922529904;35,93125850854642;39,37462963;37,53493004115228;32,914946301618556;43,16302979882016
11, Mar;43,55028739978826;37,840216306156435;31,82028588715781;38,08008924519743;38,07180003025263;37,50585185;36,49525102880665;31,82028588715781;43,55028739978826
12, Mar;43,924258054757274;38,93049614279238;33,43826803811834;38,178153078203025;35,3874583963692;37,91119342;38,963724279835446;33,43826803811834;43,924258054757274
13, Apr;44,45133111480868;39,24129934956892;34,06660263197705;37,904548515457634;38,418897292391534;39,49496783;42,10912757201652;34,06660263197705;44,45133111480868
14, Apr;43,332396006655586;39,149694448646244;33,04619422175165;40,82806959152805;36,51295870518834;38,12038272;39,63039917695477;33,04619422175165;43,332396006655586
15, Apr;45,42408561488429;40,78878081984573;36,40793677204664;42,52730146725162;42,84742550294965;40,11204938;38,607575632846306;36,40793677204664;45,42408561488429
16, May;45,13891241869618;40,08759794282258;34,4473982756013;39,822470125548364;40,526926334896416;38,17028459;40,425465020576155;34,4473982756013;45,13891241869618
17, May;45,8506474058388;39,88747088186358;34,06907124489493;39,58083812405448;43,905192860384204;36,31833745;40,29683950617289;34,06907124489493;45,8506474058388
18, May;43,88381636666168;38,86258508546365;33,3104810164877;39,42115012106541;40,77062017849045;36,00906173;39,72815226337451;33,3104810164877;43,88381636666168
19, May;43,99480713961583;38,527482982907316;32,86830887914084;34,28574292272384;38,039295007564306;36,95819342;37,19169547325106;32,86830887914084;43,99480713961583
20, Jun;42,375856905158116;37,27134624111329;31,49302526092879;40,888962335501446;34,130526953361596;33,80412855;34,553748928877496;31,49302526092879;42,375856905158116
21, Jun;41,84096657086678;35,78359552261384;28,424563606111064;37,44268491907428;34,276528513084315;34,73638547;28,639690631808264;28,424563606111064;41,84096657086678
22, Jun;40,95867947360466;35,45829526546669;28,273373165935595;35,08271517168356;32,499736802069094;37,73034156;28,445541821178438;28,273373165935595;40,95867947360466
23, Jun;40,80722281046741;35,05695204961427;29,535923460898516;36,65253214339742;33,82662985932541;32,59613702;33,51976715433756;29,535923460898516;40,80722281046741
24, Jul;39,61783542580548;33,46960974134021;29,04953410981699;32,04279987898963;34,01368979097248;31,70043999;31,131953430867554;29,04953410981699;39,61783542580548
25, Jul;39,652396006655636;34,750747239449424;27,775560429587074;33,90935928877991;37,34400788834955;34,05758014;31,695974401321223;27,775560429587074;39,652396006655636
26, Jul;39,960779004689186;34,18594312509458;26,57896082287101;30,080437812452658;33,64441108545037;36,99057272;33,388353281056595;26,57896082287101;39,960779004689186
27, Jul;41,34966419603694;34,5214566631372;27,24945545303285;31,675512702785454;32,34958855521404;33,13857831;32,91340020682526;27,24945545303285;41,34966419603694
28, Aug;41,55756012706098;34,21157313568301;28,437681137498146;34,95162628709875;33,603692614770466;40,00654301;30,846966916203826;28,437681137498146;41,55756012706098
29, Aug;38,310680683708995;31,806950536983834;26,346281954318556;27,696899224806202;32,37465975917115;;32,17873394495416;26,346281954318556;38,310680683708995
30, Aug;38,28098472243232;33,11207230373623;27,87604749659664;33,38498012100263;32,589413612565465;28,91892207;32,73300488365419;27,87604749659664;38,28098472243232
31, Aug;40,2819891090607;32,90020723037367;27,37167599455455;32,813578898442984;32,25861047835997;32,70898821;28,785276137547783;27,37167599455455;40,2819891090607
32, Sept;38,98393435183789;32,63935713205268;26,937926183633408;31,737318650854775;30,31692346509675;35,65269616;30,079683720930234;26,937926183633408;38,98393435183789
33, Sept;39,76648464680079;32,59535773710485;27,157051883224938;30,244574132492176;33,48518518518523;30,02613627;28,37170194195943;27,157051883224938;39,76648464680079
34, Sept;39,71052942066257;34,453981243382316;29,599623355014387;33,564439754412945;34,20822535211272;36,32850113;30,543224540384244;29,599623355014387;39,71052942066257
35, Sept;41,141114808652276;35,62637876266831;29,371300862199405;36,139018302828674;34,42896038828877;36,79046386;32,73703292181074;29,371300862199405;41,141114808652276
36, Oct;41,806333383754406;36,67921797004993;31,692813492663788;36,391567085161114;36,329103486441625;37,12242735;34,05539917695478;31,692813492663788;41,806333383754406
37, Oct;42,76558311904404;37,66530782029952;30,915200423536533;37,42579488730905;;38,49529327;40,25729629629632;30,915200423536533;42,76558311904404
38, Oct;42,98395855392528;38,34391014975046;30,997874754197596;36,506508848888245;39,80884435032522;36,9280735;38,929935141509475;30,997874754197596;42,98395855392528
39, Nov;43,02701406746337;38,62540462864928;33,490931780366054;38,50566177582817;39,439257298442044;41,13500515;39,19074897119344;33,490931780366054;43,02701406746337
40, Nov;41,596840114959946;37,231824232340045;31,988078959310258;37,22537437603995;38,62325064286796;38,11403053;39,9293086419753;31,988078959310258;41,596840114959946
41, Nov;41,901495991529316;36,79226592043568;32,72890485554382;35,680204205112716;35,44430948419301;41,57466035;37,94089373970348;32,72890485554382;41,901495991529316
42, Nov;38,982216003630356;35,28147481470279;29,37652851308428;35,15684011495995;34,47701558009385;35,52652675;32,4088632580262;29,37652851308428;38,982216003630356
43, Dec;39,64131145061265;34,54621539857817;30,16769475117229;34,0057585841779;35,85748147027681;35,18984147;34,31169615882607;30,16769475117229;39,64131145061265
44, Dec;36,914026622296205;32,632144909998544;27,166055059748942;30,67018482048178;36,378443503252186;32,02756887;29,436683480454008;27,166055059748942;36,914026622296205
45, Dec;37,55044471335657;31,97406595068827;23,36678717289368;29,907616094388175;32,7183920738164;36,23176277;32,12543469303671;23,36678717289368;37,55044471335657
46, Dec;38,220406897594955;31,58259718650737;24,761553471486934;35,39571774315539;29,83849493268798;35,9308107;30,688643216080436;24,761553471486934;38,220406897594955
