"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;32,38670329670333;28,241648351648394;19,89065934065934;28,764022988505758;30,45615384615388;30,0328125;19,46559322033903;19,89065934065934;32,38670329670333
2, Jan;32,31901098901102;28,337609890109945;22,849780219780257;27,51555555555558;30,133076923076942;21,535;24,330634920634964;22,849780219780257;32,31901098901102
3, Jan;32,18846153846158;27,663873626373686;21,842307692307713;27,995714285714314;31,09219780219786;20,36785714;27,216250000000002;21,842307692307713;32,18846153846158
4, Jan;32,023406593406605;27,700137362637406;22,93153846153848;27,63175824175829;26,54333333333335;29,030625;29,20750000000004;22,93153846153848;32,023406593406605
5, Feb;32,740769230769274;27,473653846153866;21,93923076923079;25,54010989010993;30,897692307692353;23,06873016;31,199375000000032;21,93923076923079;32,740769230769274
6, Feb;31,94098901098903;28,01593406593406;23,42428571428576;23,340337078651714;28,81417582417589;27,89;30,665873015873046;23,42428571428576;31,94098901098903
7, Feb;31,482747252747288;27,697692307692307;24,069780219780228;23,664065934066002;26,73417582417585;24,8540625;27,346774193548413;24,069780219780228;31,482747252747288
8, Feb;31,80274725274728;28,538681318681313;24,566263736263807;27,23967032967039;26,64846153846156;26,7671875;31,273750000000007;24,566263736263807;31,80274725274728
9, Mar;33,056593406593436;29,337197802197863;25,860109890109925;31,59989010989017;28,24533333333335;28,9028125;31,26437500000003;25,860109890109925;33,056593406593436
10, Mar;33,2763736263737;29,54450549450553;25,29681318681321;28,978131868131868;26,30714285714288;31,39125;30,217187500000023;25,29681318681321;33,2763736263737
11, Mar;32,85593406593409;28,86791208791209;24,499010989011026;29,928222222222246;29,064285714285745;27,973125;29,910312500000032;24,499010989011026;32,85593406593409
12, Mar;32,706703296703324;29,308351648351675;25,375934065934075;29,33857142857147;26,80230769230775;25,8121875;29,22062500000004;25,375934065934075;32,706703296703324
13, Apr;32,71725274725276;29,63958791208796;26,486703296703354;28,48868131868136;29,2308888888889;30,226875;30,721562500000005;26,486703296703354;32,71725274725276
14, Apr;32,866043956043995;29,636098901098933;26,596813186813222;31,34626373626378;27,186923076923108;27,7178125;32,066507936508;26,596813186813222;32,866043956043995
15, Apr;33,89000000000004;30,710631868131884;27,708461538461563;31,989780219780243;31,874615384615424;29,7303125;29,760793650793687;27,708461538461563;33,89000000000004
16, May;33,5895604395605;30,058791208791263;24,79000000000002;32,170439560439604;30,56222222222226;27,4684127;30,558750000000032;24,79000000000002;33,5895604395605
17, May;34,54120879120882;30,61324175824177;26,498571428571438;32,358000000000004;31,165333333333365;29,0184375;29,61380952380955;26,498571428571438;34,54120879120882
