"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,29556566970092;34,52589076723018;28,48342002600782;29,3778143712575;35,8815084525358;40,15870337;29,34154529307284;28,48342002600782;40,29556566970092
2, Jan;40,43631989596878;35,06477243172952;28,370650195058545;36,116618985695766;40,35026007802344;34,59497336;32,526287744227375;28,370650195058545;40,43631989596878
3, Jan;39,54443433029911;34,48695708712614;26,521417425227582;36,855084525357654;37,446345903771146;23,06895131;38,13761989342811;26,521417425227582;39,54443433029911
4, Jan;40,652990897269206;35,8678153446034;31,603758127438255;37,15651495448634;33,70806241872566;38,63687389;40,244458259325086;31,603758127438255;40,652990897269206
5, Feb;38,93226267880368;35,471118335500705;30,02123537061118;32,737139141742546;38,39347204161248;34,53593863;37,95930728241569;30,02123537061118;38,93226267880368
6, Feb;40,93530559167755;36,65078023407028;31,172132639791982;30,978946684005223;34,59967490247078;40,70333925;35,4870870337478;31,172132639791982;40,93530559167755
7, Feb;42,69850455136543;37,69998699609886;33,4176462938882;35,201482444733415;35,004811443433084;35,93772647;37,95939609236234;33,4176462938882;42,69850455136543
8, Feb;42,0772041612484;37,91629388816648;32,93283485045515;39,65211963589081;34,97161248374516;36,16978686;41,37017761989347;32,93283485045515;42,0772041612484
9, Mar;46,535825747724346;40,15595578673606;35,97605981794544;43,95942782834851;38,086983094928485;39,07143872;44,581456483126146;35,97605981794544;46,535825747724346
10, Mar;45,02019505851757;40,53364109232774;34,95013003901175;40,16404421326399;38,628426527958425;42,21737123;42,36152753108354;34,95013003901175;45,02019505851757
11, Mar;46,060403120936314;40,57946684005202;35,04464239271789;40,40288686605987;39,79176853055918;39,70692718;41,61655417406752;35,04464239271789;46,060403120936314
12, Mar;45,17260078023406;40,98404421326404;36,24550065019508;40,23819245773734;38,47062418725619;40,69159858;43,99124333925403;36,24550065019508;45,17260078023406
13, Apr;45,83730819245778;41,22810143042915;35,29390117035115;39,21282184655399;40,57214564369315;44,64369449;44,339840142095966;35,29390117035115;45,83730819245778
14, Apr;46,024928478543586;41,50942782834852;36,354629388816704;43,88005201560469;38,22587776332904;42,60721137;42,68555950266432;36,354629388816704;46,024928478543586
15, Apr;46,87018205461641;42,85036410923277;38,13468140442137;44,7262288686606;44,80723016905074;45,08023091;41,67825932504445;38,13468140442137;46,87018205461641
16, May;46,18716514954491;42,31371911573473;36,234265279583894;42,60423927178152;43,13262678803642;39,06479574;43,00879218472471;36,234265279583894;46,18716514954491
17, May;45,94425227568274;41,70677503250977;34,834967490247095;43,03814044213266;42,747815344603396;38,20920071;42,26447602131441;34,834967490247095;45,94425227568274
18, May;44,668881664499395;40,42094928478542;33,28063719115738;40,89501950585179;40,689011703511085;41,91937833;43,19074600355242;33,28063719115738;44,668881664499395
19, May;44,5498699609883;40,140091027308245;35,22586475942785;40,819278623428204;39,328491547464296;39,52928952;40,84133214920075;35,22586475942785;44,5498699609883
20, Jun;44,408751625487696;39,46102730819251;33,85889466840058;40,81096228868665;35,597640156453735;37,35270463;39,04263252470804;33,85889466840058;44,408751625487696
21, Jun;45,55668400520159;39,43187256176856;31,159024707412243;40,329297912713514;40,287992031872534;36,46854839;28,39975881261597;31,159024707412243;45,55668400520159
22, Jun;43,67762028608587;37,391534460338164;29,976892067620327;34,47239051094891;32,01279596977332;40,34930279;31,897878787878824;29,976892067620327;43,67762028608587
23, Jun;42,17400646203555;37,594426494345726;33,33978998384492;39,78874316939897;36,66755813953489;34,82978495;38,36428571428576;33,33978998384492;42,17400646203555
24, Jul;37,564900398406394;33,3226693227092;28,146988047808804;35,07119047619051;34,073931034482825;35,89467662;33,35898148148152;28,146988047808804;37,564900398406394
25, Jul;40,4660158311346;37,43073878627973;34,19707124010557;37,80918367346942;42,00748251748257;34,19027586;29,51939393939398;34,19707124010557;40,4660158311346
26, Jul;36,515944223107624;34,459243027888476;32,309952191235084;33,25326340326342;26,07000000000005;39,91719101;31,63330097087379;32,309952191235084;36,515944223107624
27, Jul;36,914759427828415;32,38394018205463;28,144876462938896;35,71263157894742;35,46176470588239;;32,6522556390978;28,144876462938896;36,914759427828415
28, Aug;37,6959297789337;33,840871261378425;30,788647594278302;33,97606741573037;38,121900826446335;33,27966637;;30,788647594278302;37,6959297789337
29, Aug;34,983176777560345;30,902341813437715;28,154318330071817;;;;30,06466915191055;28,154318330071817;34,983176777560345
30, Aug;36,63918075422629;32,81756827048116;29,63418725617686;33,6655787476281;;31,562949;33,562076433121035;29,63418725617686;36,63918075422629
31, Aug;35,40214564369313;31,85957087126144;28,295591677503296;30,12960000000004;;31,00645094;21,03000000000003;28,295591677503296;35,40214564369313
32, Sept;37,04963589076726;31,34612483745127;26,615097529258833;32,18250975292591;27,781811023622083;34,27523682;28,376146788990866;26,615097529258833;37,04963589076726
33, Sept;34,68544863459044;30,953459037711355;27,2119505851756;;31,035107772697643;31,72245421;27,797381974248935;27,2119505851756;34,68544863459044
34, Sept;36,9440182054617;32,40417425227571;27,925994798439547;30,9437219101124;31,688614318706755;36,36559503;29,036417777777842;27,925994798439547;36,9440182054617
35, Sept;37,187035110533145;33,28836150845257;28,559960988296496;32,654122236671014;32,90512353706117;35,76582593;32,13730017761992;28,559960988296496;37,187035110533145
36, Oct;41,25634590377115;34,60656697009108;30,86869960988298;35,109648894668396;;41,03459861;32,13055062166967;30,86869960988298;41,25634590377115
37, Oct;41,39059817945389;36,05845253576075;31,377282184655428;35,187477243172964;;39,02385435;36,29474245115455;31,377282184655428;41,39059817945389
38, Oct;42,8089076723017;38,25795838751628;33,13717815344609;34,827724317295235;36,74838751625492;34,86332599;40,78121713729314;33,13717815344609;42,8089076723017
39, Nov;43,20227568270485;39,58812743823148;35,13000000000005;38,93039011703513;37,064486345903845;38,72058166;39,58163410301955;35,13000000000005;43,20227568270485
40, Nov;43,91886866059821;39,521599479843985;34,52885565669703;37,695994798439585;38,10234070221071;39,89936057;43,862060390763816;34,52885565669703;43,91886866059821
41, Nov;44,08001300390123;39,86061118335505;35,77031209362809;38,56970091027313;36,40635890767231;43,44923077;40,49234458259326;35,77031209362809;44,08001300390123
42, Nov;42,09494148244477;38,73431729518859;32,764694408322555;38,19408322496753;36,2073862158648;38,86303704;32,77062968515747;32,764694408322555;42,09494148244477
43, Dec;42,122301690507186;37,741131339401875;33,25941482444739;37,22048114434335;38,68169050715221;37,55678508;40,14113676731796;33,25941482444739;42,122301690507186
44, Dec;39,50227568270486;35,781729518855684;30,71085825747724;34,16560468140449;38,739063719115734;36,51207513;35,44627450980397;30,71085825747724;39,50227568270486
45, Dec;41,642197659297835;35,97876462938888;28,542483745123548;32,67020806241874;36,20429128738624;36,48936376;37,641261101243344;28,542483745123548;41,642197659297835
46, Dec;41,938010403120984;35,17046814044215;27,445162548764642;38,97131339401824;33,37713914174253;39,36840142;37,293378256963194;27,445162548764642;41,938010403120984
