"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,27426783902604;32,60550896178563;27,554362529590833;29,892455357142865;34,16977680081169;37,01192414;29,117914735866577;27,554362529590833;37,27426783902604
2, Jan;37,56429151166725;33,2791646939466;28,072103483260094;33,9167726657646;37,017584573748366;33,73131421;30,865354002776485;28,072103483260094;37,56429151166725
3, Jan;37,06941156577619;32,730067636117724;27,641991883665924;33,78796415285768;35,36932994923859;21,01368159;36,02066666666667;27,641991883665924;37,06941156577619
4, Jan;38,061768684477556;34,208214406493084;30,172746026378093;35,502729117348736;33,159009130875916;37,00965772;37,58731605738086;30,172746026378093;38,061768684477556
5, Feb;37,17100101454179;34,02824822455193;29,489053094352414;31,39412580317895;36,65687182955702;33,53694963;36,432636447733614;29,489053094352414;37,17100101454179
6, Feb;38,74243151843086;34,83858302333448;30,776114305038902;31,12386125211509;32,94805970149258;38,09899341;34,385291396854825;30,776114305038902;38,74243151843086
7, Feb;40,085441325667944;35,86481230977341;32,10335136963141;34,08103145079474;34,051805884342286;34,69406105;36,416709856547925;32,10335136963141;40,085441325667944
8, Feb;39,89422049374372;36,12326344267842;31,335086236050074;37,567531281704476;33,785170781197166;35,26085106;39,61757631822388;31,335086236050074;39,89422049374372
9, Mar;43,48017923571189;38,215600270544485;34,50711193777482;41,14474467365574;36,449431472081244;37,67430157;41,88466913465993;34,50711193777482;43,48017923571189
10, Mar;43,100659452147454;38,56035508961787;33,818576259722704;38,34674670273927;36,35428136624961;39,27292322;40,46043478260873;33,818576259722704;43,100659452147454
11, Mar;43,622079810618914;38,6427088265134;33,78400067636119;38,66460263780863;37,989749746364566;37,20448659;39,393117483811295;33,78400067636119;43,622079810618914
12, Mar;43,169215421034835;39,00334460601965;33,60324991545485;38,839218802840776;37,126773757186356;34,41585456;42,072340425531934;33,60324991545485;43,169215421034835
13, Apr;43,25941494758206;39,542593845113345;35,02826175177552;36,546610284167855;38,836723030098085;41,37528704;42,21299861175385;35,02826175177552;43,25941494758206
14, Apr;42,973476496449166;39,81005410889418;36,06969563747043;41,375884342238805;37,74819411565778;40,2268348;39,87704902867716;36,06969563747043;42,973476496449166
15, Apr;44,606266486303696;40,80103145079477;36,72844436929324;42,95753466351033;42,82213391951308;43,40722479;39,036743755781686;36,72844436929324;44,606266486303696
16, May;43,756973283733544;40,45849509638151;34,889364220493746;40,367023004059604;41,40292526208998;37,46458834;41,76234967622577;34,889364220493746;43,756973283733544
17, May;43,9451640175854;39,906043287115324;33,26387893134938;41,244176530267225;38,825502198173865;37,43641073;40,14648473635526;33,26387893134938;43,9451640175854
18, May;43,97073047007103;39,196513358133245;33,178413933040304;39,385096512021676;38,806672303009805;38,70197594;40,81745605920446;33,178413933040304;43,97073047007103
19, May;42,656154886709544;38,58951978356447;32,67612106865067;36,44433641975314;36,26883626522334;39,08272277;38,46012950971323;32,67612106865067;42,656154886709544
20, Jun;43,40667230300983;38,26908691241124;32,33580317889755;40,436851538721726;33,01073367571536;38,97965986;37,09008983717018;32,33580317889755;43,40667230300983
21, Jun;44,54872167737574;38,9900067636118;32,40433209333787;37,99358582348856;32,45753882352943;24,52109091;29,2414836223507;32,40433209333787;44,54872167737574
22, Jun;41,71514710855598;36,616114305038934;28,445319580656076;30,934667571234797;31,70596723377446;37,03175464;27,49429942418425;28,445319580656076;41,71514710855598
23, Jun;38,72074104912576;33,999775187343914;29,808434637801895;37,28592217898836;33,553627311522064;34,25240126;31,812460136674304;29,808434637801895;38,72074104912576
24, Jul;37,98813248204311;34,118411811652095;29,644636871508396;33,0308464730291;28,918037238169177;31,44371197;27,376924315619988;29,644636871508396;37,98813248204311
25, Jul;39,95804193439301;36,56043625295911;32,72779506256347;33,06067887109083;34,34879853479856;30,96683794;30,67156498673745;32,72779506256347;39,95804193439301
26, Jul;35,84339977851607;32,46476559616099;28,945297157622747;27,208622222222232;29,504160000000013;36,03609636;27,92653923541252;28,945297157622747;35,84339977851607
27, Jul;36,33182617517758;31,547815353398732;26,870317889753153;28,334251572327105;24,99000000000001;28,44126761;23,910716417910464;26,870317889753153;36,33182617517758
28, Aug;37,130435967302446;33,01994550408722;28,996267029972785;28,42908794788275;28,055128205128256;35,28774302;25,902500000000032;28,996267029972785;37,130435967302446
29, Aug;38,228691081722616;32,12134621905733;27,53503221430998;25,836594594594658;26,183106796116533;25,10777778;29,65715570934259;27,53503221430998;38,228691081722616
30, Aug;35,14740953669258;30,763588096043293;26,42995265471768;30,337216142270847;27,703703703703695;30,91136126;32,14331622835152;26,42995265471768;35,14740953669258
31, Aug;33,068545823469776;30,1553770713561;26,444020967196536;23,374968944099408;27,052470862470898;28,83395876;22,48211864406784;26,444020967196536;33,068545823469776
32, Sept;35,401586066959794;29,979090294217144;25,32120730470075;31,16245423728816;26,73497495826382;31,73983333;28,499143968871635;25,32120730470075;35,401586066959794
