"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;34,73518403959173;30,681586761521828;25,84444478812253;27,6253215594802;31,954656346749232;34,1060391;27,165315161839885;25,84444478812253;34,73518403959173
2, Jan;35,02967213114755;31,23733065264463;26,757503866378045;31,499333746513855;33,31045243259996;31,18976884;29,10005093378612;26,757503866378045;35,02967213114755
3, Jan;34,76388802969382;30,762180637179085;26,363714815960464;31,41321262766951;33,26092541008978;25,96225806;32,9672407883462;26,363714815960464;34,76388802969382
4, Jan;35,897079207920854;31,689900990099034;27,955396039603954;32,190878984834455;30,809851439182978;32,23754349;35,1190445859873;27,955396039603954;35,897079207920854
5, Feb;35,224059405940636;31,9405198019802;26,75341584158423;29,540257045524925;34,62703589108912;29,63415356;34,09618259023358;26,75341584158423;35,224059405940636
6, Feb;36,384970615527436;32,56135168574082;28,34725951128985;30,094617291602162;31,01323119777163;30,52369515;32,676414934238494;28,34725951128985;36,384970615527436
7, Feb;37,54782178217823;33,250198019801985;29,1905198019802;31,560086687306523;31,880762554246814;32,85184524;34,11638912489383;29,1905198019802;37,54782178217823
8, Feb;37,47844059405941;33,723267326732696;29,37544554455451;34,939935004642564;31,270458062519367;33,34990662;36,768787621873685;29,37544554455451;37,47844059405941
9, Mar;40,181221775440804;35,13639653572534;30,962737395607803;37,88627475247529;33,4442141089109;34,31943878;38,54886296139165;30,962737395607803;40,181221775440804
10, Mar;39,984055057222406;35,55747912155897;31,608082276523362;34,65327351485155;33,39177034973693;34,94615091;37,562957627118635;31,608082276523362;39,984055057222406
11, Mar;40,045742574257474;35,74193069306932;30,972970297029747;35,5657063197026;34,70892912411023;35,50651252;36,27998305084748;30,972970297029747;40,045742574257474
12, Mar;40,239133663366374;36,122673267326775;31,992871287128764;35,17292788610342;33,96373605947957;34,63935717;39,6128837998304;31,992871287128764;40,239133663366374
13, Apr;41,19783792143522;36,744611815651126;33,02291679554594;32,60024163568778;35,740618811881234;40,65705079;38,601344929995776;33,02291679554594;41,19783792143522
14, Apr;39,63275286111974;36,46385709867002;32,534330343334375;39,442835913312706;34,2339739615623;38,89073823;36,542207130730105;32,534330343334375;39,63275286111974
15, Apr;40,39009900990101;37,115693069306985;33,89396039603963;38,809777227722805;38,85204890126903;38,59023962;35,43285714285719;33,89396039603963;40,39009900990101
