"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,29771084337352;34,97896921017406;29,388741633199515;29,787180925666235;36,25455153949133;40,27238616;30,028615664845177;29,388741633199515;40,29771084337352
2, Jan;40,54708165997323;35,957228915662654;30,92919678714867;36,42259705488624;40,33453815261049;34,48803279;32,50480874316946;30,92919678714867;40,54708165997323
3, Jan;39,491499330655984;35,16344042838023;30,24855421686749;36,631539491298554;37,65386880856761;25,12440559;37,38406829268297;30,24855421686749;39,491499330655984
4, Jan;40,87918340026778;36,71618473895586;33,19725568942437;38,02263721552879;35,320816599732325;40,31304189;38,60149362477233;33,19725568942437;40,87918340026778
5, Feb;39,82997322623834;36,51420348058906;31,214658634538182;33,06847389558237;39,241325301204824;37,9103643;38,578597449908955;31,214658634538182;39,82997322623834
6, Feb;42,33698795180726;37,61939759036147;33,49439089692106;32,88507362784475;34,92052208835344;41,96453552;36,30216757741351;33,49439089692106;42,33698795180726
7, Feb;43,885234270415026;38,46277108433742;33,016452476572965;35,79904953145922;36,52336010709507;37,44681239;40,34996357012756;33,016452476572965;43,885234270415026
8, Feb;42,55575635876846;38,866921017402944;33,50140562248998;40,497576974564936;35,63526104417673;37,21817851;42,00007285974499;33,50140562248998;42,55575635876846
9, Mar;47,13631860776445;40,952275769745654;36,76062918340028;44,45303882195452;38,999906291834066;39,07581056;44,47103825136617;36,76062918340028;47,13631860776445
10, Mar;46,4651539491299;41,416907630522076;35,726733601070976;40,39550200803217;38,92903614457833;41,89699454;43,7596903460838;35,726733601070976;46,4651539491299
11, Mar;47,6671352074967;41,490401606425735;36,18799196787154;40,81526104417674;39,77504685408303;40,80346084;42,50435336976324;36,18799196787154;47,6671352074967
12, Mar;46,105742971887594;42,21760374832667;37,679317269076364;41,678179384203474;39,59785809906293;41,32486339;43,95530054644814;37,679317269076364;46,105742971887594
13, Apr;47,154872824631866;42,505368139223606;35,90951807228919;39,664444444444484;41,322262382864835;46,62377049;45,370327868852485;35,90951807228919;47,154872824631866
14, Apr;46,65136546184743;42,73538152610445;37,733480589022804;44,33305220883534;39,1078447121821;44,93972678;43,34974499089259;37,733480589022804;46,65136546184743
15, Apr;48,33717536813924;43,89768406961184;39,4737215528782;45,67396251673364;45,70970548862118;45,12386157;41,27715846994539;39,4737215528782;48,33717536813924
16, May;47,38852744310577;43,26212851405626;37,53283801874164;43,49710843373498;43,98949129852747;39,28766849;46,14418943533701;37,53283801874164;47,38852744310577
17, May;47,87912985274431;42,73219544846057;35,61468540829992;43,27907630522088;42,9116733601071;39,53326047;42,66287795992719;35,61468540829992;47,87912985274431
18, May;46,53093708166;41,62670682730925;33,56266398929051;42,75239625167336;41,846439089692126;40,47367942;43,73136612021864;33,56266398929051;46,53093708166
19, May;45,81888888888892;41,36253012048195;35,827991967871526;38,840637945318974;38,201167512690404;40,48576883;41,272914389799666;35,827991967871526;45,81888888888892
20, Jun;45,940334672021436;40,30649263721557;33,06076305220887;42,583517041334346;36,36417460317466;38,67126984;36,82853932584271;33,06076305220887;45,940334672021436
21, Jun;47,09760374832666;40,46306559571627;31,95080321285144;38,639354838709664;37,1117453250223;40,89214286;29,45959731543627;31,95080321285144;47,09760374832666
22, Jun;43,94226238286484;38,379504685408335;30,932543507362823;34,84019473081332;31,655721997300986;40,55547131;34,89090090090093;30,932543507362823;43,94226238286484
23, Jun;41,18437908496736;35,233384168482246;30,66885257806831;40,42193302891934;35,464990990991;34,35385542;36,29176576576583;30,66885257806831;41,18437908496736
24, Jul;38,28285193289571;33,77160466812552;28,46517140773159;34,5236585365854;37,82996894409939;36,7240107;31,245076923076965;28,46517140773159;38,28285193289571
25, Jul;41,18892761394102;37,05691689008046;32,618579088471904;36,58639344262298;37,80092715231791;35,17328542;28,889135135135177;32,618579088471904;41,18892761394102
26, Jul;38,38230024213078;33,80870863599682;29,719669087974182;29,858175046554948;28,334421052631626;39,94210019;28,995982142857144;29,719669087974182;38,38230024213078
27, Jul;34,90044176706829;32,249892904953185;29,75779116465867;31,80800000000005;;;28,881428571428614;29,75779116465867;34,90044176706829
28, Aug;36,06103078982602;32,926171352075016;30,35543507362786;30,314024960998438;33,45257352941178;32,11187907;;30,35543507362786;36,06103078982602
29, Aug;34,92134550371878;31,02176470588239;27,915530764029768;;;;29,22135036496354;27,915530764029768;34,92134550371878
30, Aug;37,96346720214194;31,912811244979935;27,894444444444503;30,491107871720146;;31,71058091;32,76764258555136;27,894444444444503;37,96346720214194
31, Aug;33,868929049531516;31,195890227576967;28,04649263721558;28,64500000000004;;30,02918972;28,895853658536623;28,04649263721558;33,868929049531516
32, Sept;36,60271753681394;31,069866131191475;25,810267737617153;31,39543507362788;26,413478260869567;32,3606484;28,969547169811335;25,810267737617153;36,60271753681394
33, Sept;33,321164658634586;30,035488621151273;27,0075368139224;24,750000000000057;30,137902899528;31,72435801;27,583253968253985;27,0075368139224;33,321164658634586
34, Sept;36,33214190093713;31,925046854083064;27,556720214190136;29,782098765432124;30,2349150141643;34,4942623;29,222342752962618;27,556720214190136;36,33214190093713
35, Sept;37,58767068273096;33,11436412315936;27,154738955823348;32,742637215528816;31,884872824631884;36,54411658;32,22191256830604;27,154738955823348;37,58767068273096
36, Oct;39,23902275769751;34,43618473895583;30,20791164658641;29,573914373088712;;38,37737705;32,68273224043719;30,20791164658641;39,23902275769751
37, Oct;41,677684069611814;36,070026773761754;31,050481927710848;33,59101740294511;;41,54433515;36,15783242258652;31,050481927710848;41,677684069611814
38, Oct;43,047483266398956;38,11524765729587;33,07313253012052;33,78145917001342;36,52792503346723;40,65765381;39,4114754098361;33,07313253012052;43,047483266398956
39, Nov;42,99275769745651;39,52579651941102;35,06274431057568;38,00519410977245;36,91499330655961;40,99721311;40,76488160291444;35,06274431057568;42,99275769745651
40, Nov;44,056184738955835;39,533373493975944;34,76544846050871;37,40560910307897;38,650682730923734;42,04041894;43,8728961748634;34,76544846050871;44,056184738955835
41, Nov;44,08244979919681;39,8212717536814;35,501512717536855;38,30129852744312;35,84251673360109;43,64870674;41,65590163934428;35,501512717536855;44,08244979919681
42, Nov;41,93808567603753;38,603547523427096;34,02649263721554;38,73995983935748;36,01206157965197;37,98384038;33,73340000000002;34,02649263721554;41,93808567603753
43, Dec;42,94183400267741;38,038514056224926;34,0169076305221;36,942543507362814;38,48793842034809;36,15340824;39,82041666666669;34,0169076305221;42,94183400267741
44, Dec;40,042182061579695;36,69864792503353;31,488447121820627;35,18710843373498;39,71423025435075;37,98539027;37,85043715846996;31,488447121820627;40,042182061579695
45, Dec;40,91607764390898;36,28622489959844;30,240147255689465;33,76393574297191;35,93895582329321;36,87409302;37,092969034608416;30,240147255689465;40,91607764390898
46, Dec;41,33273092369478;35,627510040160644;29,380334672021434;39,137523427041515;32,97361445783133;39,15156648;37,067887067395304;29,380334672021434;41,33273092369478
