"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;42,54898334321604;34,514880599428636;29,002172928683137;34,21610425314003;36,68086518246997;42,47701089;29,392783171521046;29,002172928683137;42,54898334321604
2, Jan;41,07275025605094;34,94584820225327;28,21009918602772;34,75512101773489;40,53482022532478;38,56605178;31,42871874080612;28,21009918602772;41,07275025605094
3, Jan;39,42181176216917;34,9763112500674;29,646692361597786;37,632984205703224;38,51622607945666;37,31829434;34,16976802600476;29,646692361597786;39,42181176216917
4, Jan;42,38314430488924;37,01699045873539;33,14259446930089;35,7619756347367;38,19472319551511;41,95213298;40,075000000000045;33,14259446930089;42,38314430488924
5, Feb;42,41478033529194;37,084850951431235;30,36421271090512;35,30946957037355;39,40935313460193;39,0573581;41,95724771991763;30,36421271090512;42,41478033529194
6, Feb;42,80724650962213;38,1296334429411;33,78669990836079;35,531066249797846;37,39732143819742;42,02709217;36,67850102971465;33,78669990836079;42,80724650962213
7, Feb;43,59290334752848;39,17179397337071;34,19565683790637;38,220330440407565;37,84790739043723;39,25893351;41,88448727379733;34,19565683790637;43,59290334752848
8, Feb;44,37811169209209;39,60741900706165;35,20535335022373;41,22759473882809;36,94657161339012;40,23673286;43,51777581641659;35,20535335022373;44,37811169209209
9, Mar;46,423655328553764;40,638332704436436;32,5897746752197;44,14393671500193;38,617093957199074;35,19578525;45,17114004118861;32,5897746752197;46,423655328553764
10, Mar;47,9244865505903;42,48467629777372;36,44740391353571;41,92477009325643;41,36255026683199;44,04214328;45,5523536334216;36,44740391353571;47,9244865505903
11, Mar;48,72263220311572;43,35406339280905;36,553075844967964;42,29446983990084;42,61503153468817;46,90286849;44,121147396293054;36,553075844967964;48,72263220311572
12, Mar;50,60758072341116;42,925234758234126;35,777009864697334;41,627858875532354;42,60712468330553;42,63605472;50,59399823477497;35,777009864697334;50,60758072341116
13, Apr;49,54551398846428;44,12381596679427;39,4529303002534;43,4238019513773;41,066578082044146;47,50937923;46,27556340100034;39,4529303002534;49,54551398846428
14, Apr;48,95615923669885;44,165387849711635;39,53707455123714;47,94531777262682;44,174589509999464;46,67296117;44,318834951456324;39,53707455123714;48,95615923669885
15, Apr;51,34262681257076;44,80069591935751;38,85236321492107;46,48552369144522;47,7627281548165;50,77588555;48,80316416593121;38,85236321492107;51,34262681257076
16, May;49,094950676513406;44,09645787289094;36,4631701795052;43,63705191094823;46,13192011212334;41,08009856;45,99702265372173;36,4631701795052;49,094950676513406
17, May;49,03468007115521;43,3024521589133;37,524719422133614;42,03424343701147;40,85742601477011;43,84615899;41,98011035903477;37,524719422133614;49,03468007115521
18, May;48,20565737696086;41,44972616031487;32,671952455393296;44,83328626105322;44,35330763840227;41,28758164;47,008749632244815;32,671952455393296;48,20565737696086
19, May;45,68774675219669;39,50978545630966;30,983444019190358;39,769516745857004;36,59504907024797;42,49796585;43,62728008237724;30,983444019190358;45,68774675219669
20, Jun;44,40564228343487;38,32379656083236;31,30739421055472;43,74153684437499;34,88499649614579;39,20979551;34,49213862120092;31,30739421055472;44,40564228343487
21, Jun;43,51955743625683;35,62731658670697;27,991958924047253;34,97551135956428;31,81979219614294;30,2132381;30,208267438932296;27,991958924047253;43,51955743625683
22, Jun;41,94555280038816;34,532889332111495;27,21320198372058;28,416724505760214;29,135668979187358;36,11048596;31,883356143552305;27,21320198372058;41,94555280038816
23, Jun;41,11176917686379;33,591156810953635;27,458872837043828;40,29412053645348;31,19309886274749;35,34981085;30,948446015613513;27,458872837043828;41,11176917686379
24, Jul;37,70504824537767;31,110264136704245;24,79271791278103;32,974731820387035;28,053028545653774;32,44446914;30,7110685569192;24,79271791278103;37,70504824537767
25, Jul;37,00819308932137;31,66984583041352;25,37044633712469;28,144411504982997;29,806381578947423;32,96761428;26,543392680514387;25,37044633712469;37,00819308932137
26, Jul;34,88730257128998;30,017147862648983;25,319525092986964;27,31763211678839;25,90117408906883;34,58945733;24,59088345864666;25,319525092986964;34,88730257128998
27, Jul;33,993797304582245;28,16417358490571;22,712029110512162;29,37558532110097;27,79508007391445;26,18643836;26,878415300546465;22,712029110512162;33,993797304582245
28, Aug;34,15601692631128;28,88642714678457;24,544839092232223;32,67716860291927;28,61417710826413;29,45314929;27,69283100625904;24,544839092232223;34,15601692631128
29, Aug;30,046016705537795;26,81977382437492;23,18183706676797;27,94115963855421;20,95960312687913;24,18822289;27,037715517241395;23,18183706676797;30,046016705537795
30, Aug;31,81967710635547;27,430790253894713;23,873962050563364;26,378874094050275;26,818227668374618;26,17510531;29,378898119477412;23,873962050563364;31,81967710635547
31, Aug;30,590874346396447;26,642545954395985;21,165752250552544;25,373093337004434;24,545429273537138;25,1175968;25,56337018483333;21,165752250552544;30,590874346396447
32, Sept;31,071348714355054;27,383008463155647;23,052494744218677;27,05275292266191;24,44211578947369;28,85041189;27,345075467900983;23,052494744218677;31,071348714355054
33, Sept;30,36528219502992;26,539771979947204;22,076883725944697;27,30816218313504;27,60490499337169;23,32934164;24,847610561056115;22,076883725944697;30,36528219502992
34, Sept;30,797457279931052;27,788825939302512;24,435544714570653;28,382873699531046;27,355872836110677;27,54198882;27,23708879957536;24,435544714570653;30,797457279931052
35, Sept;32,90209853916235;29,439177941889966;25,61894614845562;27,230155264434757;29,345068729448542;27,47316097;30,792333555013727;25,61894614845562;32,90209853916235
36, Oct;34,23864319982755;30,543610047975903;27,136337124683337;29,057596384230067;27,36959412780658;33,41019712;30,695079084823135;27,136337124683337;34,23864319982755
37, Oct;35,84676782922759;31,593360465743103;27,096317718721423;30,44832398619502;;31,34205875;34,089021771109174;27,096317718721423;35,84676782922759
38, Oct;39,32731766481595;33,47523853161556;29,440212926526897;32,788274293142706;31,879290065225632;34,6677935;37,98137099146811;29,440212926526897;39,32731766481595
39, Nov;40,96942428979577;35,527751064632696;31,377221174060708;34,89813109805402;35,325971106678935;36,10972782;39,96823330391294;31,377221174060708;40,96942428979577
40, Nov;43,24590749824813;36,83990458735383;31,241534688157003;36,360404829928314;38,1562735162525;37,286196;42,51280376581349;31,241534688157003;43,24590749824813
41, Nov;42,715098377446;37,59513287693386;32,99521265699963;37,307077246509664;37,206153307099385;40,96253912;41,44252868490736;32,99521265699963;42,715098377446
42, Nov;42,90422457010408;37,81406662713607;32,11354374427259;37,9418139183872;37,00576410975151;39,87329509;40,656782877316914;32,11354374427259;42,90422457010408
43, Dec;41,35681903940491;36,493046736025065;30,296938709503536;38,50332542720071;37,85272222521701;39,22630672;40,551665195645796;30,296938709503536;41,35681903940491
44, Dec;41,19808689558516;35,640874885450955;30,553787396905875;34,29665947927339;38,62191310441489;37,49768053;39,87143130332453;30,553787396905875;41,19808689558516
45, Dec;40,50423319497605;35,4517831922808;28,086418521912606;35,1918317071856;34,51589725621261;35,33628636;37,976490144160095;28,086418521912606;40,50423319497605
46, Dec;40,838671230661475;34,987937577489106;29,372904425637444;38,2929540186513;35,171398273736145;39,83237717;38,385655065395724;29,372904425637444;40,838671230661475
