"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;35,12301384451547;28,680628328008538;24,786677316293947;22,585612353567683;29,834536741214094;31,60633721;25,45586181818186;24,786677316293947;35,12301384451547
2, Jan;33,23321618743347;28,90880724174656;24,28663471778492;26,834994675186408;30,38720234917247;28,00806545;25,82190406976747;24,28663471778492;33,23321618743347
3, Jan;33,71690095846651;29,16265175718854;24,89136315228967;28,87740149094782;30,748115015974463;29,21825451;28,71790322580648;24,89136315228967;33,71690095846651
4, Jan;34,8588817891374;30,71866879659217;26,987933972310998;30,235484558040525;29,543045793397255;32,90215116;32,69590545454548;26,987933972310998;34,8588817891374
5, Feb;37,022183173588985;31,739925452609214;27,033130990415373;28,157273695420713;32,99913738019171;31,15164244;36,08706181818184;27,033130990415373;37,022183173588985
6, Feb;38,03264110756129;32,13811501597445;26,799052183173615;29,279563365282286;31,10090037293554;28,54423181;31,246640000000014;26,799052183173615;38,03264110756129
7, Feb;38,54352502662414;33,67979765708202;30,498029818956354;30,883993610223627;31,38384451544198;31,67462209;33,89729651162793;30,498029818956354;38,54352502662414
8, Feb;40,43372736954211;34,832023429180026;30,504313099041553;34,51845580404688;31,098860489882895;31,14418605;38,402596363636405;30,504313099041553;40,43372736954211
9, Mar;40,31619808306715;35,888764643237494;31,134366347177888;36,112779552715665;32,86708200212996;34,30323144;38,35635174418604;31,134366347177888;40,31619808306715
10, Mar;41,931661341853044;37,05460063897766;32,044611288604926;33,35768903088393;33,964227902023424;33,81202035;41,4815697674419;32,044611288604926;41,931661341853044
11, Mar;42,84369542066031;38,066656017039406;31,947188498402568;36,55371870005331;37,601848694725675;37,15965116;38,060305232558164;31,947188498402568;42,84369542066031
12, Mar;42,97155484558044;38,22759318423857;33,9815867944622;35,287039403620895;34,72998935037276;37,02354698;42,85957848837211;33,9815867944622;42,97155484558044
13, Apr;42,97722044728437;38,94678381256659;34,17726304579344;36,21312034078812;35,0893716719915;38,90007267;40,79168604651164;34,17726304579344;42,97722044728437
14, Apr;42,67794462193825;39,01302449414271;34,95632587859427;42,400602024507236;36,1696059637913;40,31898256;40,84140363636368;34,95632587859427;42,67794462193825
15, Apr;43,18077742279024;39,32228966986162;35,702949946751914;39,06457645178483;40,214408945686955;41,35496;38,03466132556446;35,702949946751914;43,18077742279024
16, May;41,89523961661348;39,00936102236426;34,58277955271569;36,364014909478215;38,52338658146965;37,14720727;38,74395348837214;34,58277955271569;41,89523961661348
17, May;41,505846645367455;37,68806176783812;31,914323748668835;37,35085242408104;32,09649973361746;34,24824;37,77702545454548;31,914323748668835;41,505846645367455
18, May;42,4231203407881;37,3532587859425;31,265101171459037;37,81103632478636;35,15021310602026;35,5734593;40,10306686046516;31,265101171459037;42,4231203407881
19, May;40,13824281150164;35,36075612353574;29,572172523961683;;33,64822269807286;34,34753824;37,41141296431175;29,572172523961683;40,13824281150164
20, Jun;40,70552715654952;34,58878594249205;27,58631522896701;36,90204049014386;30,822658497602617;37,23921512;35,52931636363638;27,58631522896701;40,70552715654952
21, Jun;38,48514376996809;32,54228966986159;26,584014909478185;27,954666666666697;31,42991434689509;;22,43571428571431;26,584014909478185;38,48514376996809
22, Jun;36,78642172523968;31,027784877529314;24,947252396166164;24,163569868995637;28,31814873417727;29,48602331;34,40188749074758;24,947252396166164;36,78642172523968
23, Jun;36,80339723109694;29,231640042598542;23,416794462193877;30,596675712347405;28,27104432301155;32,55851064;24,92698324022348;23,416794462193877;36,80339723109694
24, Jul;33,54791267305649;27,977539936102232;21,0369648562301;30,945622849277356;23,76803149606303;28,94117091;24,16214876033058;21,0369648562301;33,54791267305649
25, Jul;31,718626198083086;28,259435569755055;23,75376996805113;27,394430005906713;28,668758314855893;28,35252308;27,02625774473364;23,75376996805113;31,718626198083086
26, Jul;30,190255591054324;27,18431309904156;22,814515441959543;25,96625987708518;28,022114574557747;28,55744954;27,069563106796124;22,814515441959543;30,190255591054324
27, Jul;30,401714589989353;27,115005324813694;22,8862087326944;30,06470124013532;26,913498583569435;26,37547368;26,445245579567825;22,8862087326944;30,401714589989353
