"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;30,795000000000016;26,705437500000016;18,160000000000025;26,858000000000004;29,78000000000003;29,05266667;18,3366666666667;18,160000000000025;30,795000000000016
2, Jan;30,802999999999997;26,52140625000004;20,92500000000001;27,045999999999992;29,462000000000046;22,11;23,938000000000045;20,92500000000001;30,802999999999997
3, Jan;30,600000000000023;26,122062500000027;20,779000000000053;27,06800000000004;29,867999999999995;17,26333333;27,2886666666667;20,779000000000053;30,600000000000023
4, Jan;30,185000000000002;26,19262500000002;22,44700000000006;26,295000000000016;25,908000000000015;28,25533333;28,652666666666676;22,44700000000006;30,185000000000002
5, Feb;31,438000000000045;25,639687500000036;19,340000000000032;24,979000000000042;29,550999999999988;21,386;32,28333333333336;19,340000000000032;31,438000000000045
6, Feb;30,31600000000003;26,367187500000057;22,550999999999988;21,112000000000023;27,272000000000048;27,33666667;29,04333333333335;22,550999999999988;30,31600000000003
7, Feb;29,87700000000001;26,373312499999997;23,315000000000055;23,54400000000004;25,79200000000003;24,87;27,167333333333374;23,315000000000055;29,87700000000001
8, Feb;30,003000000000043;26,518062500000042;22,66300000000001;26,315000000000055;25,811000000000035;25,42466667;30,895333333333383;22,66300000000001;30,003000000000043
9, Mar;31,06800000000004;27,842250000000035;24,19700000000006;30,315000000000055;26,70300000000003;25,782;30,494000000000028;24,19700000000006;31,06800000000004
10, Mar;31,45300000000003;28,154843750000055;23,793000000000006;28,019000000000062;25,57000000000005;30,14066667;31,091333333333353;23,793000000000006;31,45300000000003
11, Mar;31,414000000000044;27,560375000000022;22,299000000000035;29,660000000000025;28,12900000000002;28,09933333;30,34200000000004;22,299000000000035;31,414000000000044
12, Mar;31,385000000000048;27,903906250000034;24,644000000000062;28,749000000000024;26,218000000000018;25,69133333;28,380666666666684;24,644000000000062;31,385000000000048
