"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,94612535612538;34,75763532763534;29,269031339031358;31,587049180327938;36,687293447293484;39,91115122;30,53152195121953;29,269031339031358;39,94612535612538
2, Jan;39,87558404558405;35,68470085470091;30,74390313390319;36,20954415954418;39,112834757834776;33,1146439;32,028985365853714;30,74390313390319;39,87558404558405
3, Jan;38,85797720797723;34,62538461538463;28,740484330484378;36,356609686609715;37,24532763532767;24,00870968;36,68356164383562;28,740484330484378;38,85797720797723
4, Jan;40,81609686609687;36,41749287749292;33,0047008547009;37,49331908831908;34,84592592592594;40,01657561;37,45776585365854;33,0047008547009;40,81609686609687
5, Feb;39,67962962962969;36,37877492877499;30,833789173789228;33,26555555555558;39,15918803418805;36,92870659;37,874897560975626;30,833789173789228;39,67962962962969
6, Feb;41,599629629629646;37,29943019943022;32,99358974358978;33,16227920227925;34,65740740740745;40,01404297;36,616575609756126;32,99358974358978;41,599629629629646
7, Feb;43,36162393162397;38,24843304843307;33,54754985754988;36,17032763532768;36,19864672364673;38,08438049;39,83273170731712;33,54754985754988;43,36162393162397
8, Feb;42,275754985754986;38,64108262108266;33,66384615384618;39,776994301994364;35,03112535612536;37,89854634;41,53111219512198;33,66384615384618;42,275754985754986
9, Mar;46,530427350427374;40,6904273504274;36,712678062678094;43,960940170940205;38,83176638176644;39,65852683;44,02254634146345;36,712678062678094;46,530427350427374
10, Mar;46,39233618233624;41,216894586894625;35,853190883190905;40,491339031339066;38,41277777777782;40,78799024;43,70767804878051;35,853190883190905;46,39233618233624
11, Mar;46,805840455840496;41,32991452991456;36,35102564102567;40,57085470085474;39,85061253561258;40,66020488;41,94334634146344;36,35102564102567;46,805840455840496
12, Mar;46,39527065527068;42,05603988603991;37,44857549857551;41,54512820512821;39,70417378917381;42,44496585;43,77195121951223;37,44857549857551;46,39527065527068
13, Apr;46,89074074074074;42,59592592592594;37,487435897435944;38,046111111111145;40,80267806267807;46,77321951;45,44972682926834;37,487435897435944;46,89074074074074
14, Apr;46,03923076923081;42,522649572649584;37,517122507122565;44,365327635327674;39,116339031339066;45,79840976;42,640009756097584;37,517122507122565;46,03923076923081
15, Apr;47,980997150997155;43,69455840455845;39,41441595441597;45,15397435897438;45,39109686609686;45,21232195;41,05450731707322;39,41441595441597;47,980997150997155
16, May;47,63558404558404;43,1805698005698;37,08321937321938;43,93927350427356;43,722678062678085;39,73202927;46,95245853658537;37,08321937321938;47,63558404558404
17, May;47,52014245014249;42,64965811965817;36,08937321937327;43,47780626780627;40,99746438746439;39,64703415;42,49880000000002;36,08937321937327;47,52014245014249
18, May;47,75658119658124;41,54857549857553;35,20826210826215;42,60565527065529;40,98754985754988;40,88523902;42,9332;35,20826210826215;47,75658119658124
19, May;45,47438746438752;41,4237891737892;36,02111111111111;39,84681818181821;39,276672240802725;39,71551887;41,456926829268355;36,02111111111111;45,47438746438752
