"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,74059385665532;34,87675767918091;29,579337883959056;31,59102389078504;36,76446416382254;39,59351238;31,33427837459135;29,579337883959056;39,74059385665532
2, Jan;40,12191808873723;35,60811604095568;29,264634812286715;35,046457337883965;38,39919453924915;35,47539935;32,310149462867855;29,264634812286715;40,12191808873723
3, Jan;38,75787713310581;34,52997269624581;29,141904436860102;36,73124232081915;37,527781569965896;29,33618856;35,488201997780266;29,141904436860102;38,75787713310581
4, Jan;40,62993174061438;36,29324914675772;32,45876450511952;36,755529010238945;36,30801365187716;39,01902382;38,26714152265299;32,45876450511952;40,62993174061438
5, Feb;40,475174061433506;36,58103071672355;30,305153583617766;33,44518088737203;39,56082593856661;38,26184493;39,75827650630549;30,305153583617766;40,475174061433506
6, Feb;42,62045733788398;37,71099658703076;33,44003412969283;33,502928327645066;35,69643003412972;40,20083606;37,649290051377875;33,44003412969283;42,62045733788398
7, Feb;43,64120819112628;38,41996587030718;33,787392491467585;36,55174744027306;37,38897610921504;37,62368519;39,903348902382106;33,787392491467585;43,64120819112628
8, Feb;42,98403412969287;39,139255972696276;34,67820477815707;39,55873037542665;35,566941979522255;37,10052779;42,29601588042971;34,67820477815707;42,98403412969287
9, Mar;46,958996587030754;41,12871672354953;36,470395904436884;43,97942662116043;39,04479863481231;40,52561887;44,41609061186364;36,470395904436884;46,958996587030754
10, Mar;46,898600682593894;41,79045051194544;35,51951535836184;40,58292832764511;39,43356313993178;42,20883232;44,890056048575445;35,51951535836184;46,898600682593894
11, Mar;47,583979522184336;42,12284641638229;36,538819112628005;40,86255290102389;41,103296928327666;43,4753433;42,72665576833259;36,538819112628005;47,583979522184336
12, Mar;48,13660750853245;42,527897610921514;38,00156313993176;41,04174744027307;39,642402730375466;42,33489491;47,99109294722098;38,00156313993176;48,13660750853245
13, Apr;48,14220477815701;43,28762457337888;37,89595221843007;39,3101911262799;41,02344027303758;48,04905652;46,00849602989257;37,89595221843007;48,14220477815701
14, Apr;47,60511262798639;43,287843003413;38,56997269624577;46,1259658703072;40,33726279863481;47,37246614;44,148094348435336;38,56997269624577;47,60511262798639
15, Apr;48,597494880546094;44,16707849829356;39,69909215017066;45,503808873720175;46,65954266211605;45,70575899;42,065777673984144;39,69909215017066;48,597494880546094
16, May;48,61120136518775;43,781822525597306;37,793180887372046;44,5483344709898;44,24477815699663;41,25356843;47,370037365716996;37,793180887372046;48,61120136518775
17, May;48,18340614334477;43,01562457337889;36,49185665529012;43,55612286689421;40,667133105802066;39,85208314;42,62466604390477;36,49185665529012;48,18340614334477
