"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,698966037735886;33,102739622641536;26,345486792452846;32,96065471698114;34,69683584905664;40,67964497;26,49689832689836;26,345486792452846;40,698966037735886
2, Jan;41,377728301886805;33,518377358490625;25,84559245283026;33,63570754716983;41,21991132075476;35,25791356;27,695554412143053;25,84559245283026;41,377728301886805
3, Jan;37,67988679245286;33,106422641509425;27,968973584905655;37,03204150943395;36,37266415094342;33,71217975;30,994652615144446;27,968973584905655;37,67988679245286
4, Jan;39,39261132075478;35,01156981132078;30,006286792452897;34,09855471698114;37,80992075471704;38,66471829;36,98189091844614;30,006286792452897;39,39261132075478
5, Feb;40,407373584905656;35,40278490566038;27,399645283018913;33,51011320754719;38,23708301886796;38,64173656;38,81265757653722;27,399645283018913;40,407373584905656
6, Feb;41,43273207547173;36,578332075471735;31,702377358490594;34,76384150943397;35,23517358490568;40,0559789;34,13972986879344;31,702377358490594;41,43273207547173
7, Feb;42,36746415094342;37,79783396226418;32,5210339622642;38,575869811320786;38,354122641509434;37,07906869;39,79266099948484;32,5210339622642;42,36746415094342
8, Feb;43,00200000000001;38,13754716981134;33,528249056603784;41,382232075471734;36,63503962264156;37,58572421;40,68608952919993;33,528249056603784;43,00200000000001
9, Mar;46,082724528301924;39,926015094339675;31,662679245283073;43,393800000000056;39,26243773584906;33,42774337;43,85874710573711;31,662679245283073;46,082724528301924
10, Mar;47,06974339622644;42,007343396226474;35,77175094339623;42,43551886792454;41,54202075471699;42,75564446;44,17066375096476;35,77175094339623;47,06974339622644
11, Mar;49,36085283018872;42,60474716981133;36,11810566037741;42,38139622641512;42,10676981132076;44,18051196;43,72501414972987;36,11810566037741;49,36085283018872
12, Mar;48,281637735849074;42,945154716981165;36,57655094339623;42,76699433962267;42,07075849056605;42,99599691;47,2845742217649;36,57655094339623;48,281637735849074
13, Apr;52,414015094339675;44,65404528301889;39,9447924528302;43,08517358490565;41,87545283018875;52,24302804;46,475346025212275;39,9447924528302;52,414015094339675
14, Apr;49,82760000000002;44,69615849056606;39,75638490566041;47,89397735849059;43,117418867924584;48,20710316;45,12048623617187;39,75638490566041;49,82760000000002
15, Apr;51,569667924528346;46,082030188679255;40,04206037735855;48,427181132075475;48,276432075471746;50,41944931;46,5849266786725;40,04206037735855;51,569667924528346
16, May;51,314332075471725;45,68764528301887;38,99605283018872;45,466013207547235;47,72175094339627;42,0449344;48,66066117828666;38,99605283018872;51,314332075471725
17, May;50,59538867924533;44,75019622641514;36,64314716981136;43,6908245283019;44,36069622641514;43,51639245;44,06581939799338;36,64314716981136;50,59538867924533
18, May;48,610301886792456;43,0592981132076;35,1918566037736;43,76507849442032;46,78716226415099;41,69902495;46,54173398507851;35,1918566037736;48,610301886792456
19, May;47,67762264150946;41,472007547169824;32,85987169811324;39,63746004236475;36,84850033053169;41,96310922;43,206583483406234;32,85987169811324;47,67762264150946
20, Jun;46,351011320754765;39,65075471698117;31,384792452830197;46,71527169811321;37,34567169811322;38,13516469;34,67051771473399;31,384792452830197;46,351011320754765
21, Jun;45,44236226415097;37,377184905660386;29,24849056603773;40,68102606019812;34,73302000755001;34,98586626;29,1295994065282;29,24849056603773;45,44236226415097
22, Jun;44,49842264150948;35,982679245283066;27,535494339622687;28,353435681316512;29,264301207284632;41,56737155;34,12782398326141;27,535494339622687;44,49842264150948
23, Jun;42,99019622641515;35,85772830188682;27,706724528301947;39,16522608189405;35,14444296830521;37,91510809;36,82561951359912;27,706724528301947;42,99019622641515
24, Jul;39,92148679245287;32,81428679245289;26,83508679245284;34,48589245283023;35,36447171420451;36,20173546;28,624045031055914;26,83508679245284;39,92148679245287
25, Jul;41,08903396226418;34,47406037735851;25,485079245283032;31,178283111422616;34,84535564853559;36,22318101;33,07657857479944;25,485079245283032;41,08903396226418
26, Jul;39,49664150943403;33,917894339622706;27,095101886792463;27,14972132628054;26,855877862595435;39,46823358;29,642657894736885;27,095101886792463;39,49664150943403
27, Jul;39,30941132075475;32,38189433962265;27,268958490566092;33,099158021712924;30,264613766730406;27,93305556;31,212224669603586;27,268958490566092;39,30941132075475
28, Aug;37,69015094339625;32,312641509434;27,997984905660417;31,866223870532735;31,17836737022253;32,33509155;31,76353658536584;27,997984905660417;37,69015094339625
29, Aug;34,78668149550407;30,4439195456697;25,6944107903455;28,721075211864445;23,717809523809535;34,64381494;29,054505928853814;25,6944107903455;34,78668149550407
30, Aug;36,07095094339627;30,656067924528315;26,810120754717047;29,862949050949112;26,825673271330402;28,06820437;33,048376479771036;26,810120754717047;36,07095094339627
31, Aug;33,85826571051143;29,3625042460842;25,252264578222366;25,009870713884197;26,952537870472042;30,49277532;26,248360655737713;25,252264578222366;33,85826571051143
32, Sept;38,21736603773587;30,82020377358492;26,116807547169856;29,082365835223015;25,88402019685543;35,79596419;29,484041666666712;26,116807547169856;38,21736603773587
33, Sept;35,36954716981131;30,379388679245324;26,44411320754722;30,33793244919383;29,344400000000007;33,59184131;28,710505008347297;26,44411320754722;35,36954716981131
34, Sept;36,155932075471696;31,276747169811358;27,43532830188684;30,897539833650683;29,518896905259226;30,42613493;30,684044250064346;27,43532830188684;36,155932075471696
35, Sept;37,571600000000046;33,073245283018935;29,043147169811334;31,712905934522155;30,498975471698145;32,36698065;33,58789040391048;29,043147169811334;37,571600000000046
