"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,39624376982334;33,88336656094248;28,64599456275488;31,22847734703413;35,09215677390125;38,04158157;30,03907730673319;28,64599456275488;38,39624376982334
2, Jan;38,683439057544206;34,60343905754422;29,785931128228412;34,45013593112827;36,980376076121445;32,47102054;31,769527363184125;29,785931128228412;38,683439057544206
3, Jan;37,787671046669686;33,75519256909837;29,233652016311794;35,109764386044446;36,09889392565731;17,10652174;36,268783873099835;29,233652016311794;37,787671046669686
4, Jan;39,10011327594026;35,35327140915274;31,829827820570927;35,742532850022656;33,90912925170073;37,75399502;37,50508400746736;31,829827820570927;39,10011327594026
5, Feb;38,37862709560494;35,43595378341644;30,291033076574536;32,17354327140919;37,940199456029006;35,32221622;37,138799004355974;30,291033076574536;38,37862709560494
6, Feb;40,379787041232476;36,25545536927956;31,62614861803354;32,375346624377016;33,4254607353609;37,37541728;35,601417910447765;31,62614861803354;40,379787041232476
7, Feb;42,109519710013615;37,18689170820119;32,999270502945194;34,981418214771224;35,2748210240145;36,3445398;39,26784825870652;32,999270502945194;42,109519710013615
8, Feb;40,99307204349799;37,528966923425514;32,69888083371097;38,56923878568193;34,15872677843225;36,87496269;39,88024268823898;32,69888083371097;40,99307204349799
9, Mar;45,19280018124152;39,4026053466244;35,097575894879924;42,28472587222478;36,84331218849121;38,46233354;42,626616915422915;35,097575894879924;45,19280018124152
10, Mar;45,066438604440464;40,169873130946996;35,359469868599945;39,42656547349344;37,56668328047124;39,81905473;42,28990043559429;35,359469868599945;45,066438604440464
11, Mar;45,31321703670142;40,332011780697826;35,5660489352062;39,94063887630267;39,06023572076157;40,03701493;40,78598258706472;35,5660489352062;45,31321703670142
12, Mar;45,020149524241106;40,7961712732216;36,34574988672409;40,40963751699144;38,682070684186726;39,71928438;42,40936567164181;36,34574988672409;45,020149524241106
13, Apr;45,81996828273674;41,51946986859997;36,821871318531976;36,5438356786201;39,914313547802465;44,79318408;44,19060945273634;36,821871318531976;45,81996828273674
14, Apr;44,868160398731334;41,423919347530614;36,737521522428665;44,453942002718634;38,09542818305397;44,43621033;41,597935323383126;36,737521522428665;44,868160398731334
15, Apr;46,33012686905306;42,57821024014498;38,63461259628457;43,52603081105576;43,94107385591303;43,94889235;40,36241293532339;38,63461259628457;46,33012686905306
16, May;46,602387856819234;42,18857725419127;36,41005437245133;42,2960834088849;41,93887177163572;38,97925373;45,250410447761226;36,41005437245133;46,602387856819234
