"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,954094695309095;33,47530469092504;26,874936431389756;31,77010123239438;34,322389302937324;38,5761271;27,611384892086335;26,874936431389756;38,954094695309095
2, Jan;39,77254274441037;34,05512056115742;28,225992985532685;35,28355545813241;39,6144585708023;33,79446043;30,12374700239809;28,225992985532685;39,77254274441037
3, Jan;38,46960543621219;33,98395879000441;28,961880754055244;35,638132398071036;36,596654975887816;35,23447525;36,93890287769784;28,961880754055244;38,46960543621219
4, Jan;39,314357737834314;34,643914949583575;29,885545813239844;37,085089872862795;33,57590968873302;38,70019185;37,944922062350145;29,885545813239844;39,314357737834314
5, Feb;39,33722490135909;34,58436212187638;28,946729504603297;33,450868040333205;37,98049101271374;33,62445212;37,10606115107913;28,946729504603297;39,33722490135909
6, Feb;40,20284524331436;35,71705830775977;30,117864971503764;30,144207410655554;34,558956597983354;40,04066867;35,79159472422066;30,117864971503764;40,20284524331436
7, Feb;40,78385357299436;36,625957913195975;32,317110916264824;33,922507672073664;34,14098640946952;35,67661271;36,826683658170964;32,317110916264824;40,78385357299436
8, Feb;41,28019728189389;37,08659798334071;32,46160894344587;38,886212187637;34,92315212626045;36,34775779;40,866013189448495;32,46160894344587;41,28019728189389
9, Mar;45,56845681718545;39,034796142043035;34,406896098202594;42,803945637878144;36,305769399386236;38,24370504;43,90570743405277;34,406896098202594;45,56845681718545
10, Mar;44,27565541429203;39,387764138535715;34,37371766768962;39,44194651468655;37,09035072336695;41,24840528;40,50291966426863;34,37371766768962;44,27565541429203
11, Mar;44,46069706269185;39,25270056992548;33,68914072775101;39,54916703200354;38,875050416484044;39,08184652;39,74930455635496;33,68914072775101;44,46069706269185
12, Mar;44,41875054800528;39,716321788689186;33,92226654975889;39,99014905743098;36,62149934239375;42,06241007;41,082673860911314;33,92226654975889;44,41875054800528
13, Apr;44,919548443665064;40,063818500657646;35,29517316966246;38,9955940377028;39,427444103463415;44,49664269;43,51989808153479;35,29517316966246;44,919548443665064
14, Apr;43,660626918018465;39,907185444980314;34,30062691801845;43,041551950898736;36,608277071459895;40,829994;41,60615707434056;34,30062691801845;43,660626918018465
15, Apr;45,348307759754505;41,51679526523458;37,53184129767652;43,66072336694435;43,59845243314339;43,60543165;40,46821342925665;37,53184129767652;45,348307759754505
16, May;44,96658044717236;40,7336650591846;34,53420868040337;42,45452433143362;41,598066637439786;37,93905276;41,49245803357314;34,53420868040337;44,96658044717236
17, May;44,97762823323109;40,32822884699698;34,325914072775106;41,75549320473482;43,359636124506835;38,53297962;40,784652278177475;34,325914072775106;44,97762823323109
