"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,108606229548;33,36218034177682;28,63798206278034;32,723906193188725;35,030070294509756;38,46273058;29,149494214876086;28,63798206278034;39,108606229548
2, Jan;38,938037813598385;34,038655920494534;28,868606229547993;34,62365410253307;35,92964610350265;35,7202281;32,404201652892596;28,868606229547993;38,938037813598385
3, Jan;38,61697127620897;34,70747182159744;30,77834807902076;37,32104835777483;37,485823536541034;35,90157686;32,72500249542509;30,77834807902076;38,61697127620897
4, Jan;41,572695430856925;36,95641134407953;33,2791649497031;37,1209756393165;37,094695188462026;41,2206876;37,97533223140499;33,2791649497031;41,572695430856925
5, Feb;41,21131378014792;37,36681493152349;32,09707308205071;36,75113925584782;38,32533147497276;39,47576198;40,514641322314105;32,09707308205071;41,21131378014792
6, Feb;42,636808871651965;37,98742334262516;34,143351108956494;34,93667797842687;37,21633862562118;42,20190413;35,23880991735541;34,143351108956494;42,636808871651965
7, Feb;42,41118773482003;38,82676887649984;34,7684971518604;36,282711186522874;35,71981456793122;38,72626777;39,30205289256202;34,7684971518604;42,41118773482003
8, Feb;43,87261544055269;39,17488668040238;34,69876499818207;41,44829354017702;35,18929947885107;38,66095868;41,71460165289261;34,69876499818207;43,87261544055269
9, Mar;45,43778814689131;40,12602472427585;32,90804872136715;43,05301539207369;36,49244334020119;35,860167;42,96133223140498;32,90804872136715;45,43778814689131
10, Mar;46,0246939764877;40,81339837595448;35,49118288692284;38,86016361653134;38,37044358259607;41,07523636;42,92610909090911;35,49118288692284;46,0246939764877
11, Mar;46,08507938431711;41,61731547691193;35,40578232941465;41,486800387831806;39,30482729366139;44,65073719;42,04358677685957;35,40578232941465;46,08507938431711
12, Mar;47,73390740516305;41,32682947521516;34,63547085201799;38,658680159980634;40,658517755423645;42,05025785;47,58177851239674;34,63547085201799;47,73390740516305
13, Apr;47,29715064840627;42,4024615198158;36,99787056114417;42,1348430493274;37,39507574839416;45,04792397;43,459570247933925;36,99787056114417;47,29715064840627
14, Apr;46,01552175493879;41,85594836989458;36,71118531087143;45,06537268209917;41,55639680038786;44,5821157;37,728627872375625;36,71118531087143;46,01552175493879
15, Apr;47,36110410859288;42,28225306023518;37,26718094776396;43,73861471336812;43,20974548539573;47,07347107;45,30204628099176;37,26718094776396;47,36110410859288
16, May;46,15219367349414;41,192368197794224;33,335633256574965;40,711534359471614;43,887147012483354;34,03679008;41,01353719008267;33,335633256574965;46,15219367349414
17, May;45,38195976245305;40,11706581020485;34,18581868864385;40,651066537389454;36,984553387468225;43,79089256;37,26230741079604;34,18581868864385;45,38195976245305
18, May;45,95697854805485;38,60900133317176;31,10100472669984;43,11180562659848;40,164504908495985;39,26943066;42,1105983471075;31,10100472669984;45,95697854805485
19, May;42,87295964125565;36,452579081323506;27,605767785722946;37,36700467384679;33,37654611211576;41,51280331;38,99324628099174;27,605767785722946;42,87295964125565
20, Jun;41,51642103987399;34,53184220094539;26,823220215731453;40,250489637619694;32,43556620428757;35,81959008;35,67359152598482;26,823220215731453;41,51642103987399
