"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,27901734104046;30,95042389210022;25,870578034682126;28,384807321772655;32,896257225433544;34,79710879;27,06803985625612;25,870578034682126;37,27901734104046
2, Jan;36,22109826589599;31,340944123314102;25,905375722543397;29,530606936416234;33,619754335260154;30,32322444;27,503897419144096;25,905375722543397;36,22109826589599
3, Jan;36,312292870905594;32,066859344894056;27,69073217726401;32,1385934489403;33,99485067437382;32,19796454;30,810354330708662;27,69073217726401;36,312292870905594
4, Jan;37,65516377649328;33,91951830443162;30,796184971098285;33,33016377649329;33,92460500963398;35,11655995;34,93540346292065;30,796184971098285;37,65516377649328
5, Feb;38,96225433526013;34,85703275529869;29,45978805394992;31,99498554913299;36,8726589595376;35,27868997;37,48632146357403;29,45978805394992;38,96225433526013
6, Feb;40,24899807321776;35,88439306358384;31,783256262042414;32,370968208092506;35,18996146435455;34,65637181;34,774116301862136;31,783256262042414;40,24899807321776
7, Feb;41,64776493256261;37,28044315992298;33,30294797687861;34,51535163776498;35,83237957610794;34,03442992;38,23968964390724;33,30294797687861;41,64776493256261
8, Feb;43,18614643545283;38,43978805394994;33,993545279383454;38,95882466281313;34,36504335260122;37,51206468;41,25278993792881;33,993545279383454;43,18614643545283
9, Mar;44,088188824662836;39,22737957610792;33,37011560693645;40,817919075144516;35,967418111753375;35,48947076;41,24057824240447;33,37011560693645;44,088188824662836
10, Mar;45,08327552986515;40,341098265895994;35,07315992292877;38,29683526011564;37,09458092485556;39,89338451;43,41154197974521;35,07315992292877;45,08327552986515
11, Mar;45,52260115606941;41,09319845857419;35,67221579961466;41,45138246628136;41,0305828516378;41,59256125;41,31904279647176;35,67221579961466;45,52260115606941
12, Mar;45,987148362235075;40,8246820809249;35,29479768786132;38,47947013487476;38,416946050096385;40,38698791;45,908699771316606;35,29479768786132;45,987148362235075
13, Apr;45,40406551059738;41,54543352601155;37,411753371869;40,013034682080956;38,347105009633935;42,44790265;43,121205488402495;37,411753371869;45,40406551059738
14, Apr;44,9211560693642;41,42982658959539;38,078612716763075;44,5553131021195;39,87250963391136;43,34206142;43,008079059131035;38,078612716763075;44,9211560693642
15, Apr;46,11183044315993;41,667052023121414;36,25870905587669;42,25296724470138;43,4585597302505;44,23995753;41,61013067624964;36,25870905587669;46,11183044315993
16, May;44,537032755298696;41,17348747591524;34,287784200385374;39,52712909441237;41,9674759152216;38,41472395;41,3577556354133;34,287784200385374;44,537032755298696
