"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;41,55995728876508;35,36315877437329;29,54884493964721;31,553488760914036;37,06245311049213;41,53292671;30,95876997210246;29,54884493964721;41,55995728876508
2, Jan;41,24545403899725;35,93901021355623;30,37781429897865;36,20070380687099;39,83153389043645;36,91219122;32,24068729393866;30,37781429897865;41,24545403899725
3, Jan;39,01395171773447;34,80462952646246;29,69687093779021;37,61976044568246;38,34754874651816;32,59107373;29,99993197278917;29,69687093779021;39,01395171773447
4, Jan;41,52537233054784;36,762066852367695;33,11968245125348;37,34262024141134;36,790174558960075;39,9394243;39,03279989855446;33,11968245125348;41,52537233054784
5, Feb;41,484012999071524;37,19559702878371;30,86598514391835;34,68562116991649;40,30379758588674;38,65054384;40,72327415673351;30,86598514391835;41,484012999071524
6, Feb;42,819010213556226;38,29402599814301;34,20129433611885;34,52199628597964;35,95054596100283;38,71661933;37,40676895764648;34,20129433611885;42,819010213556226
7, Feb;43,379678737233064;39,19409656453115;34,65285979572889;36,97783286908083;38,770319405756766;37,22081917;41,033099163073814;34,65285979572889;43,379678737233064
8, Feb;43,90085979572888;39,85002228412259;35,50672794800374;40,881981429897905;35,82575487465181;38,24951813;43,34694648744613;35,50672794800374;43,90085979572888
9, Mar;46,89950046425258;41,777361188486566;36,7697623026927;44,44333704735379;40,01720148560821;41,28905148;45,302756784174505;36,7697623026927;46,89950046425258
10, Mar;47,77713834726097;42,84794986072427;36,88968059424326;42,361892293407664;39,91382544103993;42,84420238;46,55408825767188;36,88968059424326;47,77713834726097
11, Mar;48,74940947075214;43,13927762302694;36,92447353760451;42,145008356545986;42,86638997214487;46,86682983;43,25540197818924;36,92447353760451;48,74940947075214
12, Mar;49,22340761374193;43,26944661095638;37,7614651810585;42,929045496750234;41,51868709377902;42,54853749;49,10314734973372;37,7614651810585;49,22340761374193
13, Apr;50,158924791086406;44,47302692664812;39,1073073351904;41,33203899721451;41,735500464252596;50,09007101;47,64939639868123;39,1073073351904;50,158924791086406
14, Apr;49,132963788300856;44,52817270194987;40,11235097493039;47,93537790157848;42,25624698235839;47,52756531;44,949259447121506;40,11235097493039;49,132963788300856
15, Apr;49,779203342618416;45,26961002785521;40,4206146703807;46,52316620241413;48,43153389043641;46,8691225;43,64839208724328;40,4206146703807;49,779203342618416
16, May;49,63866480965646;44,737643454039016;38,28315134633243;44,3459108635098;46,42933147632317;41,69230789;47,932946994674126;38,28315134633243;49,63866480965646
17, May;49,10750046425261;43,766649953574756;36,91012256267413;43,5471030640669;41,265732590529296;41,26020036;43,876720770986594;36,91012256267413;49,10750046425261
18, May;48,93505106778093;42,2605701021356;34,60846982358407;44,77628040854228;42,84901578458681;39,2065052;45,25954095866092;34,60846982358407;48,93505106778093
19, May;47,545977715877484;41,685491179201506;34,793844011142085;40,33198986828779;39,0328863298663;43,98049455;43,16159523205687;34,793844011142085;47,545977715877484
20, Jun;47,09414484679667;39,72900464252558;30,514014856081758;45,187559888579415;37,01368430826375;42,04213289;30,802486637821346;30,514014856081758;47,09414484679667
21, Jun;45,96309192200562;37,75837511606318;29,390895078922995;39,303290822136205;31,00030269266483;34,45874739;32,947051020408196;29,390895078922995;45,96309192200562
22, Jun;43,13597957288772;35,23290064995359;26,713026926648126;29,664268849961957;28,465159533073972;37,49121227;30,513575248281143;26,713026926648126;43,13597957288772
23, Jun;45,317981429897884;35,953658310120716;28,425428040854285;42,05158471337586;34,77064436691978;31,86284256;36,687105439892605;28,425428040854285;45,317981429897884
24, Jul;40,30188486536679;33,98778272980502;26,711155060352837;37,22868444444447;34,6374339622642;34,84350714;34,00328112118717;26,711155060352837;40,30188486536679
25, Jul;38,99957103064071;33,81678922934077;28,35685236768802;30,330176870748346;37,45169294037015;31,45613124;30,328024691358053;28,35685236768802;38,99957103064071
26, Jul;39,340502045370044;33,808006693938296;28,62398289326893;29,893079819277148;26,636352459016393;35,58554927;25,73619926199268;28,62398289326893;39,340502045370044
27, Jul;34,92044753946146;31,29835654596104;28,51836768802235;34,16536077481845;29,597913110938748;27,30240506;31,747249175694833;28,51836768802235;34,92044753946146
28, Aug;38,052644382544145;32,51147446610963;28,001584029712205;32,01083333333332;33,92287972508592;34,75449283;;28,001584029712205;38,052644382544145
29, Aug;35,277587743732624;28,504551532033474;23,59844939647172;;28,146140350877204;28,22142857;28,603864836325272;23,59844939647172;35,277587743732624
30, Aug;33,586163416898785;28,53506592386259;24,75942246982362;31,465425672695233;27,56519391634987;27,26508475;31,71123583934093;24,75942246982362;33,586163416898785
31, Aug;31,9583528319406;29,136232126276752;25,30377901578464;23,669755826859046;27,070950965824693;28,7294707;27,31295495495499;25,30377901578464;31,9583528319406
32, Sept;33,071132776230286;28,474512534818984;23,961116063138377;27,937827038861542;24,213132682004414;29,84166624;29,00563469855001;23,961116063138377;33,071132776230286
33, Sept;31,629052924791154;27,906297121634168;24,280224698235884;27,926385362210624;27,26963602599818;30,90885874;26,474150724637695;24,280224698235884;31,629052924791154
34, Sept;33,62303621169923;29,009598885793878;25,37713834726094;31,05287650602412;29,06534831878139;30,357649;27,67453204476095;25,37713834726094;33,62303621169923
35, Sept;35,33493221912727;30,967244196843126;26,417836583101234;30,369795539033476;31,366889632107018;34,03575686;31,051567334516903;26,417836583101234;35,33493221912727
36, Oct;35,861936861652794;31,946081708449412;28,98532404828228;29,38286322188452;25,183333333333337;35,44275171;31,12868627948268;28,98532404828228;35,861936861652794
37, Oct;38,6019034354689;33,64252739090068;29,197052924791137;32,346660475482906;;36,87332425;33,87373827035253;29,197052924791137;38,6019034354689
38, Oct;40,25003714020431;35,49353574744663;31,37525162488396;34,01040111420616;33,494817084494;35,80708887;38,04648998224701;31,37525162488396;40,25003714020431
39, Nov;41,6917901578459;37,13578644382551;31,906029712163445;37,297320334261826;35,118623955431815;39,12651027;38,92573421252854;31,906029712163445;41,6917901578459
40, Nov;43,35109563602606;38,41863881151346;33,67021912720526;38,91674466109566;37,5837047353761;42,0991797;42,00344154197313;33,67021912720526;43,35109563602606
41, Nov;43,25209470752094;39,10965459610031;35,377836583101214;37,83912534818944;36,5884921077066;42,165719;39,694519401470984;35,377836583101214;43,25209470752094
42, Nov;43,101483751160686;38,615452181986996;34,3657808727948;39,61404456824516;36,46618198700094;42,47752219;38,97989094598023;34,3657808727948;43,101483751160686
43, Dec;42,75952646239557;37,8848895078923;33,69401857010217;38,67892107706598;37,83023026926651;38,58592916;40,37553385746895;33,69401857010217;42,75952646239557
44, Dec;41,20558031569175;36,65415227483754;32,47044196843086;35,760926648096586;39,11039368616531;37,51413901;39,880712655338584;32,47044196843086;41,20558031569175
45, Dec;40,41262209842154;35,95514391829158;29,399808727948027;34,645940575673194;35,05964902506963;34,92500696;37,21071011919861;29,399808727948027;40,41262209842154
46, Dec;41,44728876508822;35,46620055710309;29,113740018570127;39,58078551532037;34,72147102526009;39,60965508;39,0139965146675;29,113740018570127;41,44728876508822
