"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;43,47735782586818;35,45706592853554;29,444806240563707;34,92784599899352;37,42447156517363;43,47784636;31,071834705075503;29,444806240563707;43,47735782586818
2, Jan;42,14050830397588;36,09352289884254;29,816200301962795;35,38091092098648;41,821220432813334;38,26370713;32,06158779149524;29,816200301962795;42,14050830397588
3, Jan;39,7417564167086;35,43637141419231;30,293804730749912;38,308281328636156;39,24063160543534;35,81161717;32,72041263852867;30,293804730749912;39,7417564167086
4, Jan;41,96822848515353;37,10755410166081;33,28321590337197;37,238213387015605;38,07658782083547;41,33662551;39,89158436213995;33,28321590337197;41,96822848515353
5, Feb;42,396834423754456;37,775314544539526;31,318807247106236;35,61271766482133;41,05053850025166;40,37206104;41,38241769547329;31,318807247106236;42,396834423754456
6, Feb;42,966960241570234;38,5934121791646;34,05338198288882;35,66542023150481;37,36569451434326;40,16993827;37,87584362139921;34,05338198288882;42,966960241570234
7, Feb;43,671660795168634;39,560055359839;34,47679416205335;37,55227730246605;39,806899849018635;37,97990055;41,2015569272977;34,47679416205335;43,671660795168634
8, Feb;44,803457473578305;40,46372924006039;36,49469048817315;41,95680674383499;36,91130095621543;39,22385117;44,21122770919072;36,49469048817315;44,803457473578305
9, Mar;47,325530951182714;41,95997483643686;35,65108706592861;44,9241368897836;40,66598892803222;38,95833683;45,38267832647466;35,65108706592861;47,325530951182714
10, Mar;48,47441872169105;43,44651736285863;37,196351283341755;43,517317564167115;41,12217916456973;44,76961934;47,68823045267493;37,196351283341755;48,47441872169105
11, Mar;49,588560644187226;43,75075490689483;37,31614997483649;43,42646703573229;43,88043784599904;47,88840192;44,82893347050759;37,31614997483649;49,588560644187226
12, Mar;50,46393054856571;43,63925012581785;37,2793507800705;43,19098137896327;42,20826623049828;43,13333458;50,44490740740741;37,2793507800705;50,46393054856571
13, Apr;50,86451434323101;45,135334675390084;39,84253145445399;42,9722999496729;41,561127327629606;50,42997257;47,327901234567946;39,84253145445399;50,86451434323101
14, Apr;50,068862606945174;45,36534977352795;40,70336688475089;47,960686965274306;43,61624559637647;48,45288409;46,09735939643349;40,70336688475089;50,068862606945174
15, Apr;51,1776094614998;46,00659788626069;40,28802717664826;47,4084801207851;49,379748364368425;50,24510974;45,776196844993194;40,28802717664826;51,1776094614998
16, May;50,31959235027682;45,22680926019126;38,57583794665328;44,383605938600965;47,798412179164586;41,75708505;49,438854595336124;38,57583794665328;50,31959235027682
17, May;49,57758933064923;44,39459989934579;37,067453447408184;43,07958228485154;42,44070961248116;43,10478052;44,62512688614544;37,067453447408184;49,57758933064923
