"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,52297574004007;33,74506343200534;27,453356332072133;30,46054928976406;35,094786334297794;38,83740398;28,73171550022778;27,453356332072133;39,52297574004007
2, Jan;40,51940574226575;34,504039617182286;28,120064544847594;35,78169597151128;40,377472735366155;34,93975406;30,80069834522544;28,120064544847594;40,51940574226575
3, Jan;38,66375472957935;34,33912530603163;29,290774538170524;37,06468395281553;37,4279746271979;32,9400214;35,017996790585755;29,290774538170524;38,66375472957935
4, Jan;40,12971511239709;35,70127976852888;30,801391052748784;36,96427331404408;35,99649009570447;39,75308486;38,45515864581756;30,801391052748784;40,12971511239709
5, Feb;40,46039839750728;35,76947473848213;30,06520587580684;32,58902960160253;39,379846427776556;35,48759745;38,01144223470476;30,06520587580684;40,46039839750728
6, Feb;41,827289116403335;36,96183618962834;31,42597151123971;31,14069775205877;35,04914422434905;41,4026021;36,53742219523309;31,42597151123971;41,827289116403335
7, Feb;42,8268884932117;38,15384153127093;33,6736990874694;36,40515802359232;37,01967838860452;36,75580234;39,901510551085494;33,6736990874694;42,8268884932117
8, Feb;42,86356777208994;38,64338526596936;34,492394836412245;40,57663142666371;35,91278766970851;37,33606953;42,37640200394719;34,492394836412245;42,86356777208994
9, Mar;47,30717338081462;40,69365012241269;35,26255286000446;44,08635655464059;38,79487424883155;38,19374505;45,21803856080163;35,26255286000446;47,30717338081462
10, Mar;46,45892054306705;41,446287558424274;35,191366570220396;40,835370576452306;39,63117627420439;42,82757097;43,68916805829667;35,191366570220396;46,45892054306705
11, Mar;47,392069886490106;41,67426886267532;35,82773425328293;41,08479746271985;41,19071778321836;42,47596478;42,29081827842725;35,82773425328293;47,392069886490106
12, Mar;47,64608279545962;42,549835299354584;36,92693745826841;42,28812597373695;39,994981081682624;44,33224076;45,724334294823166;36,92693745826841;47,64608279545962
13, Apr;48,37664144224351;42,791419986645906;37,289919875361704;41,02075228132651;42,02523926107284;48,73208672;45,6627857901928;37,289919875361704;48,37664144224351
14, Apr;47,684008457600726;43,139410193634546;37,48645671043852;45,84816269752952;40,123026930781236;43,7445271;44,506568999544584;37,48645671043852;47,684008457600726
15, Apr;48,46723569997778;44,617157801023836;39,675639884264456;46,93139995548631;47,045352770977104;45,22146197;42,77506148474271;39,675639884264456;48,46723569997778
16, May;48,72007344758515;43,87826619185404;37,299463610060116;44,65676274204321;44,49583129312265;40,84191286;47,14999696371643;37,299463610060116;48,72007344758515
17, May;48,52129312263526;43,28911862897843;35,18531270865793;44,13621633652349;46,33083018028043;38,94211781;42,81128738424172;35,18531270865793;48,52129312263526
18, May;47,14856220787897;41,825864678388655;34,504751836189655;42,60507789895394;43,47082461606948;40,35215121;45,01459693335357;34,504751836189655;47,14856220787897
19, May;46,820442911195244;41,62872245715562;34,82478744714001;39,8384095375344;38,89138771422216;42,22452862;41,485788674662274;34,82478744714001;46,820442911195244
20, Jun;46,000251502336994;39,90265969285559;32,12123970620968;44,16299131983084;36,818874916536856;37,90219827;34,942509488386236;32,12123970620968;46,000251502336994
21, Jun;44,25100600934792;38,20683062541735;28,07362786556871;39,51163267599304;39,442617404852;39,75585474;27,649234119483936;28,07362786556871;44,25100600934792
22, Jun;43,18955041175167;36,71854217671938;28,99352993545517;35,227249537478315;32,51062284163794;40,79677091;30,38930955647004;28,99352993545517;43,18955041175167
23, Jun;46,69310965083258;36,81671604388265;31,48533106866404;39,6127444138009;36,07446547048983;34,825218;36,62467730468444;31,48533106866404;46,69310965083258
24, Jul;40,29313376363234;34,67401068328513;28,5614622746495;31,814069074136626;36,47053255118476;35,30231105;31,251006667750858;28,5614622746495;40,29313376363234
25, Jul;41,92013585285406;36,37674903561248;28,290178900877777;31,69639041715999;40,43820387062567;33,82075645;30,437865456697637;28,290178900877777;41,92013585285406
26, Jul;40,635033164260676;34,40126693049439;26,847119447076523;28,792282171581803;28,14567289853005;38,59880707;30,20324768879823;26,847119447076523;40,635033164260676
27, Jul;39,761533496550214;33,27182951257515;26,53498553305144;33,709217025331554;34,788280737473144;27,87383399;31,33860954063607;26,53498553305144;39,761533496550214
28, Aug;39,38088804807478;33,77287558424217;27,844613843756974;36,87089505817306;33,43443014882382;33,8834457;28,78194062845415;27,844613843756974;39,38088804807478
29, Aug;36,17055874005234;31,14159552562751;27,172128109521964;30,415217391304395;36,77179775280905;33,07641509;29,8562337662338;27,172128109521964;36,17055874005234
30, Aug;39,41158468729134;32,77612508346317;27,767943467616305;33,4367531938027;30,165467536502035;29,40985138;33,11699197860963;27,767943467616305;39,41158468729134
31, Aug;37,15413532161142;31,620264856443384;27,268072557311427;31,396304396843334;29,62915431081825;30,62002685;26,722140459592083;27,268072557311427;37,15413532161142
