"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,79240094618575;32,683116499113;25,878811354228276;31,688276167948004;33,589769367238375;38,05676358;26,868642075395258;25,878811354228276;38,79240094618575
2, Jan;39,43053222945008;33,5191898285039;27,600892962743956;34,56834417504439;39,22894441159082;31,92036408;28,563817888148606;27,600892962743956;39,43053222945008
3, Jan;37,52597871082202;33,26897102306333;28,656126552335934;35,24460082791251;35,3684777761261;34,03064255;34,67292751867558;28,656126552335934;37,52597871082202
4, Jan;38,87024837374338;34,137380248373745;29,07483737433472;36,07186871673571;33,33824803441627;38,53618211;37,09344033918842;29,07483737433472;38,87024837374338
5, Feb;39,319118864577206;34,219107037256094;27,911289178001198;31,550894814814853;37,0352908956329;30,77504858;34,87932768019385;27,911289178001198;39,319118864577206
6, Feb;40,33756948551155;35,38118864577177;29,260313424009496;29,295443786982275;34,051892651190315;39,88436705;34,91271350696553;29,260313424009496;40,33756948551155
7, Feb;40,65558249556477;36,46700768775872;32,55625665286817;34,05308397397994;34,07508870490835;34,72682488;37,71737330910565;32,55625665286817;40,65558249556477
8, Feb;40,8943051448847;36,80931401537555;32,374778237729174;37,382392075694895;35,55624778237734;36,38160913;40,604524530587526;32,374778237729174;40,8943051448847
9, Mar;45,78028976936724;38,948852749852165;34,093193376700185;42,223696037847446;36,62021289178006;37,28941438;43,13394912174442;34,093193376700185;45,78028976936724
10, Mar;44,521389710230665;39,4509698403312;34,42088113542286;39,49253104671794;37,23605558840927;41,32475873;40,094491611077444;34,42088113542286;44,521389710230665
11, Mar;44,73035481963336;39,2517504435246;32,763069189828514;39,55733293908929;39,351043761088135;39,64532405;39,097785180698565;32,763069189828514;44,73035481963336
12, Mar;44,838953282081604;40,142111176818446;34,413713778829106;40,31958900059141;36,816611472501506;41,22604684;40,2654209569958;34,413713778829106;44,838953282081604
13, Apr;44,94076286221173;40,43365464222353;35,97425783560027;39,13210884353748;39,59001182732112;43,91414993;43,8613830002019;35,97425783560027;44,94076286221173
14, Apr;43,86379065641637;40,274246008279135;34,29435245416914;43,04447072738026;37,572681845062164;39,70763376;41,6772521704018;34,29435245416914;43,86379065641637
15, Apr;45,66885274985219;42,0083914843288;38,2525783560024;43,77656712004733;43,94150206978122;43,54131032;40,577894205532004;38,2525783560024;45,66885274985219
16, May;45,882714370195174;41,2380307510349;35,51947368421054;41,97947664104083;41,658672383205214;39,43917913;41,9967151221482;35,51947368421054;45,882714370195174
17, May;45,51538143110588;40,92867534003551;35,69605558840925;41,82024101730008;43,97212891780015;37,95039168;41,777171411265954;35,69605558840925;45,51538143110588
18, May;43,88848610289773;39,90248965109407;34,33108811354231;41,0847486694264;41,46998817267894;37,80345447;41,64550979204529;34,33108811354231;43,88848610289773
19, May;43,72820224719101;39,60337670017742;33,59613837965708;37,66344360902258;41,20532751737397;37,90757723;39,42261861498088;33,59613837965708;43,72820224719101
20, Jun;42,57092253104673;38,280821998817316;32,9388468361916;42,71007983441757;36,12617808016569;35,90754797;36,31889936462392;32,9388468361916;42,57092253104673
21, Jun;42,448746303962196;36,829798935541135;29,098799526907214;39,12022327369516;37,699163217031355;37,22563141;29,202023736443664;29,098799526907214;42,448746303962196
22, Jun;42,61615020697815;36,35533412182144;29,613903015966912;38,096028976936736;32,169126831434085;39,16072294;29,801455683424194;29,613903015966912;42,61615020697815
23, Jun;41,431407451212294;36,05917800118277;31,44330573625075;38,06253696037851;36,294978464280405;34,50984156;35,60561360874851;31,44330573625075;41,431407451212294
24, Jul;39,67748669426379;34,27393849793026;28,86107037256062;33,23996133254019;35,321348064659674;33,61217268;32,47623344876757;28,86107037256062;39,67748669426379
