"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,54638554216871;35,07524230254353;29,439729585006717;29,223285358427916;36,82198393574299;40,33924763;30,8966033601169;29,439729585006717;40,54638554216871
2, Jan;40,491274431057604;35,748527443105786;29,546931726907644;35,9454698795181;38,28569477911651;36,30748722;32,590321402483596;29,546931726907644;40,491274431057604
3, Jan;39,325801874163346;34,809817938420395;28,929143239625205;36,80701740294518;38,30638018741638;29,59349835;34,54538940809971;28,929143239625205;39,325801874163346
4, Jan;41,28613386880858;36,619852744310606;32,43316465863455;37,24673360107096;36,56189290495314;39,77467495;39,451344046749455;32,43316465863455;41,28613386880858
5, Feb;40,910979919678766;36,82746720214192;30,292934404283812;33,43491566265061;40,05334672021422;37,18421033;40,38851716581445;30,292934404283812;40,910979919678766
6, Feb;43,213780455153994;37,99904417670683;33,43478179384209;33,21283266398933;36,27960642570281;40,49958364;38,55777209642076;33,43478179384209;43,213780455153994
7, Feb;44,2654966532798;38,89525836680059;33,416382864792524;36,418144578313274;38,33352342704154;38,4855515;40,35177501826155;33,416382864792524;44,2654966532798
8, Feb;43,825550200803264;39,55455689424366;35,47151539491301;40,17382329317269;36,38327978580992;37,24479912;43,0240759678598;35,47151539491301;43,825550200803264
9, Mar;47,90938420348061;41,679665327978626;36,79563855421691;44,48755823293175;39,79349665327982;41,2442878;45,069028487947435;36,79563855421691;47,90938420348061
10, Mar;47,410921017402984;42,35948326639897;35,88029718875504;41,07063721552879;40,11432663989291;42,12549306;45,69892622352086;35,88029718875504;47,410921017402984
11, Mar;48,74318340026775;42,630348058902314;36,90960910307899;41,15213119143243;41,830915662650625;44,57040175;42,99375456537621;36,90960910307899;48,74318340026775
12, Mar;49,30903078982601;43,193603748326666;38,15491030789826;41,31735207496655;41,133314591700184;42,47570801;49,23289992695402;38,15491030789826;49,30903078982601
13, Apr;49,443842034805925;43,96790093708165;38,72313520749668;40,62482730923699;42,379012048192806;49,3590431;46,879181884587354;38,72313520749668;49,443842034805925
14, Apr;48,865443105756356;44,022990629183425;39,25886746987953;46,30220883534139;41,075552878179394;47,07941563;44,836208911614335;39,25886746987953;48,865443105756356
