"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,40581027667986;32,13057971014496;24,93648221343875;31,465688405797152;33,9213274044796;38,31493138;24,999504950495123;24,93648221343875;38,40581027667986
2, Jan;37,92238471673261;32,597167325428245;24,347786561264854;33,99134387351785;37,729552042160776;34,57647019;25,46038470191229;24,347786561264854;37,92238471673261
3, Jan;36,35463768115949;32,286706192358395;27,093241106719404;36,442213438735166;34,75704545454545;34,04626997;27,867262494371914;27,093241106719404;36,35463768115949
4, Jan;37,75005270092231;34,19590250329384;28,68019762845853;33,64648550724638;36,00055006587621;37,42449269;35,32138807649045;28,68019762845853;37,75005270092231
5, Feb;38,39890645586297;34,44067193675892;28,056060606060612;32,83788208168647;37,18520750988148;35,14614398;36,16760179977507;28,056060606060612;38,39890645586297
6, Feb;39,97700922266142;35,457615283267444;30,63524374176552;34,400797101449314;33,39572134387356;38,84021372;32,81318110236225;30,63524374176552;39,97700922266142
7, Feb;41,16744400527011;37,05874835309618;31,864519104084366;36,24762845849807;37,725131752305685;35,13175478;36,95673115860524;31,864519104084366;41,16744400527011
8, Feb;41,69129117259553;37,81342555994729;32,708787878787916;40,282206851119895;35,10448945981557;38,00786727;40,46642294713166;32,708787878787916;41,69129117259553
9, Mar;45,98407114624507;39,703043478260895;33,033135704874894;41,72344861660082;39,410372200263566;36,3147919;42,97336107986507;33,033135704874894;45,98407114624507
10, Mar;46,64578392621877;41,447654808959214;34,388181818181806;42,018669301712805;40,282467061923626;42,83758155;43,044398200224975;34,388181818181806;46,64578392621877
11, Mar;48,231080368906476;41,89974967061926;35,620382081686444;41,993524374176616;41,85416337285909;43,66579753;42,734760404949384;35,620382081686444;48,231080368906476
12, Mar;47,75255599472996;42,373083003952615;36,61914361001317;41,44667654808961;39,895085638998694;38,95153394;45,97358155230597;36,61914361001317;47,75255599472996
13, Apr;51,476824769433506;44,022015810276685;39,2010408432148;42,418567193675926;41,165118577075134;51,94691927;44,8779550056243;39,2010408432148;51,476824769433506
14, Apr;48,54486166007905;43,76973649538871;38,41194993412387;47,558830698287295;41,453853754940724;46,01114736;45,467066366704216;38,41194993412387;48,54486166007905
15, Apr;49,92567852437418;45,73974967061929;39,58048748353099;48,80357378129116;48,088458498023726;48,0123757;45,94573453318338;39,58048748353099;49,92567852437418
16, May;50,51076416337287;44,937483530961856;37,97208168642953;45,95041831357054;46,45519762845851;40,61207424;49,171628796400455;37,97208168642953;50,51076416337287
17, May;49,87911725955206;44,40048748353098;33,17397891963111;43,4188274044796;46,89990118577077;43,77126434;43,35079190101243;33,17397891963111;49,87911725955206
18, May;48,97384716732546;42,971976284585025;35,79355731225297;43,73149538866937;45,938995388669355;41,54788029;45,50780877390332;35,79355731225297;48,97384716732546
