"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,63654392021482;34,6263559647104;28,643540467970865;27,79082045817796;34,983317990026876;40,59220596;29,734119184526946;28,643540467970865;40,63654392021482
2, Jan;41,532623705408525;35,423256616800984;29,346448024549318;36,766072113540474;41,46609512850023;34,82197073;32,276304234187194;29,346448024549318;41,532623705408525
3, Jan;39,48637897967012;34,78390103567324;29,031634062140427;36,93829305715383;37,50100115074798;28,37473118;38,01644902634598;29,031634062140427;39,48637897967012
4, Jan;40,6044150364404;36,4452742616034;32,597019562715786;38,20395473724591;35,3068546221711;39,70386304;39,04556717198119;32,597019562715786;40,6044150364404
5, Feb;39,4860721135405;36,0912734944381;30,85190257000386;33,264200230149584;39,02869581894902;36,79186387;38,427480397281784;30,85190257000386;39,4860721135405
6, Feb;41,85339087073271;37,28080935941699;31,857993862677404;31,680609896432713;35,17845416187191;41,63717198;35,79836382645061;31,857993862677404;41,85339087073271
7, Feb;43,362926735711596;38,169493670886084;33,22606444188722;35,41276946682012;36,18595703874189;37,57807109;39,51007318348144;33,22606444188722;43,362926735711596
8, Feb;42,40860375911012;38,630713463751476;33,51948983505952;40,12532029152288;35,11244725738402;36,57863565;41,84937271301624;33,51948983505952;42,40860375911012
9, Mar;47,10721518987344;40,69942079018034;36,26667817414659;44,380395090141974;38,950989643268144;38,47519603;44,934798745426065;36,26667817414659;47,10721518987344
10, Mar;45,78416187188344;41,117740698120485;34,83763329497509;39,94643268124281;39,27776371308022;42,38810768;43,29681651855725;34,83763329497509;45,78416187188344
11, Mar;47,19418105101653;41,23143459915616;35,293605677023436;40,75272343690068;39,93105101649411;40,442138;42,41824882383696;35,293605677023436;47,19418105101653
12, Mar;46,19790947449178;41,8326160337553;36,88538166474876;41,204737245876515;39,381001150748034;42,11931521;44,71952430737065;36,88538166474876;46,19790947449178
13, Apr;47,185987725354835;41,982673571154635;36,175170694284645;39,88384733410055;41,056260069044924;46,71680606;45,05422373235757;36,175170694284645;47,185987725354835
14, Apr;46,40571921749142;42,27536248561569;37,38453011123897;44,542228615266595;38,54996164173383;43,26098798;43,185358076319915;37,38453011123897;46,40571921749142
15, Apr;47,8679976985041;43,662121212121235;38,863686229382495;45,38279631760645;45,66771384733414;44,65369054;41,65507056978572;38,863686229382495;47,8679976985041
16, May;47,08377061756812;43,00466052934411;36,63820099731498;43,73789413118533;43,91573839662448;39,16242028;44,28397804495563;36,63820099731498;47,08377061756812
17, May;47,14815113156885;42,38644802454934;35,07303030303035;43,30089374760263;44,122366705024945;39,25192368;42,192080501829594;35,07303030303035;47,14815113156885
18, May;45,6978404296126;40,84248177982357;33,269209819716195;41,4906214039126;41,70135404679712;40,17124412;44,170177731312094;33,269209819716195;45,6978404296126
19, May;45,12614883007291;40,22070962792486;34,87270809359421;38,77059422750432;37,57942440521879;38,88405547;41,22955044432831;34,87270809359421;45,12614883007291
20, Jun;44,51450326045267;39,402328346758736;32,9538434982739;41,88387034906026;35,73122746451861;37,1938534;37,518144654088076;32,9538434982739;44,51450326045267
21, Jun;45,356359800537064;38,98535864978902;29,66255082470275;38,34219718309862;39,01722354813052;40,59028846;25,265887265135746;29,66255082470275;45,356359800537064
22, Jun;43,832309167625624;37,12403145377834;29,271787495205217;34,68278859857486;30,582031250000057;41,45841278;32,09058524173031;29,271787495205217;43,832309167625624
23, Jun;42,41762684124393;36,426072013093346;32,22060556464811;39,71349892008641;37,00184482758624;34,62058083;36,66937297297301;32,22060556464811;42,41762684124393
24, Jul;38,1163565891473;33,26029457364342;27,231395348837225;35,69410256410259;35,965274193548396;35,48836268;31,854556962025356;27,231395348837225;38,1163565891473
25, Jul;41,12864406779664;36,90275808936826;31,913852080123263;32,07189602446488;38,84666666666669;34,89321656;29,303009198423183;31,913852080123263;41,12864406779664
26, Jul;37,22112830957235;33,86692871690434;30,313592668024455;30,440193141505745;26,960294117647095;38,97578279;29,662237196765545;30,313592668024455;37,22112830957235
27, Jul;35,7319332566168;31,585466052934464;27,727146144994265;32,448189300411514;34,72579545454545;;30,8842635658915;27,727146144994265;35,7319332566168
28, Aug;36,48541235136173;32,75115841963947;29,169539700805558;34,61110222222226;34,466905349794274;32,30467235;;29,169539700805558;36,48541235136173
29, Aug;36,0881380915439;30,908463925523677;27,483948797517485;36,9671428571429;;;29,328557246856406;27,483948797517485;36,0881380915439
30, Aug;38,91002301495979;32,66557345607981;28,21665899501346;32,39789814066296;28,477164179104477;30,94590444;33,21773286467493;28,21665899501346;38,91002301495979
31, Aug;34,99999616417341;31,596144994246288;28,077403145377843;29,370380434782646;26,754090909090962;30,61053628;28,49000000000001;28,077403145377843;34,99999616417341
