"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,22923282783228;33,898099910793974;28,3361730597681;30,19074034334767;36,13129522108085;37,64541845;30,042369871402343;28,3361730597681;38,22923282783228
2, Jan;38,70741302408567;34,190945584299755;28,897992863514787;34,13755813953492;37,59706146253927;34,19952264;31,95589743589744;28,897992863514787;38,70741302408567
3, Jan;38,51008920606603;34,02801962533454;29,40364852809995;34,564237288135644;37,65169491525427;22,47327586;37,93075794621029;29,40364852809995;38,51008920606603
4, Jan;38,691570026761894;35,02445138269405;31,480008920606622;36,331026327532356;34,266483712628315;37,90080586;38,10326418547896;31,480008920606622;38,691570026761894
5, Feb;38,764647636039285;34,76700267618202;29,104415700267623;32,155760286225416;38,41763603925074;32,04737684;37,37725274725278;29,104415700267623;38,764647636039285
6, Feb;38,9776717216771;35,54074041034795;31,02741302408566;30,823264388489235;34,34748326639897;37,6205867;35,63129505192427;31,02741302408566;38,9776717216771
7, Feb;40,63897413024091;36,584950936663745;33,16557537912581;34,21954423592496;34,588027666220455;34,1279719;37,301578947368455;33,16557537912581;40,63897413024091
8, Feb;40,69981266726137;37,05724353256022;33,021097234612;38,243630686886775;34,66675145024544;35,88519266;40,52150701647349;33,021097234612;40,69981266726137
9, Mar;44,498849241748474;38,83219446922391;34,715441570026826;42,33968317715306;37,33870420017877;37,33974985;42,70414276998173;34,715441570026826;44,498849241748474
10, Mar;44,023916146298006;39,35433541480825;34,89506690454954;38,406226583407715;36,6320160570919;40,32084808;41,04342281879195;34,89506690454954;44,023916146298006
11, Mar;43,864380017841256;39,39251561106158;34,55597680642285;39,185200713648555;39,231553571428606;38,2298779;39,717435897435905;34,55597680642285;43,864380017841256
12, Mar;43,9207582515611;39,510588760035716;33,272694023193594;38,645486173059794;36,92708928571432;34,17943609;42,85274006116208;33,272694023193594;43,9207582515611
13, Apr;44,48992863514724;40,13000000000005;36,29249776984835;37,60076441662943;39,333787405091584;43,10410758;42,741735941320314;36,29249776984835;44,48992863514724
14, Apr;44,03751115075829;40,060633363068746;36,273336306868885;41,806663693131156;37,76318141197504;39,77100367;40,49399267399269;36,273336306868885;44,03751115075829
15, Apr;44,595869759143625;41,07537020517401;36,638296164139206;42,989375557537926;43,70701918786261;43,01952381;39,72806727828748;36,638296164139206;44,595869759143625
16, May;44,51098126672616;40,75797502230154;34,87933095450495;41,09258150960255;41,50052208835348;36,93231051;42,06415140415146;34,87933095450495;44,51098126672616
17, May;43,743630686886775;39,930927743086556;33,6076806422837;41,24564984368027;39,93900000000002;37,68835064;41,203876301286016;33,6076806422837;43,743630686886775
18, May;43,85881355932207;39,58548617305979;32,46884032114184;39,664170077307915;39,030767514502486;41,45138311;42,044045149481406;32,46884032114184;43,85881355932207
19, May;43,70084745762716;38,80636039250669;33,09181980374666;37,474073033707896;37,725816235504055;38,94552941;38,67105134474332;33,09181980374666;43,70084745762716
20, Jun;43,84917930419272;38,584451382694056;32,93310437109727;40,819438001784135;33,47727109515262;40,29229102;38,219041095890475;32,93310437109727;43,84917930419272
21, Jun;45,19340767172173;38,466913470116026;31,22891168599466;38,66766629086811;36,459090909090946;25,95928571;29,838776978417286;31,22891168599466;45,19340767172173
22, Jun;42,76304192685109;36,886110615521886;29,88678858162359;33,451586294416245;33,895939849624085;38,35796726;33,52645988420187;29,88678858162359;42,76304192685109
23, Jun;43,76378985886049;37,12667537898591;30,61008363826454;38,91637296318652;36,48672902836455;37,52550528;38,69882998171852;30,61008363826454;43,76378985886049
24, Jul;40,25462006079027;35,163718338399235;28,909878419452923;37,15439900867415;30,96547267996533;34,96601307;31,991245674740526;28,909878419452923;40,25462006079027
25, Jul;42,31836752899204;37,39226583407674;32,02188224799289;35,964493273542644;38,71785401459857;36,42129545;32,65709759188849;32,02188224799289;42,31836752899204
26, Jul;40,17692235734336;34,732039289055194;29,57927970065481;28,465553235908203;29,433394160583987;39,89597701;28,75948012232419;29,57927970065481;40,17692235734336
27, Jul;39,19326621923943;33,29749888143181;28,04051454138704;28,82213223140502;26,30380782918155;;25,741230283911705;28,04051454138704;39,19326621923943
28, Aug;39,68549954995501;33,75199819981998;28,785769576957705;29,91551226551229;27,99795811518328;35,33235213;26,65673076923082;28,785769576957705;39,68549954995501
29, Aug;41,16825078090142;32,5918295403838;27,605948237394045;29,45063492063497;28,575519480519517;;30,10583386581476;27,605948237394045;41,16825078090142
30, Aug;37,067876895628956;31,59797502230151;27,108126672613764;30,68635509628939;27,881783295711102;29,69536585;33,31648648648655;27,108126672613764;37,067876895628956
31, Aug;33,78216770740414;30,512622658340774;26,463630686886745;24,88761266747872;25,481477272727318;28,46716216;24,037326007326044;26,463630686886745;33,78216770740414
32, Sept;35,05462293618922;30,014051762606016;25,295497545738556;30,98181003584233;28,850796019900486;32,60308978;23,97724832214766;25,295497545738556;35,05462293618922
33, Sept;34,66423728813561;30,40393398751121;26,896672613737735;30,326782449725783;30,415069788383676;29,92862333;28,134729891956795;26,896672613737735;34,66423728813561
34, Sept;35,10744870651206;31,047609277430865;26,930642283675354;29,222465878071034;30,199271794871834;33,43502759;29,814692874692923;26,930642283675354;35,10744870651206
35, Sept;36,973889384478184;32,22056199821594;27,043220338983076;29,75674408217958;32,371867388362716;32,77463609;30,701472629144234;27,043220338983076;36,973889384478184
36, Oct;37,787091882248035;33,095138269402355;29,733389830508486;31,488038095238096;;37,76425814;31,924210526315846;29,733389830508486;37,787091882248035
37, Oct;38,85863514719;34,26466547725249;28,70834076717216;33,01771084337355;;34,43181373;34,13111246943765;28,70834076717216;38,85863514719
38, Oct;40,17870651204282;36,10309545049063;32,179669937555786;33,91611334225797;34,998451584114264;37,45354263;35,236025369978904;32,179669937555786;40,17870651204282
39, Nov;40,19076717216774;37,117725245316706;33,076868867082965;36,08801874163322;35,10433541480825;34,95819113;36,81494694960213;33,076868867082965;40,19076717216774
40, Nov;42,3730330062445;37,25042818911692;32,68136485281002;35,61730357142858;36,65237712243078;39,21604908;42,15974327628368;32,68136485281002;42,3730330062445
41, Nov;42,12054415700271;37,91148082069583;34,51472792149872;35,78023671281824;35,46282715497995;42,33137931;38,889755650580355;34,51472792149872;42,12054415700271
42, Nov;40,61567350579844;36,771391614629806;32,3435236396075;36,26389830508475;34,78195002231149;36,49608589;34,67830165542614;32,3435236396075;40,61567350579844
43, Dec;40,69096342551296;36,186128456735105;30,780347903657514;34,82128960285587;36,40084337349401;37,13209687;27,0626666666667;30,780347903657514;40,69096342551296
44, Dec;38,75344335414809;35,229446922390764;30,088644067796622;33,397933958054466;37,75102586975919;32,88811141;36,116405867970684;30,088644067796622;38,75344335414809
45, Dec;39,272051739518304;34,833407671721716;28,045361284567377;31,831848214285742;34,41479036574492;35,08894372;37,15006150061504;28,045361284567377;39,272051739518304
