"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;38,33917773788153;32,405303411131115;26,776922800718182;29,55938240574511;34,41836983842012;36,56818716;28,154208721215127;26,776922800718182;38,33917773788153
2, Jan;38,24441292639142;32,96438420107722;27,67998922800723;31,208441651705584;34,89565217391305;32,56353258;30,33794218520336;27,67998922800723;38,24441292639142
3, Jan;37,27007899461404;33,398969479353696;29,02766606822263;33,890315978456044;35,53413644524238;34,64050257;31,34812463599303;29,02766606822263;37,27007899461404
4, Jan;38,94444883303413;34,86174865350091;31,65499820466789;34,77062477558354;35,055874326750484;37,45187653;37,3816119549241;31,65499820466789;38,94444883303413
5, Feb;40,38970556552965;35,91163016157992;30,67825134649911;33,12058168761223;38,205763016158016;38,10882901;39,23263106320434;30,67825134649911;40,38970556552965
6, Feb;41,23871095152606;36,76770197486536;32,38091561938961;33,766818671454246;35,126236983842034;37,62096515;35,98393924546792;32,38091561938961;41,23871095152606
7, Feb;41,887041292639196;38,05689407540399;34,36270377019753;36,61326032315981;36,650355475763035;35,76465948;39,27298873101421;34,36270377019753;41,887041292639196
8, Feb;43,460556552962316;38,93066068222623;34,37149371633757;40,479687612208295;34,640197486535044;38,8189221;42,74891719745227;34,37149371633757;43,460556552962316
9, Mar;44,546545780969495;39,99536445242376;33,95078276481149;42,81676122082587;37,36783123877922;36,09577658;43,50451249387561;33,95078276481149;44,546545780969495
10, Mar;45,71692998204668;40,96464272890489;36,14806822262119;39,981985637342916;37,76247396768406;41,21216071;44,32889269965705;36,14806822262119;45,71692998204668
11, Mar;46,310251346499115;41,59886894075407;35,5754578096948;42,178692998204724;41,556901256732544;43,65772171;41,38496325330726;35,5754578096948;46,310251346499115
12, Mar;46,28143985637348;41,062624775583515;36,0124272890485;40,42372710951531;38,65915978456019;41,38322391;46,14083292503676;36,0124272890485;46,28143985637348
13, Apr;46,69968043087971;42,16254578096954;37,276025134649956;40,659737881508136;39,236560143626605;45,74150906;44,14418912297896;37,276025134649956;46,69968043087971
14, Apr;45,69889048473971;41,82585637342913;38,12336445242374;46,2576337522442;40,40537522441656;44,23762371;43,6989073983342;38,12336445242374;45,69889048473971
15, Apr;46,78913105924596;42,25027289048478;37,49517055655298;43,47875763016157;44,77450987432678;45,49914258;42,4319598236159;37,49517055655298;46,78913105924596
16, May;45,70816876122086;41,74984919210061;35,54722082585283;41,59964452423702;43,069296229802546;37,31433121;44,28227339539444;35,54722082585283;45,70816876122086
17, May;45,5325996409336;40,986359066427326;35,65568761220828;41,78891202872535;35,98900179533217;40,32729054;41,26719745222931;35,65568761220828;45,5325996409336
18, May;45,10855655296234;39,82712028725314;32,4030341113106;41,989036491101956;40,560265709156226;38,69976482;43,081714845663896;32,4030341113106;45,10855655296234
19, May;43,69484021543991;38,18793895870738;30,03928545780974;36,895426944971575;37,0878061041293;40,0500539;40,5252425281725;30,03928545780974;43,69484021543991
20, Jun;43,847601436265734;37,66462118491921;29,639314183123872;41,10666068222622;37,3713141831239;40,52680549;34,64233513513517;29,639314183123872;43,847601436265734
21, Jun;41,16241651705565;34,212298025134714;27,251551166965896;35,403600405679526;31,54572710951527;;31,182261306532723;27,251551166965896;41,16241651705565
22, Jun;40,457468581687635;32,725648114901276;26,197016157989253;25,50555261416281;26,378011590003666;35,04811857;33,529624323463906;26,197016157989253;40,457468581687635
23, Jun;39,152276481149045;31,72278994614004;25,09422262118494;37,83252688172047;32,21557299270074;35,28191209;29,382573584905685;25,09422262118494;39,152276481149045
24, Jul;35,559199281867166;29,930100538599675;23,59800718132857;32,95560546173198;31,599768160741917;31,81394923;29,121842456608874;23,59800718132857;35,559199281867166
25, Jul;34,99055296229807;30,219824057450694;25,83519210053862;28,364121475054276;25,958670520231237;28,48683924;26,393686502177104;25,83519210053862;34,99055296229807
26, Jul;33,903701974865385;29,343472172351937;24,795594254937214;25,309651118695513;27,955564853556552;29,02572698;26,088426323319084;24,795594254937214;33,903701974865385
27, Jul;33,308427289048495;28,542150807899475;24,852987432675093;27,178256070640202;26,852970114942593;25,94928634;27,46238095238101;24,852987432675093;33,308427289048495
28, Aug;32,2997091561939;28,07921364452426;24,325159784560185;26,677065063649252;25,78946188340808;31,5364262;24,37814814814817;24,325159784560185;32,2997091561939
29, Aug;28,021360861759433;25,46225134649916;22,60899461400362;;29,13190476190482;25,80285714;26,53759768451522;22,60899461400362;28,021360861759433
30, Aug;30,16846319569123;26,881827648114893;23,41117773788153;28,376995006808954;26,750739762219325;26,43934737;26,83413855970832;23,41117773788153;30,16846319569123
31, Aug;29,084771054049213;26,72878613754716;23,599951517328122;24,014267990074472;26,23336660013308;25,76385159;23,203655913978537;23,599951517328122;29,084771054049213
32, Sept;30,81265709156196;26,948298025134648;22,437590664272932;26,957602238484753;22,767892670157096;29,82064238;27,08773087071245;22,437590664272932;30,81265709156196
33, Sept;29,80095152603235;26,8312710951526;22,975931777378833;27,19422535211271;26,390320354854623;25,71734861;25,337956656346762;22,975931777378833;29,80095152603235
34, Sept;31,33014362657093;27,35059605026936;23,621734290843847;29,765438596491265;28,741992818671463;28,15252327;26,858480392156878;23,621734290843847;31,33014362657093
35, Sept;30,94571274685819;28,122732495511684;24,80335008976664;29,097763016158012;29,675141831238818;30,58752924;28,509910147991548;24,80335008976664;30,94571274685819
36, Oct;32,2541220825853;28,715565529623007;25,066186714542255;27,916958317686806;27,586946564885523;31,60173444;27,099613287060038;25,066186714542255;32,2541220825853
37, Oct;32,24472890484742;29,44154039497306;25,432721723518853;29,4823320158103;;28,77487588;30,205296423321897;25,432721723518853;32,24472890484742
38, Oct;33,133145421903066;30,35486175942549;27,349849192100578;31,73494793536804;29,95337881508084;28,33915842;31,27798138167566;27,349849192100578;33,133145421903066
39, Nov;33,6001615798923;31,00546140035908;28,184003590664304;30,82208617594256;29,294840215439876;29,51262126;32,50993140617351;28,184003590664304;33,6001615798923
40, Nov;35,09396409335733;31,814251346499134;28,46105924596054;32,555274685816926;30,939389587073606;33,39582549;33,50907398334152;28,46105924596054;35,09396409335733
41, Nov;35,218833034111356;32,19147217235195;28,97268581687615;33,81053859964095;30,817877917414762;33,73776826;32,27921117099464;28,97268581687615;35,218833034111356
42, Nov;35,89169479353683;32,26581328545785;27,489913824057453;34,49433393177742;29,54958145408625;31,05705537;33,112675159235664;27,489913824057453;35,89169479353683
43, Dec;35,53610412926395;32,02831238779174;27,93363375224419;35,170517055655296;31,89370556552967;30,48858403;33,89560509554144;27,93363375224419;35,53610412926395
44, Dec;35,47078276481153;31,622136445242404;27,483536804308812;33,47088689407542;33,309881508079;31,70772081;33,8705879470848;27,483536804308812;35,47078276481153
45, Dec;36,15430161579894;32,02750807899463;27,087156193895908;33,56270736086179;30,28661759425495;32,73174914;31,97135717785403;27,087156193895908;36,15430161579894
46, Dec;36,99566606822265;32,21178096947938;28,21488330341117;37,76887253141837;30,67762087123026;35,16097991;35,73251347378738;28,21488330341117;36,99566606822265
