"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,54110040755842;34,821900703964445;29,759670248240127;32,329080459770125;36,661470915153814;39,32659768;31,371344792719924;29,759670248240127;39,54110040755842
2, Jan;39,72751018895889;35,37828454983327;29,57989996294924;35,08883660615044;38,215616895146354;34,42832408;32,24632508833923;29,57989996294924;39,72751018895889
3, Jan;38,86336791404227;34,66074472026679;29,907725083364255;36,353527232308295;37,73111893293816;30,06988764;38,83001818181822;29,907725083364255;38,86336791404227
4, Jan;40,14381252315678;36,06766580214895;32,76454612819566;35,40422008151171;35,434905520563234;38,50528521;38,23839979808179;32,76454612819566;40,14381252315678
5, Feb;40,18658391997042;36,35799555390889;30,819233049277557;33,06977769544278;39,11159318266027;36,60477032;39,348313982837;30,819233049277557;40,18658391997042
6, Feb;41,748910707669495;37,22350129677665;32,41454983327162;33,923879214523936;34,28469236471466;38,68826428;36,76257950530038;32,41454983327162;41,748910707669495
7, Feb;42,96672471285666;38,016683957021144;33,70190070396444;35,73125972582443;36,40718414227496;37,04534578;39,200045431600245;33,70190070396444;42,96672471285666
8, Feb;42,41238606891443;38,68869581326419;33,68737680622456;39,60290848462398;34,47317154501667;37,04588087;41,08767794043416;33,68737680622456;42,41238606891443
9, Mar;46,092148944053406;40,379722119303494;36,123597628751384;43,29424601704335;37,58653204890703;39,50167087;44,16262998485615;36,123597628751384;46,092148944053406
10, Mar;46,14067061874772;41,15108929233054;36,329362726935926;40,43101519081142;38,54304186735834;40,42499243;44,00975769813232;36,329362726935926;46,14067061874772
11, Mar;46,49152649129309;41,686457947387964;36,54938495739168;40,92632456465361;40,436187476843315;42,01872287;42,16862695608279;36,54938495739168;46,49152649129309
12, Mar;45,783382734346105;41,91350500185257;37,996054094108956;41,301433864394255;39,55777324935161;41,06164059;44,184406865219614;37,996054094108956;45,783382734346105
13, Apr;47,771467210077844;42,80719896257875;37,94679140422386;38,62424231196741;40,04381993330867;47,16213529;45,7846188793539;37,94679140422386;47,771467210077844
14, Apr;46,924931456094896;42,82154501667287;38,59900333456841;45,90699888847723;40,4437828825491;46,64588087;42,716148409894004;38,59900333456841;46,924931456094896
15, Apr;47,827873286402394;43,93988514264544;40,00189329381254;45,05227491663584;44,91678769914785;46,01573448;41,60404341241798;40,00189329381254;47,827873286402394
16, May;48,01333456835869;43,51886995183406;37,70845127825123;44,21892182289736;43,333216005928136;40,73498738;46,622539121655734;37,70845127825123;48,01333456835869
17, May;47,990629862912215;43,33989996294929;37,68909596146722;43,796772878844024;40,92967395331607;40,32588087;43,28036850075722;37,68909596146722;47,990629862912215
18, May;46,91580214894407;41,404575768803284;32,4772100778066;42,79385327899223;40,91121526491298;39,14076224;44,72040888440182;32,4772100778066;46,91580214894407
19, May;47,33569099666545;41,8901778436458;34,16488699518345;38,267886412652786;39,03879267277273;44,04015518;41,19278647147905;34,16488699518345;47,33569099666545
20, Jun;46,36875509447947;40,760277880696606;33,413616154131205;43,50594470046087;35,68532352941179;43,4198263;39,82140285071273;33,413616154131205;46,36875509447947
21, Jun;44,581604297888134;38,22019636902559;30,180715079659137;38,5946374216652;32,33391613627856;;29,550258992805766;30,180715079659137;44,581604297888134
22, Jun;43,17148203038164;36,72352352723237;28,861974805483555;33,4447672955975;28,65557692307692;38,99196364;28,704537286612776;28,861974805483555;43,17148203038164
23, Jun;42,02178214153395;34,79694331233793;29,478706928492045;40,38669148056249;33,5233543505675;32,84384351;36,37342205323199;29,478706928492045;42,02178214153395
24, Jul;40,919525959367945;34,876907449209966;28,71067720090298;33,29182377049182;31,26673856773084;30,84947577;32,15405714285714;28,71067720090298;40,919525959367945
25, Jul;38,44786587625049;33,129244164505394;29,074705446461678;31,163717635564296;39,09251063829788;30,06660834;28,78769230769234;29,074705446461678;38,44786587625049
26, Jul;36,66324052590875;34,03447022428463;31,63972931167831;27,664196428571415;35,134615384615415;34,71260813;28,022601626016296;31,63972931167831;36,66324052590875
27, Jul;32,06748795850319;29,893319748054864;28,059840681733988;32,88344827586212;28,674087431694034;25,38375;27,251512915129183;28,059840681733988;32,06748795850319
28, Aug;35,03104483141908;30,930978140051934;27,821441274546146;34,3383400160385;24,963333333333367;33,65138594;24,415454545454566;27,821441274546146;35,03104483141908
29, Aug;34,59550574286777;29,36435346424605;25,68779177473141;26,73121951219514;28,520555555555575;;28,117942708333374;25,68779177473141;34,59550574286777
30, Aug;32,40230826231942;28,134683216005953;23,6534383104854;28,785807050092785;22,04025641025646;29,78533923;28,95904009720539;23,6534383104854;32,40230826231942
31, Aug;31,191400518710623;28,112897369396137;23,338477213782937;24,4056904761905;27,049720410065277;25,60365155;23,966000000000008;23,338477213782937;31,191400518710623
32, Sept;33,64487217487965;28,400263060392774;22,510585402000743;28,652425806451618;23,766994660564478;28,61212014;28,507093469910387;22,510585402000743;33,64487217487965
33, Sept;31,908584660985582;28,37334938866252;24,82193034457208;26,607675111773517;28,339884238646505;27,39146613;28,277786885245916;24,82193034457208;31,908584660985582
34, Sept;32,831326417191576;29,203582808447607;23,665087069284937;30,709435992578847;30,083886624675813;31,87422009;28,5914242115972;23,665087069284937;32,831326417191576
35, Sept;33,73340866987775;30,53829937013711;26,0345276028159;28,323990366802548;30,50981658387468;32,00570462;30,165291139240537;26,0345276028159;33,73340866987775
36, Oct;34,684664690626164;31,404812893664314;27,93635791033722;29,719684366877118;;34,21405856;31,12534578495712;27,93635791033722;34,684664690626164
37, Oct;37,77383845868843;32,810963319748055;28,040307521304214;30,493773165307687;;32,74423206;35,59256436143363;28,040307521304214;37,77383845868843
38, Oct;38,33535012967769;34,513045572434294;30,318188217858506;33,013416080029685;34,5684142274917;32,97611765;36,68654719838469;30,318188217858506;38,33535012967769
39, Nov;39,619173768062296;36,29924786958139;32,25265283438313;36,093897739903696;35,50198962578736;38,39434124;38,52454820797584;32,25265283438313;39,619173768062296
