"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;29,82439914163092;26,736909871244677;23,49085836909876;25,27746781115883;27,755150214592334;29,59115044;25,236666666666736;23,49085836909876;29,82439914163092
2, Jan;30,07077253218887;27,005128755364865;22,897210300429208;26,863218884120215;28,30656652360517;26,38;23,80672566371686;22,897210300429208;30,07077253218887
3, Jan;29,762231759656686;26,94665236051509;23,256824034334784;27,409613733905587;28,81768240343348;23,44769231;28,171823617339328;23,256824034334784;29,762231759656686
4, Jan;30,867467811158804;27,75399141630902;24,60587982832618;27,669120171673853;27,67940923737916;29,62581121;29,23056213017759;24,60587982832618;30,867467811158804
5, Feb;32,00836909871248;27,874141630901306;23,737296137339115;25,89497854077257;30,477210300429192;27,22379728;31,60761061946903;23,737296137339115;32,00836909871248
6, Feb;31,299721030042974;28,378154506437795;25,500107296137344;27,516845493562244;28,630836909871277;27,65444056;28,849469026548718;25,500107296137344;31,299721030042974
7, Feb;32,06452789699574;28,931630901287576;25,826673819742552;27,465815450643788;27,955901287553672;29,0350517;28,905007385524414;25,826673819742552;32,06452789699574
8, Feb;33,165257510729646;29,736266094420614;26,61388412017169;29,916008583691053;28,594377682403433;28,81688331;32,98138643067847;26,61388412017169;33,165257510729646
9, Mar;33,38781115879834;30,22521459227471;26,922124463519367;32,512660944206004;29,671480686695304;30,6984195;31,986961651917454;26,922124463519367;33,38781115879834
10, Mar;33,88152360515022;30,32090128755368;27,07169527896997;29,405836909871255;28,84364806866955;28,49955752;32,155634218289094;27,07169527896997;33,88152360515022
11, Mar;33,54877682403435;30,543948497854103;26,943111587982855;29,870343347639505;30,319184549356237;30,12312684;31,0573156342183;26,943111587982855;33,54877682403435
12, Mar;36,157639484978574;30,545386266094454;27,210450643776824;29,71978540772534;28,419881847475892;28,39784661;36,10351032448381;27,210450643776824;36,157639484978574
13, Apr;33,5230686695279;30,988090128755402;27,596094420600878;30,072253218884157;30,030536480686692;31,40528024;32,1745427728614;27,596094420600878;33,5230686695279
14, Apr;33,79163090128759;30,75401287553649;27,538025751073008;32,68731471535983;29,5691416309013;32,36979321;32,40587020648968;27,538025751073008;33,79163090128759
15, Apr;33,72203862660945;31,036995708154507;28,00665236051509;31,80564377682407;32,949463519313326;30,4739528;31,022035398230116;28,00665236051509;33,72203862660945
16, May;34,00437768240346;31,269012875536475;28,438154506437797;30,6408154506438;31,83330472103006;30,39664697;32,44648449039886;28,438154506437797;34,00437768240346
17, May;33,22982832618027;30,5916309012876;26,982274678111594;31,85748387096777;29,763920515574682;27,96247788;29,138138138138174;26,982274678111594;33,22982832618027
18, May;33,85472103004298;30,269527896995726;25,227124463519374;30,329742212674546;29,64227467811162;28,95825959;31,51938053097348;25,227124463519374;33,85472103004298
19, May;33,548025751073;30,00912017167383;24,955987124463547;;32,66165236051506;29,60758112;28,954017725258495;24,955987124463547;33,548025751073
20, Jun;34,396394849785395;29,935665236051534;25,45356223175969;29,62190118152529;28,507308934338027;32,24690476;30,10292800000002;25,45356223175969;34,396394849785395
21, Jun;32,75978540772536;29,065708154506467;24,91057939914168;27,152046783625792;29,332551351351412;24,91703704;22,94083333333333;24,91057939914168;32,75978540772536
22, Jun;33,13600858369102;28,785021459227494;24,190922746781155;23,286623376623425;29,262825396825406;29,07194978;31,18027322404373;24,190922746781155;33,13600858369102
23, Jun;33,75577253218887;28,78253218884123;23,70049356223177;29,662160804020118;28,557362250879237;30,01774194;27,85473846153849;23,70049356223177;33,75577253218887
24, Jul;30,739291845493597;27,47959227467811;23,545751072961366;29,64268897149941;26,00690909090912;27,81337278;24,184089068825926;23,545751072961366;30,739291845493597
25, Jul;31,711847475832485;28,517067669172945;25,080805585392056;25,94377358490567;27,872774774774825;;25,57947368421054;25,080805585392056;31,711847475832485
26, Jul;30,20158798283262;27,417832618025784;23,572103004291876;26,5142998027614;28,584081632653124;28,54363322;27,79690702087288;23,572103004291876;30,20158798283262
27, Jul;30,429248927038657;27,233862660944226;22,6468025751073;26,59039682539685;24,683206896551724;25,37492611;21,857272727272743;22,6468025751073;30,429248927038657
28, Aug;29,774055793991465;26,425278969957105;22,553884120171688;24,580462351387098;23,381028037383203;26,6242246;22,464915254237326;22,553884120171688;29,774055793991465
29, Aug;29,076115879828365;26,289763948497864;23,14572961373392;26,645408695652236;26,360528967254425;25,87166667;26,94110169491529;23,14572961373392;29,076115879828365
30, Aug;30,525150214592315;27,178326180257557;22,785000000000025;25,517792792792818;25,70977941176477;28,58727273;27,72945031712476;22,785000000000025;30,525150214592315
31, Aug;30,0865665236052;26,709077253218936;22,358004291845532;22,327888675623853;25,78775467775472;;21,90882352941179;22,358004291845532;30,0865665236052
32, Sept;30,98122317596568;26,70268240343347;21,707961373390617;27,522557471264406;23,197118055555563;27,08231858;26,702352941176514;21,707961373390617;30,98122317596568
33, Sept;30,64987124463522;27,30094420600858;22,594313304721084;28,841087719298287;26,797029831387817;28,63952191;24,531951219512223;22,594313304721084;30,64987124463522
34, Sept;30,874012875536494;27,620815450643818;22,765901287553675;29,261002227171502;27,380409482758637;28,71226006;27,808197674418636;22,765901287553675;30,874012875536494
35, Sept;30,657575107296168;27,666523605150246;23,779356223175967;27,809656652360502;27,187859237536657;;27,468275290215615;23,779356223175967;30,657575107296168
36, Oct;32,64257510729618;28,63841201716741;23,85420600858373;27,980000000000018;;32,49379822;29,554296296296343;23,85420600858373;32,64257510729618
37, Oct;31,629806866952833;28,597060085836915;25,153819742489304;29,752621145374462;;22,55;25,54128983308044;25,153819742489304;31,629806866952833
38, Oct;31,07680257510731;28,718712446351958;24,535965665236063;28,39791845493562;29,16920515574651;28,79456418;29,97488165680477;24,535965665236063;31,07680257510731
39, Nov;30,964334763948557;28,951480686695334;25,97851931330473;28,867532188841267;29,866351931330485;28,86633136;28,43904400606982;25,97851931330473;30,964334763948557
40, Nov;30,925493562231793;28,722017167381978;25,02963519313306;27,82652360515027;28,64626609442064;29,546;30,61439528023601;25,02963519313306;30,925493562231793
41, Nov;31,39684549356224;28,78927038626614;25,92459227467816;28,777360515021485;26,499463519313338;30,58075075;30,815937961595296;25,92459227467816;31,39684549356224
42, Nov;30,652167381974266;28,19555793991418;24,713476394849806;28,217682403433514;28,93081545064382;29,53823009;28,817278106508923;24,713476394849806;30,652167381974266
43, Dec;31,1404721030043;27,945836909871275;23,502660944206013;28,28748927038629;28,346584317937754;28,29020741;29,652330383480887;23,502660944206013;31,1404721030043
44, Dec;30,405042918454967;27,083991416309004;23,227854077253255;28,351072961373404;29,871287553648074;26,03070901;28,07316100443137;23,227854077253255;30,405042918454967
45, Dec;30,201437768240396;26,866502145922766;23,10055793991421;25,460827067669186;26,17607296137345;26,94777778;27,03150664697199;23,10055793991421;30,201437768240396
46, Dec;30,79690987124468;27,033004291845543;23,331051502145954;29,337103004291862;25,730382352941206;29,42873156;30,30181008902082;23,331051502145954;30,79690987124468
