"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;33,65391752577324;29,43231958762891;20,89659793814434;28,2922916666667;31,7394845360825;30,00030303;19,79727272727274;20,89659793814434;33,65391752577324
2, Jan;33,78154639175261;29,330979381443342;24,548762886597956;29,550618556701068;32,12381443298972;26,30614035;26,638181818181806;24,548762886597956;33,78154639175261
3, Jan;32,668969072165;28,82159793814435;25,14134020618559;28,745051546391778;32,154742268041275;23,38;29,84876923076928;25,14134020618559;32,668969072165
4, Jan;32,69659793814435;29,084329896907263;25,255773195876316;28,420103092783506;27,659690721649497;30,41060606;30,895151515151554;25,255773195876316;32,69659793814435
5, Feb;33,9908247422681;28,719046391752613;22,435773195876322;27,347525773195912;31,960103092783527;23,6984375;33,05818181818182;22,435773195876322;33,9908247422681
6, Feb;33,0172164948454;29,23530927835054;24,842577319587633;22,506666666666717;29,821752577319614;29,91369231;31,233030303030375;24,842577319587633;33,0172164948454
7, Feb;33,04670103092786;29,33201030927836;26,00463917525775;25,524639175257732;27,36319587628867;26,72181818;28,502727272727327;26,00463917525775;33,04670103092786
8, Feb;33,19865979381444;29,7534793814433;25,962371134020657;28,703402061855684;28,02484536082477;28,33757576;32,79090909090911;25,962371134020657;33,19865979381444
9, Mar;34,869793814433024;30,586804123711374;26,718453608247444;32,90154639175262;28,33804123711343;27,40484848;32,456363636363676;26,718453608247444;34,869793814433024
10, Mar;34,349587628866004;30,783144329896913;26,51432989690727;30,608556701030977;27,359484536082505;31,9930303;32,0836363636364;26,51432989690727;34,349587628866004
11, Mar;34,349587628866004;30,255206185567033;26,08793814432994;31,531237113402085;29,555979381443308;29,75636364;31,4909090909091;26,08793814432994;34,349587628866004
12, Mar;34,12051546391751;30,690670103092828;26,684639175257757;30,636597938144348;28,731649484536092;27,33393939;30,33242424242428;26,684639175257757;34,12051546391751
13, Apr;34,07762886597942;31,179845360824743;27,96938144329897;30,24195876288661;29,878865979381487;32,56353846;32,12424242424248;27,96938144329897;34,07762886597942
14, Apr;33,95453608247425;30,835979381443337;27,792886597938207;32,472680412371176;27,992680412371158;29,43060606;32,43212121212122;27,792886597938207;33,95453608247425
15, Apr;34,74237113402063;31,9958247422681;29,443608247422674;33,31865979381445;32,8615463917526;31,64606061;31,24969696969697;29,443608247422674;34,74237113402063
16, May;34,9572164948454;31,38461340206186;27,658247422680404;33,4875257731959;31,8252577319588;28,35575758;31,06515151515157;27,658247422680404;34,9572164948454
17, May;36,144845360824775;31,86891752577327;27,475360824742324;32,65329896907218;32,06814432989694;30,66545455;30,29430769230771;27,475360824742324;36,144845360824775
18, May;35,032886597938216;31,485850515463937;25,812268041237132;33,07577319587631;30,497628865979436;30,97181818;31,98818181818183;25,812268041237132;35,032886597938216
19, May;35,99721649484536;31,01989690721655;26,012886597938177;28,896206896551746;31,9314432989691;29,51892308;31,52878787878791;26,012886597938177;35,99721649484536
20, Jun;36,07556701030933;30,815309278350526;25,776804123711372;32,96175257731966;28,549175257731974;30,31092308;30,46285714285716;25,776804123711372;36,07556701030933
21, Jun;34,69453608247426;30,576262886597988;23,995154639175325;32,304432989690724;32,018453608247455;31,43727273;23,375517241379328;23,995154639175325;34,69453608247426
22, Jun;36,63288659793818;30,30783505154642;24,253092783505167;29,986082474226805;27,92617021276601;30,36333333;26,917878787878806;24,253092783505167;36,63288659793818
23, Jun;37,01989690721655;32,130386597938184;27,33762886597941;32,0574226804124;31,628526315789486;30,902;32,30466666666672;27,33762886597941;37,01989690721655
24, Jul;35,564020618556754;30,408814432989686;24,449587628866027;30,528947368421086;26,282987012987007;28,7934375;28,666969696969716;24,449587628866027;35,564020618556754
