"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,55636391306996;31,780994095087408;25,059494125525077;32,033439459426575;33,44997930236809;36,77500749;26,21228885557224;25,059494125525077;37,55636391306996
2, Jan;38,43197601509712;32,261958361234576;25,29520362817317;33,38701710598406;38,297171120715916;32,85842622;26,242599617336396;25,29520362817317;38,43197601509712
3, Jan;36,32956413222138;32,117610641017905;27,16229561088454;35,530286114323985;35,14146527059114;31,16494411;30,79513111512341;27,16229561088454;36,32956413222138
4, Jan;37,42280818165216;33,63454739148966;27,81447068850065;34,320082181773955;35,443260233918124;36,89601231;34,80439361171187;27,81447068850065;37,42280818165216
5, Feb;38,83651975406349;33,869068606562394;27,402368661350238;31,386950143057163;37,45565410604496;31,0368632;35,2739560805191;27,402368661350238;38,83651975406349
6, Feb;39,66140561271078;34,8353412065502;28,51055396603158;30,705641322213467;33,12237961892009;38,54951589;33,44945267010485;28,51055396603158;39,66140561271078
7, Feb;40,646690813904;36,50654106044931;31,879076520362844;35,887519936689614;36,34321117672124;34,8105074;37,1838995175512;31,879076520362844;40,646690813904
8, Feb;40,96141170024964;37,14504109088699;32,026638461070206;38,64593352407621;35,80151275339381;37,42351356;39,859768757278346;32,026638461070206;40,96141170024964
9, Mar;46,296569671881684;39,12466975101967;32,509706580629484;42,013590430389;38,29855177451759;34,08924003;42,743997670936665;32,509706580629484;46,296569671881684
10, Mar;45,97577098679005;40,60245145187804;34,54002252389364;40,497396359651816;39,073910634930314;42,19426052;41,1556446514723;34,54002252389364;45,97577098679005
11, Mar;46,872830705545766;40,69605344859076;35,07864795763078;41,254933341450055;41,64763194740368;41,22821494;40,6818266511396;35,07864795763078;46,872830705545766
12, Mar;47,158428806233644;41,52908199914776;35,346986668290015;40,715415474523695;39,06598709441778;41,74981326;44,87627183496926;35,346986668290015;47,158428806233644
13, Apr;47,01902903756013;42,07312290740856;36,79821695988312;40,83532903147261;41,37755950569186;52,17964286;44,164000998170025;36,79821695988312;47,01902903756013
14, Apr;47,26457600292201;42,578963292141;36,87983868022161;45,61983868022162;39,86591647896756;42,63482282;43,858214939278014;36,87983868022161;47,26457600292201
15, Apr;48,569958604736144;44,50024898033729;39,3805022219517;47,684477384793354;47,07860169233584;45,77447347;42,21073365496591;39,3805022219517;48,569958604736144
16, May;48,59857490716507;43,7337840141231;37,07910087051806;44,52403786449145;45,160548487246615;41,002725;46,17527865579774;37,07910087051806;48,59857490716507
17, May;50,00340354294764;43,393583125342445;34,41147318439158;44,10613441285693;46,561369087478;40,37666778;42,23186824155715;34,41147318439158;50,00340354294764
18, May;47,613270225847714;42,108888415413674;34,467614902295;42,423358495160414;45,26631338649787;40,07676593;44,628233239061785;34,467614902295;47,613270225847714
19, May;47,273634260668416;41,577938150605746;34,8061989407683;39,672285794814;37,81110184452433;41,58818167;40,700988188321446;34,8061989407683;47,273634260668416
20, Jun;45,332069763194795;39,45863700006089;31,257543678090997;45,02684665489744;36,226889267669094;36,55774746;35,43640379336165;31,257543678090997;45,332069763194795
21, Jun;44,18570341510929;38,11770317160773;29,763885676021232;39,02755159189144;36,725502526328626;35,35078623;29,95664614360595;29,763885676021232;44,18570341510929
22, Jun;43,031428136604404;37,13510622755223;30,60166737687956;33,360014001339266;34,594732861673606;41,96127599;31,796434869406085;30,60166737687956;43,031428136604404
23, Jun;43,90394289888599;36,52376149022956;30,970017045108705;38,892474126385025;36,070663541730084;36,11709259;35,86872234237234;30,970017045108705;43,90394289888599
24, Jul;39,30283496682296;34,65154623485728;29,144982650514407;32,74991476926823;36,53596457052413;34,20369157;31,019851726893364;29,144982650514407;39,30283496682296
25, Jul;40,76955195714379;35,810379862421655;29,338809886163062;34,54293645317108;39,26257268507209;34,73099676;33,1697704835035;29,338809886163062;40,76955195714379
26, Jul;40,051397698910364;34,6679290192975;26,823964814025715;30,59405430084621;30,26570703408271;39,00789719;33,11098371663593;26,823964814025715;40,051397698910364
27, Jul;41,65833262312049;35,35431119498389;27,46560114445731;32,0629895452505;36,076859747133255;34,99539574;32,95360086021509;27,46560114445731;41,65833262312049
28, Aug;40,561679551957184;34,68162354660012;28,85965727156514;34,91902295002137;36,41760659776884;34,95172119;30,659562068575326;28,85965727156514;40,561679551957184
29, Aug;38,835038353829304;32,06853646657743;25,974159259710234;31,99740791738384;32,23905167173257;33,64317303;32,81275747508306;25,974159259710234;38,835038353829304
30, Aug;39,58266695075184;33,778797711085474;28,7789511170634;34,03316400774315;32,553831417624565;30,36076848;34,913515579071145;28,7789511170634;39,58266695075184
31, Aug;42,116115541486636;33,40121446399223;27,51319108784321;32,238538554010006;33,12735906271541;32,31859736;27,829113193943783;27,51319108784321;42,116115541486636
32, Sept;39,622971327692255;33,35568941377005;27,257241736166122;32,65092717717721;30,746638220054876;37,66089482;32,051522225203485;27,257241736166122;39,622971327692255
33, Sept;39,81237657515072;33,27679491081756;28,027953369452746;32,78569526441407;30,883688440928836;30,61588745;30,807890168586255;28,027953369452746;39,81237657515072
34, Sept;41,28984659402204;35,334207706824145;29,61322639556829;35,56315509499143;33,21866878861641;36,04887863;33,39600066544671;29,61322639556829;41,28984659402204
