"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,431373916206894;33,79476444552239;27,156466985994086;32,37525677560183;35,30169223306859;40,22658331;27,95029976813521;27,156466985994086;40,431373916206894
2, Jan;40,30601649184507;34,511713454192716;27,826831383010983;35,081091978415145;39,806345116109924;35,95811693;29,477850281550218;27,826831383010983;40,30601649184507
3, Jan;38,21271630388651;34,0091972351907;29,276348147699082;36,8088152549567;37,53111926271754;34,95981138;30,883542912246867;29,276348147699082;38,21271630388651
4, Jan;39,577426180804025;35,72710422603535;31,466426362699337;35,98503789486449;36,78215060934946;39,01853594;38,23627525670753;31,466426362699337;39,577426180804025
5, Feb;41,01341963257141;36,324012005093095;29,41449160249806;33,51013702783001;39,712381616443395;39,25200815;38,7151589930441;29,41449160249806;41,01341963257141
6, Feb;41,82161704965745;37,08659491905661;32,18677075122781;33,55947553507548;35,57945249499795;40,10418019;35,33163795958933;32,18677075122781;41,82161704965745
7, Feb;43,01479233614265;38,35621475777606;33,10691869277878;37,14432001455168;38,41524464924515;36,83037761;39,508863862206056;33,10691869277878;43,01479233614265
8, Feb;43,32600315285276;39,214741405444784;35,417484387315824;41,645776389983666;36,46403140726369;37,61951805;42,39369658827428;35,417484387315824;43,32600315285276
9, Mar;47,196910810646955;41,10672467107264;34,41363548171955;44,51032013581522;39,95594434002311;37,61484869;45,073024180192135;34,41363548171955;47,196910810646955
10, Mar;47,300828836476114;42,254634693506375;35,742936397259484;42,33311526101983;40,4418935305888;43,18839516;44,60639781384566;35,742936397259484;47,300828836476114
11, Mar;48,707816043169885;42,64056326926578;36,29669374886316;42,29081610380166;42,47529800521437;45,60790659;43,10674395495198;36,29669374886316;48,707816043169885
12, Mar;48,46544412781179;43,10388710361974;37,45775844297583;42,89403080094587;40,816921724367944;41,35310667;47,86860715468703;37,45775844297583;48,46544412781179
13, Apr;50,57110349845391;44,44678894076276;39,467163645182836;42,388718244103586;41,9092020857334;51,86749936;46,42461245445514;39,467163645182836;50,57110349845391
14, Apr;49,419584672285225;44,5706718001577;38,69990480810043;47,66787667495305;42,04779300309224;47,30830904;45,442631666114664;38,69990480810043;49,419584672285225
15, Apr;49,968006426969055;45,97092645364705;40,221752864851794;47,74725216758628;48,699420966470655;47,69471017;45,1373153362041;40,221752864851794;49,968006426969055
16, May;50,807945795185844;45,25593706420909;38,58599466440313;45,783758564239406;46,506112290062504;42,22416363;48,904754885723776;38,58599466440313;50,807945795185844
17, May;49,50584672285214;44,32975504759594;35,106642211847486;43,28706542169408;45,81984417631725;42,78421828;44,11544219940379;35,106642211847486;49,50584672285214
18, May;48,46078760686356;42,619705935851584;35,36740738495121;43,485149457345585;44,53377129691387;40,49492382;45,60489897316995;35,36740738495121;48,46078760686356
19, May;48,38830109743532;41,537278239253055;33,284487358273225;39,547817603523185;34,67361729218459;41,01863015;41,98513249420341;33,284487358273225;48,38830109743532
20, Jun;47,188858909840576;39,932175468380535;31,699679257867047;46,175650882192485;36,83919784150851;39,00952468;36,19696869305949;31,699679257867047;47,188858909840576
21, Jun;45,11975322864248;38,05532589583464;29,914388528466645;40,63751490312967;37,26260750894647;36,1998748;29,052451906659087;29,914388528466645;45,11975322864248
22, Jun;44,036491238707356;36,15532953374162;28,842127569271838;30,104755983253142;31,246358493375055;41,78342829;32,18401206636503;28,842127569271838;44,036491238707356
23, Jun;44,29863396592498;35,727162432547175;28,405462317346803;39,15822764868062;35,20636487154155;34,30879141;36,50545019998049;28,405462317346803;44,29863396592498
24, Jul;39,80602255502339;33,52288182865459;27,19020736069848;33,361370838963296;35,25555179417739;36,22040669;31,504081745069982;27,19020736069848;39,80602255502339
25, Jul;41,4628709149336;35,44806220820959;28,74719274843875;31,88530690985624;38,41640230153183;35,24829479;31,383214217829334;28,74719274843875;41,4628709149336
26, Jul;38,64924574061723;33,88882616867767;27,999937549263393;28,645392510232796;27,04175590097873;36,98331138;29,452915523025297;27,999937549263393;38,64924574061723
27, Jul;38,755705450797336;32,42450554780817;27,004528587885773;33,46226644736845;31,832486018939676;27,84938525;32,761646300822065;27,004528587885773;38,755705450797336
28, Aug;37,85688049475539;33,01883283817381;28,036471836536748;31,894366128836623;33,27958113253902;33,53063719;31,546590909090924;28,036471836536748;37,85688049475539
29, Aug;35,84256654338208;30,44804523131029;25,405265870369306;27,79123042505597;22,308762886597947;35,22481728;30,303565804274513;25,405265870369306;35,84256654338208
30, Aug;38,438111319953975;31,760136421512186;27,237917298247794;31,772434805747764;27,711296955318346;28,33063188;33,225998669918;27,237917298247794;38,438111319953975
31, Aug;34,2345728490875;30,040813072212472;25,94955496271149;27,081839406502297;26,652579191890766;30,00207869;26,62585956416467;25,94955496271149;34,2345728490875
32, Sept;36,81676893227433;30,25588613351124;25,607242466500963;29,298119254341202;25,599581111957377;35,18804296;27,215992010652485;25,607242466500963;36,81676893227433
33, Sept;34,94475050021225;30,070692414963958;25,55375068210759;30,45176795580113;29,5829609346477;33,41417477;30,16492405582926;25,55375068210759;34,94475050021225
34, Sept;36,73875280422004;31,750105499302776;27,798077366155383;30,850920528248878;30,38067415037318;32,32290838;31,036901863354046;27,798077366155383;36,73875280422004
35, Sept;38,8734766264476;33,619388225307716;28,512387679621668;33,3469791414019;32,47666828351424;36,77654692;33,56821960914215;28,512387679621668;38,8734766264476
36, Oct;40,67828593948951;35,24391256896871;30,5240823379616;33,081314676616955;24,899923664122184;39,45000725;33,35831235508448;30,5240823379616;40,67828593948951
37, Oct;42,146603407506234;36,834560722730885;30,784537076335425;36,8278208937125;;40,70820361;38,449125538257704;30,784537076335425;42,146603407506234
38, Oct;43,26736979324568;38,29742618080405;32,600813072212475;35,44801127751174;36,34202328260477;36,69356547;40,58980953958269;32,600813072212475;43,26736979324568
39, Nov;44,565239192384695;39,59708057963985;34,5113642151216;39,0891208391439;38,62812647789974;41,752158;40,82266975819812;34,5113642151216;44,565239192384695
40, Nov;44,54515794579521;39,678783120111575;35,14746437882741;39,740349845389005;38,97174134481298;42,85630671;43,17050182179531;35,14746437882741;44,54515794579521
41, Nov;43,40539683502095;39,164237555326565;34,644288486024436;37,86106408779489;36,34225853392354;42,03807141;39,901421000331254;34,644288486024436;43,40539683502095
42, Nov;43,032137876674994;38,30198569089919;33,44575820044872;39,064737161219966;36,37547019947857;41,66806227;38,445895992050396;33,44575820044872;43,032137876674994
43, Dec;42,07599890862792;36,83393985327109;31,933514218153164;38,19223852543507;37,03497059358517;36,95970965;39,15244783040748;31,933514218153164;42,07599890862792
44, Dec;40,06696234766264;35,35561086521557;30,149950281937834;33,44432729036566;38,24911235069425;37,69906345;36,10081201748676;30,149950281937834;40,06696234766264
45, Dec;39,862017219426434;34,762156672527794;28,071744982719963;34,22694052022075;34,19022191232648;31,94350493;34,426422656508805;28,071744982719963;39,862017219426434
46, Dec;40,847356454253315;34,43761656460316;28,68425210695449;38,49982841205366;33,452672649002636;38,54555648;35,580654401003585;28,68425210695449;40,847356454253315
