"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;36,49027027027029;32,578963963963986;26,695855855855882;29,62687782805432;33,807832957110634;34,40533742;25,65745247148294;26,695855855855882;36,49027027027029
2, Jan;36,804144144144175;32,22486486486491;26,295855855855848;31,40918918918925;34,265990990990986;30,00191223;30,392523076923112;26,295855855855848;36,804144144144175
3, Jan;36,08563063063065;32,215337837837865;28,768378378378372;30,90770270270275;35,22117117117119;;34,36532307692312;28,768378378378372;36,08563063063065
4, Jan;36,13779279279282;32,37941441441444;28,54617117117118;32,163783783783856;30,133693693693715;35,39207951;35,08312883435582;28,54617117117118;36,13779279279282
5, Feb;37,219909909909916;32,41373873873874;26,14783783783787;29,59743243243247;35,404324324324364;27,36857143;35,73776758409787;26,14783783783787;37,219909909909916
6, Feb;36,26945945945948;32,757072072072106;28,908603603603638;26,28541766109788;32,991036036036064;33,76907975;34,09797546012271;28,908603603603638;36,26945945945948
7, Feb;37,70252252252254;33,22394144144147;29,018783783783817;28,198333333333323;29,653243243243253;32,04382263;33,4474153846154;29,018783783783817;37,70252252252254
8, Feb;37,7373873873874;33,50824324324327;29,412297297297357;33,07297297297299;30,945169300225757;31,99570552;37,39366972477063;29,412297297297357;37,7373873873874
9, Mar;39,53252252252253;34,67747747747751;30,084909909909925;37,44513513513516;33,14094594594599;32,42828221;38,10394495412851;30,084909909909925;39,53252252252253
10, Mar;39,20072072072077;34,46171171171176;30,256936936936995;33,46590090090092;30,56175675675678;35,59513761;35,66211009174316;30,256936936936995;39,20072072072077
11, Mar;38,326126126126155;34,00283783783789;30,421846846846904;34,006936936936995;32,832792792792816;32,5966055;34,88944954128442;30,421846846846904;38,326126126126155
12, Mar;38,97968468468474;34,42058558558563;30,57716216216221;33,528828828828864;31,679549549549563;31,93941538;34,030736196319026;30,57716216216221;38,97968468468474
13, Apr;37,77135135135137;34,67463963963968;31,642972972972984;33,64112612612615;33,40481981981986;36,006;36,761131498470945;31,642972972972984;37,77135135135137
14, Apr;37,90490990990992;34,2912612612613;31,183468468468504;35,86423423423429;31,816846846846886;33,58681957;35,07336391437309;31,183468468468504;37,90490990990992
15, Apr;39,32743243243249;35,766463963963986;32,68202702702706;36,5850338600452;37,06833333333333;35,35472393;33,872629969418995;32,68202702702706;39,32743243243249
16, May;39,06063063063067;35,106261261261295;31,312792792792834;35,86255079006776;35,39860360360359;31,70190184;35,06174311926611;31,312792792792834;39,06063063063067
17, May;40,16756756756757;35,626891891891944;31,113288288288288;36,51328828828832;36,1980630630631;33,84876923;35,096953846153895;31,113288288288288;40,16756756756757
18, May;38,802432432432454;35,04673423423429;28,306846846846895;36,581441441441484;34,72720720720724;37,00612308;36,0355214723927;28,306846846846895;38,802432432432454
19, May;38,4631981981982;34,89031531531532;30,830180180180207;34,283962264150944;35,31459459459461;33,01717791;34,835276073619696;30,830180180180207;38,4631981981982
20, Jun;38,861576576576624;34,387387387387435;28,320405405405438;36,44378378378383;30,893963963963984;32,5028;33,451408450704264;28,320405405405438;38,861576576576624
21, Jun;40,101441441441466;35,48051801801802;30,1148648648649;36,737972027972035;36,02610859728509;25,2962069;27,721320754717;30,1148648648649;40,101441441441466
22, Jun;41,230900900900906;35,06716216216222;29,01184684684688;32,48873111782484;33,799820788530496;34,70111111;31,80301115241639;29,01184684684688;41,230900900900906
23, Jun;41,4913513513514;35,946801801801826;29,917747747747796;36,60011547344112;33,611824817518254;33,5370922;35,685740740740755;29,917747747747796;41,4913513513514
24, Jul;40,205585585585595;35,02981981981986;29,46099099099098;31,081353711790427;30,927068965517265;31,50781991;30,384133333333352;29,46099099099098;40,205585585585595
25, Jul;41,50382882882889;35,68472972972978;30,19504504504505;35,00000000000006;33,150444444444474;34,69275556;30,56965811965813;30,19504504504505;41,50382882882889
26, Jul;39,61067567567568;35,1345720720721;30,09536036036036;29,086899696048647;28,94428571428574;35,65930403;24,128666666666675;30,09536036036036;39,61067567567568
27, Jul;37,3776082004556;33,20143507972671;28,95104783599095;31,13432000000006;28,437042253521156;;30,058506787330373;28,95104783599095;37,3776082004556
28, Aug;38,360585585585625;32,88054054054055;27,606126126126128;31,52425414364643;29,96968750000002;33,09676923;27,32464285714292;27,606126126126128;38,360585585585625
29, Aug;38,30562076749442;31,30205417607226;27,285665914221227;25,588666666666654;31,16375000000005;;30,145973154362423;27,285665914221227;38,30562076749442
30, Aug;35,053340857787816;31,064785553047443;26,30575620767496;31,448571428571427;24,997435897435935;28,654;32,42211920529803;26,30575620767496;35,053340857787816
31, Aug;33,803063063063064;30,08123873873876;24,850090090090134;26,388848167539265;;30,28131868;27,474756097561;24,850090090090134;33,803063063063064
32, Sept;34,09054054054059;29,566328828828887;25,041801801801853;30,994953560371528;28,250000000000057;31,80601246;23,201914893617072;25,041801801801853;34,09054054054059
33, Sept;35,862297297297346;30,977635135135188;27,093063063063084;31,851909090909146;31,959502262443493;30,34901316;27,905744680851114;27,093063063063084;35,862297297297346
34, Sept;35,72590090090091;31,41351351351352;26,955225225225263;30,688054298642555;30,18781659388651;31,00417957;27,017281553398107;26,955225225225263;35,72590090090091
35, Sept;37,06459459459461;32,47389639639647;27,98283783783785;30,53608108108108;32,314335664335715;31,52804281;29,695413533834596;27,98283783783785;37,06459459459461
36, Oct;37,854639639639686;33,63822072072077;30,305675675675673;33,637385321100965;;34,56731343;36,50804281345569;30,305675675675673;37,854639639639686
37, Oct;38,69117117117116;34,56385135135139;28,675450450450455;33,730270270270296;;31,86107692;36,570184049079785;28,675450450450455;38,69117117117116
38, Oct;39,46954954954958;35,65400900900903;31,74932432432439;33,802522522522565;34,95860360360359;32,03514851;32,10300000000001;31,74932432432439;39,46954954954958
39, Nov;39,344279279279306;36,33950450450453;32,858873873873904;35,399369369369424;34,15783783783786;30,625;32,90469026548675;32,858873873873904;39,344279279279306
40, Nov;40,83990990990992;36,05054054054057;31,322792792792825;34,70986486486487;35,38378378378383;35,99722222;40,343742331288354;31,322792792792825;40,83990990990992
41, Nov;40,48045045045046;35,714954954954976;32,34869369369369;34,45577878103842;33,85076749435672;;38,54544615384617;32,34869369369369;40,48045045045046
42, Nov;38,435;34,69770270270271;30,232522522522572;34,0745495495496;32,647027027027036;31,44316923;36,2032307692308;30,232522522522572;38,435
43, Dec;38,310225225225224;34,45513513513515;29,08707207207209;33,3265315315316;32,656094808126454;35,60882716;;29,08707207207209;38,310225225225224
44, Dec;37,28099099099103;33,71513513513514;28,89423423423426;31,365270270270287;35,13545045045049;28,32181818;30,8785802469136;28,89423423423426;37,28099099099103
45, Dec;36,79360360360363;33,071554054054104;28,350990990991022;29,289009009009078;32,67292792792796;31,69313364;36,16486068111459;28,350990990991022;36,79360360360363
46, Dec;37,3915765765766;32,6516666666667;26,36054054054057;34,450495495495545;30,61568848758469;35,3535474;32,975804416403776;26,36054054054057;37,3915765765766
