"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;36,99651209677421;31,409092741935524;24,972560483871007;32,43702538071068;32,13683467741936;33,60857741;25,494902506963797;24,972560483871007;36,99651209677421
2, Jan;36,9603225806452;32,0596774193549;25,993830645161324;33,027917087967694;36,494125379170896;29,83139276;26,291420612813397;25,993830645161324;36,9603225806452
3, Jan;35,71566532258066;31,371552419354884;26,119899193548406;32,52894843276039;34,019536290322606;25,41196078;31,808583333333388;26,119899193548406;35,71566532258066
4, Jan;37,05826612903229;32,51215725806452;28,1699596774194;33,506653225806474;30,784847250509188;36,244;35,10686980609421;28,1699596774194;37,05826612903229
5, Feb;37,591129032258095;32,66588709677421;26,88340725806455;31,79246713852376;35,552300706357244;30,09456825;33,40864077669909;26,88340725806455;37,591129032258095
6, Feb;37,28752016129039;33,5123185483871;27,49270161290326;27,61085539714867;32,91209677419357;35,62153953;34,06023643949936;27,49270161290326;37,28752016129039
7, Feb;38,58993951612905;34,750685483870996;31,020766129032324;31,94945509586279;31,86623862487363;33,33929265;35,290834492350484;31,020766129032324;38,58993951612905
8, Feb;39,318891129032295;35,108911290322624;31,00792338709681;34,55907258064519;34,27336693548392;34,95243767;39,00445983379501;31,00792338709681;39,318891129032295
9, Mar;43,87207661290324;36,97653225806454;32,431995967741955;40,3226868686869;35,37686175580228;34,61760446;40,711165048543705;32,431995967741955;43,87207661290324
10, Mar;42,11135080645164;37,538145161290345;33,29241935483873;37,5587701612904;35,27840725806453;38,44130194;37,29938888888893;33,29241935483873;42,11135080645164
11, Mar;42,1618548387097;37,12108870967745;31,377842741935524;37,57487903225808;36,99766129032258;37,28705556;36,788916666666694;31,377842741935524;42,1618548387097
12, Mar;42,71608870967748;37,94766129032263;33,34032258064519;37,19133198789103;33,76254032258066;37,1595;37,57843273231623;33,34032258064519;42,71608870967748
13, Apr;43,33181451612904;38,5353629032258;34,22913306451619;38,011295546558756;37,08022222222223;42,20295105;41,93335180055402;34,22913306451619;43,33181451612904
14, Apr;41,75443548387102;37,89177419354843;32,04645161290324;39,96272727272731;35,625415821501065;37,52555556;39,853601108033274;32,04645161290324;41,75443548387102
15, Apr;43,2752217741936;39,10290322580647;34,85697580645166;41,14905241935486;41,67064581231085;39,20506925;38,283444444444456;34,85697580645166;43,2752217741936
16, May;43,096834677419395;38,59338709677422;32,535322580645186;39,57000000000005;39,03933467741939;36,43285714;39,81649098474344;32,535322580645186;43,096834677419395
17, May;42,735745967741934;37,806391129032306;31,7883467741936;38,94886982845617;41,49135353535354;35,82347222;38,52313888888892;31,7883467741936;42,735745967741934
18, May;41,41903225806453;37,53411290322583;33,256209677419406;39,12120080726538;39,568022199798236;34,97624133;39,270498614958456;33,256209677419406;41,41903225806453
19, May;41,80143145161293;36,988870967741946;31,930826612903275;34,570755102040835;38,74923309788096;34,6634072;36,27502777777784;31,930826612903275;41,80143145161293
20, Jun;40,125262096774236;35,80165322580649;30,282762096774206;40,07925403225812;33,443609706774566;33,37740638;33,22747747747752;30,282762096774206;40,125262096774236
21, Jun;40,895282258064526;34,88383064516131;28,0672983870968;37,88481331987896;34,97255102040822;32,87824561;28,555784883720946;28,0672983870968;40,895282258064526
22, Jun;41,10919354838711;34,40409274193553;27,552963709677442;35,419616161616204;30,131005464480893;36,53750693;28,12116991643461;27,552963709677442;41,10919354838711
23, Jun;39,740262096774245;34,41076612903231;29,685967741935542;36,082246963562795;33,187345491388044;31,00026648;34,01172222222226;29,685967741935542;39,740262096774245
24, Jul;37,9316935483871;33,03314516129035;27,392903225806492;33,37192307692311;33,13791497975711;30,90587658;31,4880167597766;27,392903225806492;37,9316935483871
25, Jul;40,21483870967745;35,02207661290328;29,775887096774227;34,67736111111111;36,81972972972977;33,40878437;30,717939849624088;29,775887096774227;40,21483870967745
26, Jul;39,709939516129054;34,053104838709714;27,328911290322594;29,7422718052739;34,31135699373698;36,79120787;32,13186246418343;27,328911290322594;39,709939516129054
27, Jul;41,033024193548385;34,85292338709684;27,566169354838735;30,889722814498953;30,17451282051286;32,84227723;32,48508522727275;27,566169354838735;41,033024193548385
28, Aug;40,177943548387134;34,27991935483874;28,280786290322624;33,55659137577004;33,314205816554875;38,58597633;32,310740740740755;28,280786290322624;40,177943548387134
29, Aug;40,21024242424244;33,22951515151516;27,22892929292931;29,133076923076942;31,856451612903243;;31,366006600660114;27,22892929292931;40,21024242424244
30, Aug;38,75314833501517;33,889273461150424;28,79236125126141;34,55481561822131;30,95120082815737;30,68383178;34,111682847896475;28,79236125126141;38,75314833501517
31, Aug;38,47205645161296;32,91721774193553;27,411310483871034;27,219596199524972;31,586681415929206;32,85174713;28,31211235955061;27,411310483871034;38,47205645161296
32, Sept;37,59288306451617;32,615947580645184;27,019133064516154;30,76217391304351;29,135755693581814;34,89602369;29,120548523206764;27,019133064516154;37,59288306451617
33, Sept;39,519274193548426;32,448185483870986;27,1472379032258;27,81302583025831;34,41084188911708;30,56593838;30,813922204213952;27,1472379032258;39,519274193548426
34, Sept;39,175524193548426;33,82995967741937;29,593790322580674;32,359070247933914;33,55677667766781;34,63214485;32,06244382022476;29,593790322580674;39,175524193548426
35, Sept;41,72193548387099;35,393205645161345;29,07215725806452;34,789170879676476;34,30454545454546;31,27092105;34,50936199722611;29,07215725806452;41,72193548387099
36, Oct;40,74766129032258;36,39294354838711;32,365342741935535;32,957023208879946;33,97333333333336;35,8838705;35,479930651872394;32,365342741935535;40,74766129032258
37, Oct;42,23350806451617;37,397782258064524;31,166370967741955;35,02656912209892;;38,21002789;39,83200557103066;31,166370967741955;42,23350806451617
38, Oct;42,821209677419404;38,04842741935488;31,140846774193562;34,64235887096777;39,11197580645165;38,57656581;31,071571428571474;31,140846774193562;42,821209677419404
39, Nov;42,82489919354839;38,564354838709676;32,832116935483896;37,88834510595365;38,194484848484876;39,58119777;41,07834269662925;32,832116935483896;42,82489919354839
40, Nov;41,619495967741955;37,2398790322581;32,182903225806456;35,56102822580647;38,53026236125129;36,6314511;40,85075000000006;32,182903225806456;41,619495967741955
41, Nov;41,51836693548387;36,6916129032258;32,80197580645165;35,565015136226066;35,92830131445908;41,41222841;39,03409470752092;32,80197580645165;41,51836693548387
42, Nov;39,5205241935484;35,65768145161297;29,565725806451667;33,859586276488415;34,60086693548391;35,26195562;35,584313453536765;29,565725806451667;39,5205241935484
43, Dec;39,29679435483877;34,334516129032295;28,55356854838709;33,82215725806452;35,43677419354839;27,9170098;33,592213592233065;28,55356854838709;39,29679435483877
44, Dec;36,725887096774215;32,73145161290324;26,82969758064519;31,02528225806452;36,14195564516132;31,81333333;24,296690909090955;26,82969758064519;36,725887096774215
45, Dec;37,736794354838764;32,00625000000002;24,119455645161338;29,382113245702726;33,02646464646466;37,16189341;30,524555555555594;24,119455645161338;37,736794354838764
46, Dec;38,703911290322594;31,722298387096828;25,447762096774227;34,922040404040445;29,858262626262672;35,78138889;27,3489033942559;25,447762096774227;38,703911290322594
