"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,60224295010846;33,5871453362256;29,084828633405664;33,12135791757055;34,80129718004338;39,42546367;29,21960425280571;29,084828633405664;39,60224295010846
2, Jan;37,919084598698475;34,172273318872044;29,034676789587877;34,96836876355752;35,563408695652186;35,70631424;33,50894861193149;29,034676789587877;37,919084598698475
3, Jan;38,15134490238614;34,73924945770068;30,86429934924081;36,31341865509768;37,55445986984819;36,82823981;33,93555227406972;30,86429934924081;38,15134490238614
4, Jan;41,59172668112802;37,079761388286386;33,25520607375273;36,53581344902386;36,676594360086824;40,41011813;37,62807442409928;33,25520607375273;41,59172668112802
5, Feb;40,979214750542326;37,49683731019525;33,26242516268985;36,52435140997835;38,23099783080261;39,09281158;40,50091553455405;33,26242516268985;40,979214750542326
6, Feb;42,381349240780935;38,10449023861173;34,4353882863341;34,35058134490242;37,35523210412151;41,64333727;35,8246485528648;34,4353882863341;42,381349240780935
7, Feb;42,38207809110634;38,824386117136726;35,06976572668117;36,03710629067251;35,756967462039086;37,62585351;39,438611931482626;35,06976572668117;42,38207809110634
8, Feb;43,58877657266811;39,05553579175711;35,24087201735358;40,90547071583518;35,78681561822128;39,18121087;41,167188422917945;35,24087201735358;43,58877657266811
9, Mar;47,354919739696356;40,102511930585706;32,25140563991329;42,50967028199568;35,91217787418657;33,40339634;41,81510336680452;32,25140563991329;47,354919739696356
10, Mar;45,785427331887206;40,61260303687641;35,79486767895884;38,13321041214755;37,9843947939263;40,24825162;43,35628470171298;35,79486767895884;45,785427331887206
11, Mar;46,002173535791826;41,52689370932757;35,088125813449096;40,845279826464264;39,0353188720174;44,18385706;41,48226225634971;35,088125813449096;46,002173535791826
12, Mar;46,74778741865515;40,84253796095447;34,76385683297184;38,34008242950114;40,636958785249476;41,22170703;46,580915534554094;34,76385683297184;46,74778741865515
13, Apr;47,4029197396963;41,97072885032543;37,213071583514136;41,76440347071588;37,338451193058575;43,94060839;42,71876550502071;37,213071583514136;47,4029197396963
14, Apr;45,33600433839479;41,58121041214753;37,604845986984856;45,28375271149679;41,239579175705046;44,42356172;38,24351447135268;37,604845986984856;45,33600433839479
15, Apr;46,29527548806942;41,822876355748406;37,43249023861176;43,390694143167025;42,12783080260306;46,13958063;44,931240401653895;37,43249023861176;46,29527548806942
16, May;45,08014316702821;40,688229934924095;32,80984381778745;39,94440347071588;43,154607375271155;34,588228;40,29366213821618;32,80984381778745;45,08014316702821
17, May;44,86551409978307;39,78688503253801;34,52455097613887;40,65091973969635;35,997618221258165;43,58314793;37,13931442080383;34,52455097613887;44,86551409978307
18, May;46,652446854663765;38,20062906724519;31,723509761388357;41,087509948834565;39,14483731019527;37,82076196;41,20181334908449;31,723509761388357;46,652446854663765
19, May;41,47413882863344;36,458954446854705;28,645331887201735;35,986803874092004;40,662909090909125;39,98306556;38,63611931482575;28,645331887201735;41,47413882863344
20, Jun;41,75908459869851;34,55950108459871;27,04963557483734;38,57841648590028;32,76263947491799;34,55327869;34,970874704491735;27,04963557483734;41,75908459869851
