"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,86356371490285;33,60887688984883;28,51759395248382;33,86503023758098;36,497224622030274;39,12175298;29,109602004717033;28,51759395248382;39,86356371490285
2, Jan;39,791442764578846;34,37684233261342;28,34411663066959;35,35597408207349;37,10858963282942;37,28503538;32,874354363207544;28,34411663066959;39,791442764578846
3, Jan;39,43996112311021;34,9548812095033;31,182198704103712;37,65126565874732;38,43646868250545;37,6648279;33,56939769707708;31,182198704103712;39,43996112311021
4, Jan;41,628850971922304;37,04369330453568;33,47171922246224;36,3781036717063;37,11882505399569;41,25704894;38,110952240566064;33,47171922246224;41,628850971922304
5, Feb;41,43467386609075;37,37278185745146;32,336272138228935;36,242110151187944;38,58780561555079;40,02237913;40,05733490566041;32,336272138228935;41,43467386609075
6, Feb;43,3188725701944;38,413818574514096;34,55429373650111;35,61185097192225;37,34145140388773;43,23265035;35,32855542452836;34,55429373650111;43,3188725701944
7, Feb;42,72144708423326;39,00201727861776;34,47726565874734;36,57187688984885;35,884809935205226;40,21459611;39,267785966981194;34,47726565874734;42,72144708423326
8, Feb;44,14375377969765;39,57200431965447;34,80424622030239;41,337784017278636;35,29951619870417;39,02375;42,15172759433966;34,80424622030239;44,14375377969765
9, Mar;45,62145572354217;40,90567170626355;34,6762462203024;44,127157667386655;37,70896328293742;41,63135497;44,377110849056635;34,6762462203024;45,62145572354217
10, Mar;46,50017710583154;41,29565010799138;36,22814254859617;39,80584665226786;39,073419006479526;41,90745283;42,326647995283054;36,22814254859617;46,50017710583154
11, Mar;46,95615982721387;42,15830237580997;35,85340388768901;42,08382721382293;39,91643412527003;45,42572229;42,72701650943401;35,85340388768901;46,95615982721387
12, Mar;48,62434125269982;42,107917926565904;34,831235421166355;39,07555939524843;42,059712742980594;42,31444575;48,06832841981134;34,831235421166355;48,62434125269982
13, Apr;47,951097192224665;43,23586609071276;37,714760259179286;42,99674298056158;38,56990280777541;46,52457842;44,100076650943436;37,714760259179286;47,951097192224665
14, Apr;46,54116198704111;42,471632829373675;36,77822462203028;45,21188552915771;43,48010151187907;44,18833432;38,281529448041965;36,77822462203028;46,54116198704111
15, Apr;48,29034557235423;42,93577105831537;37,28473002159831;44,92830885529162;43,87650539956809;47,93129422;45,91469339622648;37,28473002159831;48,29034557235423
16, May;46,975580993520566;42,07235853131749;32,98235421166311;43,25489632829374;45,208991360691186;33,43887677;42,1656073113208;32,98235421166311;46,975580993520566
17, May;46,28685529157673;40,80041036717063;34,93774082073435;41,39724264705882;38,14789632829377;44,38652366;38,51368304559543;34,93774082073435;46,28685529157673
18, May;45,530155507559414;39,049879049676065;31,656289416846676;42,946811680572125;41,393481641468725;39,17446516;43,06780660377359;31,656289416846676;45,530155507559414
19, May;43,997231101511886;37,10993952483801;27,396833693304586;38,4953746710903;31,93169491525424;41,94786262;39,94216686320755;27,396833693304586;43,997231101511886
20, Jun;41,22504967602595;34,54192224622034;26,369377969762468;40,61553131749463;34,37544106422422;36,45956804;35,698709827666505;26,369377969762468;41,22504967602595
21, Jun;39,17231533477326;31,996781857451424;25,113187904967617;35,21946544980449;27,114701330108858;28,94883333;29,75865431103955;25,113187904967617;39,17231533477326
