"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,50746535991891;29,621260561000383;25,399509969584358;24,03745098039218;30,2597903989182;32,6611919;26,8217295308188;25,399509969584358;37,50746535991891
2, Jan;35,27917201757356;30,043727610679298;25,018948969246424;28,09249408583986;30,829674906874402;30,30741014;27,019770431588654;25,018948969246424;35,27917201757356
3, Jan;35,729378168300116;30,36475498479217;25,522308212233895;29,886124450456578;31,513448275862117;29,8575894;30,813109048723902;25,522308212233895;35,729378168300116
4, Jan;37,33605610003383;32,18701926326463;28,372568435282233;30,699570800946333;30,482769699019286;33,97012874;34,62197786998621;28,372568435282233;37,33605610003383
5, Feb;39,015542412977425;33,26438323758026;28,156035822913168;28,58827644474485;34,199090294217115;32,75435945;37,609291628334915;28,156035822913168;39,015542412977425
6, Feb;39,912845555931085;34,326147347076756;28,322605610003393;30,50147496617052;32,19127832262433;29,31131039;34,569162448228326;28,322605610003393;39,912845555931085
7, Feb;40,98193646502199;36,02523487664757;31,782152754308925;32,63417314846129;32,46587956698244;33,65517906;36,29064367816096;31,782152754308925;40,98193646502199
8, Feb;42,91423791821563;37,27873943899971;31,62464008110851;36,11142663962136;31,965772742644617;33,02887558;41,3777594123049;31,62464008110851;42,91423791821563
9, Mar;43,212419736397464;38,44737749239613;32,98245015207846;38,821172693477536;34,142809217214506;37,94476739;41,1087511478421;32,98245015207846;43,212419736397464
10, Mar;44,5886143967557;39,477320040554275;34,48917539709362;35,90200947225986;35,66682110246876;37,19106422;43,50568609453882;34,48917539709362;44,5886143967557
11, Mar;44,87827982426495;40,30416694829336;34,685890503548535;38,8315280594997;38,77976005407237;40,43850849;41,02125919117651;34,685890503548535;44,87827982426495
12, Mar;44,40103751267321;39,88064548834069;35,26873605947958;37,01398242055444;35,93530087897227;39,09477901;44,1101652892562;35,26873605947958;44,40103751267321
13, Apr;45,52490368367694;40,87384589388313;35,69385265292328;37,33630118443318;36,7282955698343;40,49730203;42,8526721763086;35,69385265292328;45,52490368367694
14, Apr;44,42745184183849;40,68172693477527;35,94723555255155;43,44062288422481;38,65278172588836;42,19104876;42,94965930018418;35,94723555255155;44,42745184183849
15, Apr;45,01178438661714;40,938218992903046;36,53435282189935;40,682056833558875;42,40973639743157;42,95662684;38,86685424354249;36,53435282189935;45,01178438661714
16, May;43,97140588036501;40,460949645150436;35,35606285907403;38,18295032105442;40,09275372124495;37,47336243;41,592716842588345;35,35606285907403;43,97140588036501
17, May;43,847580263602595;39,41684014869895;33,58178776613721;39,092715882153755;33,73553752535497;36,20425551;40,04700091996324;33,58178776613721;43,847580263602595
18, May;44,377380871916216;38,95371071307875;32,06473470767156;38,9726282940361;37,261368705643804;37,09406264;42,14640955004592;32,06473470767156;44,377380871916216
19, May;41,946018925312615;37,09992227103754;31,38826292666448;34,09871794871793;34,706353140916804;36,72772874;40,01121323529418;31,38826292666448;41,946018925312615
20, Jun;42,992750929368015;36,31111524163572;29,359956066238624;37,8233965458856;32,2542173174873;38,59313996;39,08240518038855;29,359956066238624;42,992750929368015
21, Jun;40,50558634673877;33,831493747887805;27,172622507603933;31,18173469387756;30,760880758807616;;21,03857142857146;27,172622507603933;40,50558634673877
