"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;40,4553988961365;33,78015554440543;28,123055694932305;32,752064726542926;36,827916457601646;39,73316456;28,698711939787927;28,123055694932305;40,4553988961365
2, Jan;39,988424485699966;34,56421976919222;29,080627195183183;34,736822629202265;38,959041784480064;36,57611016;31,35156517276772;29,080627195183183;39,988424485699966
3, Jan;39,01656297039642;34,68255393878576;29,534596086302088;36,99438660311091;38,01509533366789;35,9753937;33,12037713104877;29,534596086302088;39,01656297039642
4, Jan;41,059031610637305;36,72173105870553;32,90437029603618;36,53812092323136;37,736988208730565;39,85626753;39,561917550461885;32,90437029603618;41,059031610637305
5, Feb;41,82071751128956;37,2022930255896;31,428324134470643;35,26227671851484;39,25405168088315;39,18851522;41,25786349640782;31,428324134470643;41,82071751128956
6, Feb;42,181921726041196;37,874666332162576;33,740958354239865;34,686969392875085;37,22666583040643;40,697831;36,82414984604861;33,740958354239865;42,181921726041196
7, Feb;43,12731058705475;38,96405920722532;34,70601605619669;37,45298921224287;37,15628073256403;37,58889668;40,80785078713211;34,70601605619669;43,12731058705475
8, Feb;44,17758655293534;39,513522328148554;35,7269292523834;41,290181886603136;36,25772955343706;39,84715874;42,38531645569623;35,7269292523834;44,17758655293534
9, Mar;45,65020070245862;40,17471650777725;32,5662870045158;43,37043151028604;37,50268690416459;33,88706167;42,92496749914477;32,5662870045158;45,65020070245862
10, Mar;47,161771199197176;41,55550928248874;35,907762167586554;40,62470898143505;39,796610637230344;41,93606569;44,472714676702026;35,907762167586554;47,161771199197176
11, Mar;47,69933266432514;42,45557952834923;36,26089814350229;41,68194555945814;41,75363271450078;45,61976565;43,081702018474175;36,26089814350229;47,69933266432514
12, Mar;48,745574510787776;41,83065228299046;35,20941796287008;40,30312719518321;41,05668715504265;41,78703216;48,69460656859394;35,20941796287008;48,745574510787776
13, Apr;48,63755644756651;43,06984947315607;38,206628198695455;41,770944555945846;39,126166583040686;46,7128156;44,534408142319535;38,206628198695455;48,63755644756651
14, Apr;47,49471650777724;42,891284495735135;38,5011590566985;46,73580280983447;42,193292774711495;45,61133767;42,67217242559019;38,5011590566985;47,49471650777724
15, Apr;49,170080280983484;43,40090817862523;37,689839438033175;45,167479929754165;46,18868665328654;48,70182312;46,17675675675679;37,689839438033175;49,170080280983484
16, May;47,21092323130961;42,55025087807326;35,5911941796287;42,39167837431012;44,01312217762171;38,61913616;43,955882654806715;35,5911941796287;47,21092323130961
17, May;47,14178123432015;41,72120923231313;36,21658304064226;42,021293276467645;38,191519066733576;42,47125567;39,61771125555941;36,21658304064226;47,14178123432015
18, May;46,47544907175114;40,123055694932305;31,81208730556949;43,37214604501003;42,235533115905696;40,02180636;44,72342627437564;31,81208730556949;46,47544907175114
19, May;43,957917711992025;38,143005519317626;29,84227295534373;38,36882779058283;36,50474694984183;41,80865378;40,528061922682184;29,84227295534373;43,957917711992025
20, Jun;43,26292523833422;37,287531359759214;30,332870045158074;42,45845333667836;34,25972905168089;38,81463964;34,7353009462492;30,332870045158074;43,26292523833422
21, Jun;41,55380331159057;34,182142498745634;27,107180130456584;35,25550820394233;32,84484180249285;;32,63773287754856;27,107180130456584;41,55380331159057
22, Jun;40,46523331660819;33,4674811841445;26,710270948319135;25,348711967545682;29,18701041666668;35,3754519;33,277556429902745;26,710270948319135;40,46523331660819
23, Jun;39,460035122930265;32,22966884094336;26,843035624686422;37,603695961639346;30,082250502344323;33,35734245;31,019715382155425;26,843035624686422;39,460035122930265
24, Jul;35,7250827897642;30,27103361766183;24,491123933768222;32,3660068259386;25,15415739948679;30,41026561;31,903270852858498;24,491123933768222;35,7250827897642
25, Jul;35,0512844957351;30,432077270446598;24,617225288509815;26,650626207962944;29,83462939698495;31,85786181;26,309366286438546;24,617225288509815;35,0512844957351
26, Jul;32,57399397892624;29,022383341695956;25,41957350727546;27,169965832824914;25,262241992882593;30,27554594;26,382473684210538;25,41957350727546;32,57399397892624
27, Jul;33,453791802866476;28,6965778224793;24,401179280864994;23,95726666666667;27,360714803187648;26,50221818;25,581395348837248;24,401179280864994;33,453791802866476
28, Aug;32,175117912694475;28,251806322127493;24,033020572002044;32,465324099723034;29,463862707709097;30,68826028;26,562072072072112;24,033020572002044;32,175117912694475
29, Aug;29,743673405126287;26,50618993639398;23,11528622709244;26,376630434782612;22,243869463869487;25,91003012;27,160724009901003;23,11528622709244;29,743673405126287
30, Aug;30,73395383843456;27,175539387857555;23,927772202709548;27,40763949243876;26,634683889393784;26,10886647;29,51495325872287;23,927772202709548;30,73395383843456
31, Aug;29,99793778223784;26,80126944305067;22,258670346211773;25,711454852320685;25,688044411270766;26,13478202;24,614673328209108;22,258670346211773;29,99793778223784
32, Sept;30,759964877069763;27,147420973406952;22,240145509282513;26,739293594851404;25,07143997870645;27,64932677;27,19773934728397;22,240145509282513;30,759964877069763
33, Sept;29,867059708981458;26,545514300050172;22,36712995484197;27,32196523213912;27,175376753030662;24,62368399;25,937571592210816;22,36712995484197;29,867059708981458
34, Sept;30,339994982438554;27,255840441545445;23,35546914199699;28,625141868512117;26,813680709534424;27,71579199;26,419807639711962;23,35546914199699;30,339994982438554
35, Sept;31,77429503261419;28,43251881585553;24,566066231811362;27,365500501756173;29,540610888108404;26,48294649;29,029314801268015;24,566066231811362;31,77429503261419
36, Oct;32,26503261414956;29,303627696939316;26,099914701455134;27,74484187427396;26,687942495383822;31,45075094;28,91573684662262;26,099914701455134;32,26503261414956
37, Oct;33,19761665830407;30,01443552433517;25,831896638233843;29,617826141574028;;29,19932149;29,914161820047923;25,831896638233843;33,19761665830407
38, Oct;35,04060712493731;31,40769192172604;27,91075263421976;31,823783241344756;30,274559708981485;32,41554341;32,35234177215193;27,91075263421976;35,04060712493731
39, Nov;36,27430506773709;32,611705970898186;29,19067235323638;32,107962870045185;31,655472905168153;32,21901588;34,31331337666785;29,19067235323638;36,27430506773709
40, Nov;38,04500250878078;33,717897641746106;29,30451078775718;33,375408931259415;33,60054816859008;32,19736446;36,314120766335975;29,30451078775718;38,04500250878078
41, Nov;37,88169091821379;34,42449071751133;31,25403411941801;33,47313095835426;34,03408680381335;36,16657138;35,257723229558735;31,25403411941801;37,88169091821379
42, Nov;38,81060210737587;34,90473156046164;30,27023080782743;35,18501881585553;33,161868881450175;36,55357167;36,28569107081768;30,27023080782743;38,81060210737587
43, Dec;38,302865027596624;34,36642749623684;29,30996989463125;35,66825388861014;34,57662819869546;36,50188652;36,781069107081805;29,30996989463125;38,302865027596624
44, Dec;38,42009533366786;33,77284997491222;29,064952333166104;32,99153161063725;35,845051430005014;36,18472467;36,39015395141979;29,064952333166104;38,42009533366786
45, Dec;38,406246864024126;34,031756146512805;28,168655293527365;33,87983943803317;32,850727546412486;34,76535733;34,82996920971607;28,168655293527365;38,406246864024126
46, Dec;38,98519317611641;33,84708981435023;28,813712995484252;37,135143000501785;34,16438679644523;37,5745467;35,96545156430028;28,813712995484252;38,98519317611641
