"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;39,07077553249593;34,13113599126166;27,935439650464218;29,72530181818189;35,85116876024034;38,76308955;28,389161676646722;27,935439650464218;39,07077553249593
2, Jan;38,84394866193338;34,383981430912115;28,710098306936118;33,889322774440245;36,943806663025725;34,28552239;32,67420895522389;28,710098306936118;38,84394866193338
3, Jan;38,424003276897906;34,25192244675043;28,515144729655958;34,74368651010377;37,42507373020214;25,21515971;37,63970149253737;28,515144729655958;38,424003276897906
4, Jan;39,18745494265431;35,133080283997856;31,787673402512326;36,52434188967783;33,635876570180244;38,12144776;38,67785074626869;31,787673402512326;39,18745494265431
5, Feb;39,33554888039322;34,96281267067178;27,736291643910477;32,3040906608411;38,79743855816497;30,3812215;38,041940298507484;27,736291643910477;39,33554888039322
6, Feb;39,021796832332086;35,81266521026765;31,334653194975488;30,855552501374405;35,42179683233212;37,86352239;35,99474626865674;31,334653194975488;39,021796832332086
7, Feb;41,00643910431461;36,71739486619339;33,08936646641183;33,61489350081928;33,9060895685418;34,3698209;37,381119402985064;33,08936646641183;41,00643910431461
8, Feb;41,24257236482799;37,04914800655382;32,70037684325507;38,0005734571273;34,833397050791916;34,9539403;40,96007462686572;32,70037684325507;41,24257236482799
9, Mar;44,904877116329885;38,85190060076462;34,11335335882035;42,89578918623704;37,56402512288372;37,30483582;43,454537313432866;34,11335335882035;44,904877116329885
10, Mar;44,20866739486621;39,334718732932856;34,99164937192796;38,77370289459316;35,797864554888065;40,91440299;40,80689552238812;34,99164937192796;44,20866739486621
11, Mar;43,56831785909344;38,97126706717643;34,63359366466415;39,299765155652665;38,52475696340798;37,20614925;39,14122388059707;34,63359366466415;43,56831785909344
12, Mar;42,93917531403605;39,2796668487166;35,22339158929549;38,43488257782633;35,9185199344621;36,61880597;40,56019402985078;35,22339158929549;42,93917531403605
13, Apr;44,19007646095031;39,93410704533045;36,26524849808851;38,038098360655795;39,04651556526494;42,82538806;43,19074626865677;36,26524849808851;44,19007646095031
14, Apr;43,91339705079196;39,26406881485531;35,322135445111996;41,98939923539052;36,80702894593122;38,80601493;40,18338805970154;35,322135445111996;43,91339705079196
15, Apr;44,36348989623161;40,866253413435345;36,711452758055714;43,42716002184602;43,77551611141456;41,06856716;39,15783582089557;36,711452758055714;44,36348989623161
16, May;44,45725286728566;40,34926815947574;35,11162752594214;41,84424358274168;40,87515565264886;35,63668657;41,866134328358214;35,11162752594214;44,45725286728566
17, May;44,57648825778267;40,05332058984163;34,50271436373566;41,506166029492135;41,71251228836701;37,70016418;40,68561194029854;34,50271436373566;44,57648825778267
18, May;43,02463681048613;39,36364281813218;32,33085199344623;41,214893500819244;39,98989077007104;41,57173134;41,138432835820936;32,33085199344623;43,02463681048613
19, May;42,9623757509558;39,082812670671785;33,98393773894048;39,58945005611673;39,31704533042057;38,76183521;39,6575373134329;33,98393773894048;42,9623757509558
20, Jun;43,3040906608411;38,30319497542325;32,13238121245223;41,0183233205899;34,00654415798135;37,61097744;36,633307453416194;32,13238121245223;43,3040906608411
21, Jun;45,15392135445114;39,43883670125621;32,40941015838342;40,26088068181821;40,525883668903816;;28,438927038626616;32,40941015838342;45,15392135445114
22, Jun;43,705707263790316;38,00373020207542;30,420901146914275;36,45415902140678;33,751791044776155;39,17111603;33,17239256678283;30,420901146914275;43,705707263790316
23, Jun;42,248702064896804;38,338991150442496;33,497362831858425;39,03603401969565;35,94616766467067;35,14862613;38,24770657672849;33,497362831858425;42,248702064896804
24, Jul;40,22606879606883;36,05584766584769;31,02882063882066;36,96910141206678;31,726094986807425;33,83274354;32,962558139534906;31,02882063882066;40,22606879606883
25, Jul;41,28661016949155;37,930306178239505;33,37277747402959;37,61910179640722;38,51205673758869;35,65642384;30,519921259842533;33,37277747402959;41,28661016949155
26, Jul;39,42916666666673;35,32740196078436;31,51431372549024;28,900692588092397;30,155500000000018;38,79761062;31,5477474402731;31,51431372549024;39,42916666666673
