"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,92128027681662;33,207923875432584;26,601929731168525;30,669091412742432;34,90159435719994;36,64931234;26,952743394860704;26,601929731168525;37,92128027681662
2, Jan;38,68088634548849;33,53616449294651;28,343659834974744;34,11144264040462;37,12157838701097;32,66169019;31,108226565327584;28,343659834974744;38,68088634548849
3, Jan;38,254503593292554;33,65123502794785;27,821200425871723;34,0638834176205;36,50380356667557;30,33378855;37,507770539268904;27,821200425871723;38,254503593292554
4, Jan;38,24030077189252;34,15621240351351;30,455536332179975;35,56120042587173;32,77638807559225;37,42181325;37,429435396308406;30,455536332179975;38,24030077189252
5, Feb;38,482664359861644;33,978112856002156;27,03384881554439;32,41945435187654;37,70413894064416;28,11775915;37,42997828447341;27,03384881554439;38,482664359861644
6, Feb;38,87142134681932;34,96664626031412;30,16362257120045;29,919811019430426;34,52098216662233;38,38483707;34,81870068765835;30,16362257120045;38,87142134681932
7, Feb;40,037223848815586;35,752571200425905;31,81400319403781;32,52760979504927;32,94878094224117;34,13205574;35,95306299782766;31,81400319403781;40,037223848815586
8, Feb;40,87634016502534;36,08643332446104;31,83080383284539;37,0256081980304;34,1403007718925;34,12727832;40,76502714440829;31,83080383284539;40,87634016502534
9, Mar;44,21862390204956;38,04965930263512;33,30955815810489;41,62171147191913;36,34013042321004;36,61524792;43,068566775244335;33,30955815810489;44,21862390204956
10, Mar;43,07558424274691;38,1370694703221;33,850670747937215;38,314492946499854;35,15519031141872;39,87018096;39,33420557365184;33,850670747937215;43,07558424274691
11, Mar;42,54916422677667;37,80126963002397;32,928509449028525;38,34028480170355;37,44294117647064;37,08932682;38,5325841476656;32,928509449028525;42,54916422677667
12, Mar;41,65602608464201;37,996659568804944;33,36796646260319;38,06001863188715;34,927966462603194;35,93996743;38,74300036192545;33,36796646260319;41,65602608464201
