"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;37,5434662099035;31,55515104328873;26,867016505761512;30,02981002802869;34,50091248832143;35,90956192;27,404758591608754;26,867016505761512;37,5434662099035
2, Jan;37,03025537215825;32,33479601370294;27,26582061663038;32,14875428215515;35,722018062908774;32,58805392;28,20121735467569;27,26582061663038;37,03025537215825
3, Jan;37,06902211149179;32,88383369666775;28,438663967611376;34,1883961382747;35,68192151977581;33,11456058;33,07744048872979;28,438663967611376;37,06902211149179
4, Jan;38,32829336655249;34,74506072874499;31,65729990657121;34,67287449392717;35,213740267829394;36,48824347;36,460467565290685;31,65729990657121;38,32829336655249
5, Feb;39,66385238243538;35,67202429149802;30,582270320772352;33,749984428527;37,65274057925882;37,04918281;38,59485256950296;30,582270320772352;39,66385238243538
6, Feb;40,19348178137653;36,49432264092184;32,9602460292744;33,90157583307382;36,39126440361264;37,95637418;35,918470935130586;32,9602460292744;40,19348178137653
7, Feb;41,83867642478981;37,8159545312987;34,03166303332296;36,45273435066957;36,02641856119595;35,18456613;40,00897219882057;34,03166303332296;41,83867642478981
8, Feb;42,94198380566803;38,53996574275931;35,004369355341055;41,134160697602;35,252812208034925;38,38853833;41,09357203032857;35,004369355341055;42,94198380566803
9, Mar;44,55364372469637;39,13058548738712;32,55269697913428;41,79114917471196;35,997539707256294;33,92855097;41,03401432181971;32,55269697913428;44,55364372469637
10, Mar;45,59635938959826;40,055356586733126;34,72196511990035;39,18038617253194;38,14574898785429;40,65197557;42,39598567818035;34,72196511990035;45,59635938959826
11, Mar;46,175518530052955;41,2026876362504;35,126748676424825;40,63997508564313;40,9383930239801;43,94281803;41,47254844144908;35,126748676424825;46,175518530052955
12, Mar;46,17041108688886;40,386568047337335;34,27592338835257;38,374531298660884;39,337412021177215;40,40677691;46,05998315080035;34,27592338835257;46,17041108688886
13, Apr;45,5691529118655;41,42046402989723;36,956184989099995;41,05915602616011;38,115988788539426;43,15639848;43,31326874473467;36,956184989099995;45,5691529118655
14, Apr;45,32723450638434;41,08725942074125;37,60191529118657;44,49895671130491;40,31853939582686;43,4592797;42,660164348925434;37,60191529118657;45,32723450638434
15, Apr;46,18877296792283;41,531033945811316;35,82993148551856;43,321227032077275;43,74357832450954;44,74258086;43,961996630160115;35,82993148551856;46,18877296792283
16, May;44,602351292432274;40,805403301152296;33,737125506072914;40,692980379944004;41,55058548738714;36,83567214;40,16320412892355;33,737125506072914;44,602351292432274
17, May;44,705521644347584;40,11026782933669;35,23911242603555;41,23198380566805;35,71590781687951;39,96299495;36,62576242628478;35,23911242603555;44,705521644347584
18, May;43,74621924634073;38,742320149486204;31,400358143880453;42,3323725671919;40,2350731859234;39,43604044;42,5678306655434;31,400358143880453;43,74621924634073
19, May;42,42580815945189;36,803709124883255;27,93900654001868;38,03574441465594;34,772733870967784;41,26881213;38,94305812973886;27,93900654001868;42,42580815945189
20, Jun;42,39825288072251;36,264238554967335;28,506455932731228;40,687075677359076;36,48188717469225;37,28219975;33,1559632089934;28,506455932731228;42,39825288072251
21, Jun;39,60318592338837;32,50426346932426;24,660924945499858;31,310096038415395;32,4991187914855;;32,39244897959185;24,660924945499858;39,60318592338837
22, Jun;38,15583618810342;31,363011522890133;25,686449704142035;23,028361719383668;29,931459093277738;32,43769815;31,992519148936196;25,686449704142035;38,15583618810342
23, Jun;35,95741824976642;30,34481158517599;25,13195577701657;32,99450830713971;28,270868468468507;34,00643481;28,045266015200923;25,13195577701657;35,95741824976642
24, Jul;33,78924634070387;28,843447524135797;23,594590470258538;30,764679497634972;27,419531250000034;28,90938487;27,892444444444493;23,594590470258538;33,78924634070387
25, Jul;34,43868888196823;28,70781376518221;22,60693553410158;24,68109854604205;26,364625850340133;26,30433921;26,73345784418359;22,60693553410158;34,43868888196823
26, Jul;30,084481897627995;27,415193508114896;24,625330836454452;26,50895348837213;26,620707070707113;29,52926295;25,512962962963;24,625330836454452;30,084481897627995
27, Jul;31,584580665313183;27,49427299703268;23,28734499453384;26,813412073490838;25,986459395175018;25,96414201;;23,28734499453384;31,584580665313183
28, Aug;29,84649953285583;26,886673933354132;23,899492369978248;24,175844930417497;26,542383177570116;29,78353628;24,698489208633134;23,899492369978248;29,84649953285583
29, Aug;29,431984350547737;26,518532081377202;23,43661658841944;26,370983606557388;24,21148936170215;26,30052224;25,87716117216121;23,43661658841944;29,431984350547737
30, Aug;29,134796013702953;26,378470881345436;23,323273123637534;25,510718336483933;26,667105263157907;27,62756345;28,251324736225115;23,323273123637534;29,134796013702953
31, Aug;29,434216754905037;26,968044222983508;23,11690750545;22,568270774976668;25,71844626168229;27,66879892;22,952366197183153;23,11690750545;29,434216754905037
