"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;31,10125691699608;27,23542292490123;23,754916996047484;24,66128853754941;28,198822134387342;30,14176982;24,98263843648209;23,754916996047484;31,10125691699608
2, Jan;30,71539130434786;27,558426877470367;22,787675889328113;27,260007905138366;28,819596837944687;27,9957329;24,71243213897941;22,787675889328113;30,71539130434786
3, Jan;30,91434782608701;27,48456126482216;20,950996047430863;27,791549407114644;29,482458498023732;25,10494024;28,580554951033776;20,950996047430863;30,91434782608701
4, Jan;32,123739130434785;28,883011857707515;25,096703557312253;28,187707509881477;28,313747035573158;30,43314875;30,57889130434785;25,096703557312253;32,123739130434785
5, Feb;33,34941501976289;29,445604743083038;25,177999999999997;26,843090909090904;31,397509881422934;29,83038245;32,68142236699242;25,177999999999997;33,34941501976289
6, Feb;33,680229249011916;29,72677470355734;25,170758893280663;27,823438735177888;29,270079051383448;25,24191424;30,481378935939233;25,170758893280663;33,680229249011916
7, Feb;34,234790513834014;30,862047430830046;27,608608695652208;28,77267193675891;29,717383399209552;30,31208469;30,855298588490825;27,608608695652208;34,234790513834014
8, Feb;35,75184980237157;31,76718577075104;28,014110671936805;31,723596837944683;29,799723320158137;29,27395223;34,98971769815421;28,014110671936805;35,75184980237157
9, Mar;35,60029249011865;32,38656916996047;28,864355731225317;34,32465612648224;31,179011857707565;32,68609121;34,52252985884911;28,864355731225317;35,60029249011865
10, Mar;37,04784980237156;32,95554940711469;29,59855335968382;30,876988142292532;31,195122529644323;30,33618893;35,73575461454942;29,59855335968382;37,04784980237156
11, Mar;37,4457628458498;33,584956521739116;29,371707509881446;32,56486166007909;33,25961264822138;32,95304017;34,477166123778545;29,371707509881446;37,4457628458498
12, Mar;38,55039525691706;33,737747035573136;30,185430830039536;31,788324110671965;31,092023715415053;32,27794788;38,51160694896856;30,185430830039536;38,55039525691706
13, Apr;37,98087747035578;34,348877470355774;29,653162055335997;32,11094861660081;32,29137549407119;33,57010858;36,44190010857767;29,653162055335997;37,98087747035578
14, Apr;37,48279051383406;34,25496442687751;30,655249011857734;35,92595256917002;33,13245059288539;35,59106522;36,6622258414767;30,655249011857734;37,48279051383406
15, Apr;37,74049802371542;34,61123320158106;31,72996837944669;34,706158102766835;36,2688616600791;33,92513572;35,26376764386538;31,72996837944669;37,74049802371542
16, May;37,58160474308306;34,62637944664033;31,547486166007957;33,042711462450654;35,02995256916995;33,31310532;35,855276872964225;31,547486166007957;37,58160474308306
17, May;37,14128853754943;33,63276679841897;28,842537549407155;34,359422924901196;29,676418972332044;31,05801303;33,67968512486431;28,842537549407155;37,14128853754943
18, May;38,18552569169964;33,53578656126484;28,231881422924914;34,22476973684212;32,13980237154152;32,26302174;35,753995656894745;28,231881422924914;38,18552569169964
19, May;36,14429249011857;32,30688537549406;26,919533596837994;18,845555555555563;32,742031620553405;31,7098913;33,14232608695653;26,919533596837994;36,14429249011857
20, Jun;37,03162845849806;32,308403162055356;26,728577075098826;32,64261660079052;29,70747035573129;33,84153428;34,491563517915324;26,728577075098826;37,03162845849806
21, Jun;35,834664031620605;30,933667984189753;25,968735177865653;26,375882352941233;29,45749598715895;;23,102800000000002;25,968735177865653;35,834664031620605
22, Jun;34,624482213438796;30,38546245059291;25,510300395256934;22,80168494516454;29,08087267525036;30,48137894;32,59688453159043;25,510300395256934;34,624482213438796
23, Jun;33,76851383399213;29,004972332015825;23,697588932806354;31,07765273311901;28,33067961165051;31,19930514;28,284979973297766;23,697588932806354;33,76851383399213
24, Jul;31,40215810276686;27,96908300395262;23,818031620553427;29,608671096345518;25,66807017543863;28,35632856;25,76158351409981;23,818031620553427;31,40215810276686
25, Jul;32,67526482213441;28,53012648221346;24,478395256916997;27,39037037037042;28,708580171358676;27,26508197;27,32107954545461;24,478395256916997;32,67526482213441
26, Jul;30,485984189723354;27,803739130434792;24,549857707509886;25,80822368421059;28,225258620689658;29,48915094;29,47249027237359;24,549857707509886;30,485984189723354
27, Jul;30,32724901185776;27,93123320158105;24,726996047430873;27,441526104417733;27,592209737827773;24,70184466;27,122585812357045;24,726996047430873;30,32724901185776
28, Aug;29,84449802371546;26,465715415019815;22,22789723320159;28,17261424017005;26,391818181818223;29,18555906;20,700000000000045;22,22789723320159;29,84449802371546
29, Aug;28,78268834258529;26,61520222045999;23,862339413164193;26,54001703577518;25,768317757009356;25,95206897;26,84075975359343;23,862339413164193;28,78268834258529
30, Aug;30,316877470355735;27,420371541501993;23,00026086956524;26,060417335473517;27,496003824091815;28,89246377;28,384457831325335;23,00026086956524;30,316877470355735
31, Aug;30,227486166007964;27,099106719367626;23,314948616600816;21,801565557729987;27,09459715639815;25,55947368;22,331244019138808;23,314948616600816;30,227486166007964
32, Sept;30,639786561264827;27,127122529644282;22,077320158102793;26,17281995661608;23,824736842105324;28,13814196;26,212536585365854;22,077320158102793;30,639786561264827
33, Sept;30,535723320158127;27,293383399209517;22,928229249011906;27,784945424013472;26,14635584137193;29,03793792;28,793668639053294;22,928229249011906;30,535723320158127
34, Sept;30,79694071146247;27,815628458498054;23,878237154150213;29,948815052041653;27,06813694267521;28,64416481;28,71778877887789;23,878237154150213;30,79694071146247
35, Sept;30,3546324110672;27,65167588932809;23,97913833992095;28,159952531645615;28,51558213716112;;28,482394775036312;23,97913833992095;30,3546324110672
36, Oct;31,759849802371548;28,44766007905139;24,28595256916998;29,081980519480567;;31,43258415;29,529016393442646;24,28595256916998;31,759849802371548
37, Oct;30,990837944664065;28,320482213438765;25,152735177865623;29,366271777003533;;23,56583333;26,719346092503997;25,152735177865623;30,990837944664065
38, Oct;31,20222134387359;28,564940711462498;25,92497233201584;28,9660158102767;28,91733596837946;28,92717391;30,095602605863235;25,92497233201584;31,20222134387359
39, Nov;30,642316205533632;28,717762845849848;26,45037944664034;29,263913043478283;29,254869565217405;29,42567861;28,27318681318684;26,45037944664034;30,642316205533632
40, Nov;30,791438735177906;28,21638735177868;24,09717786561265;28,133873517786583;27,9770830039526;27,13088235;30,254429967426745;24,09717786561265;30,791438735177906
41, Nov;31,0951225296443;28,490600790513838;25,57322529644273;28,34283794466404;26,991407114624508;29,8484885;30,45964169381108;25,57322529644273;31,0951225296443
42, Nov;30,233335968379436;27,892624505928893;24,132181818181834;28,795486166007947;28,04470355731229;29,57688382;27,811520086862117;24,132181818181834;30,233335968379436
43, Dec;31,09246640316212;27,66226877470359;24,079154150197667;28,603549407114656;28,274300395256944;26,3811835;28,966091205211796;24,079154150197667;31,09246640316212
44, Dec;30,127217391304384;26,944861660079084;21,827644268774748;28,622158102766832;29,749098814229285;26,0940608;28,55243213897944;21,827644268774748;30,127217391304384
45, Dec;30,67991304347828;27,096324110671958;23,504071146245053;25,677019762845873;25,742790513834052;27,64034783;27,292866449511394;23,504071146245053;30,67991304347828
46, Dec;30,933193675889356;27,244055335968426;22,996909090909128;29,637557312253023;24,192231759656693;29,67026059;30,521586956521787;22,996909090909128;30,933193675889356
