"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3278087712759349;0,26908661945583306;0,21246281525655364;0,30045439184991923;0,26303827804696234;0,278268378;0,27287056027164686;0,21246281525655364;0,3278087712759349
2, Jan;0,2957672008945211;0,2540604795626786;0,20988127717728913;0,2927663809168841;0,25243082370480807;0,257931402;0,24987544991511038;0,20988127717728913;0,2957672008945211
3, Feb;0,27434488756367253;0,24185031680954158;0,20605985836749907;0,26048360044726054;0,24019585041620076;0,24856875;0,2514696095076401;0,20605985836749907;0,27434488756367253
4, Feb;0,2631000869673251;0,2312932289725432;0,19845717480432354;0,24061208845819357;0,22256656727543797;0,231024459;0,23600881154499154;0,19845717480432354;0,2631000869673251
5, Mar;0,25070403776866695;0,2199742079761461;0,1817102124487514;0,23017126351099515;0,20974726052925832;0,22001103;0,22708008488964349;0,1817102124487514;0,25070403776866695
6, Mar;0,2441195428003479;0,21548127717728913;0,17999995030438565;0,23270980245993292;0,2126802211454839;0,217353699;0,21941539898132428;0,17999995030438565;0,2441195428003479
7, Apr;0,24517430736737483;0,21538223381786556;0,18230336687787305;0,23797613368120266;0,20100510622437573;0,219118125;0,21508105263157895;0,18230336687787305;0,24517430736737483
8, Apr;0,24639836004472607;0,2138777984842838;0,17971684681326874;0,23599824822959373;0,2071087340042241;0,211922652;0,22063348047538203;0,17971684681326874;0,24639836004472607
9, May;0,25124862715865326;0,2148418437072928;0,18165270219903093;0,23366761088333957;0,2108222884830414;0,202478514;0,2073897623089983;0,18165270219903093;0,25124862715865326
10, May;0,29750319294322275;0,22394732264877626;0,17092308361287117;0,22323965710026092;0,22661408870667166;0,203316554;0,2174265874363328;0,17092308361287117;0,29750319294322275
11, Jun;0,4150786433097279;0,26714786930053425;0,15949521679711767;0,27232326997142503;0,3530441297055535;0,268531014;0,3320902716468591;0,15949521679711767;0,4150786433097279
12, Jun;0,5347128835880234;0,34746003230214934;0,1996248850788918;0,3399538700459685;0,4521679711765437;0,361644476;0,4082971986417657;0,1996248850788918;0,5347128835880234
13, Jul;0,6627844452727047;0,46455400670890795;0,24050078270592623;0,5026629519194932;0,48746556093924714;0,412439493;0,4641898302207131;0,24050078270592623;0,6627844452727047
14, Jul;0,7163222263635235;0,5451506522549385;0,2660367499068207;0,5384113306000745;0,6503620573984347;0,537046858;0,5605512903225807;0,2660367499068207;0,7163222263635235
15, Aug;0,7638164244005466;0,6268656479065723;0,321540837371102;0,6516628401043608;0,6487725183252578;0,61438875;0,6516656536502546;0,321540837371102;0,7638164244005466
16, Aug;0,7898184619207356;0,6728005963473724;0,41816165983351966;0,6922650515591999;0,5950581438688036;0,691308108;0,6909181833616299;0,41816165983351966;0,7898184619207356
17, Sept;0,7465438688035781;0,6545616101379054;0,525635681451112;0,671981736861722;0,6930496707665549;0,635270811;0,6881820373514432;0,525635681451112;0,7465438688035781
18, Sept;0,6793410858491739;0,5899033420300659;0,4833651882221394;0,582128612249969;0,6139570878369984;0,610730304;0,614913921901528;0,4833651882221394;0,6793410858491739
19, Oct;0,611279612374208;0,5059581562927072;0,3976909181264754;0,46760028574978263;0,5098801093303515;0,480243818;0,5369694397283532;0,3976909181264754;0,611279612374208
20, Nov;0,5362076282768046;0,4251547272953162;0,3170095664057647;0,38200766554851534;0,46163621567896634;0,401639037;0,39573969439728357;0,3170095664057647;0,5362076282768046
21, Nov;0,44354970803826566;0,3472725059013542;0,2679464778233321;0,3107857622064853;0,36320344142129457;0,325629088;0,33193972835314095;0,2679464778233321;0,44354970803826566
22, Dec;0,37589906820723074;0,30538606038017146;0,23708699217294077;0,29616408249471987;0,3161929059510498;0,285057686;0,31109327674023773;0,23708699217294077;0,37589906820723074
23, Dec;0,341429096782209;0,28649581314449;0,23229064480059633;0,2717902099639707;0,30796491489626043;0,274017973;0,292474363327674;0,23229064480059633;0,341429096782209
