"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2780574375;0,24550093750000002;0,21073687500000002;0,2667414375;0,24558637500000002;0,254976405;0,22870868824531518;0,21073687500000002;0,2780574375
2, Jan;0,2648771875;0,23658723437499998;0,20742618750000003;0,25959875000000004;0,2389849375;0,241634072;0,2250587734241908;0,20742618750000003;0,2648771875
3, Feb;0,2575640625;0,2287685;0,203077375;0,2431954375;0,22615125;0,237136457;0,22154071550255536;0,203077375;0,2575640625
4, Feb;0,2438624375;0,22205440625000003;0,19910750000000002;0,230492375;0,21989156250000003;0,220807155;0,2197142248722317;0,19910750000000002;0,2438624375
5, Mar;0,2357905625;0,21386240625000003;0,1916358125;0,227112875;0,21399406250000003;0,219481601;0,20972555366269166;0,1916358125;0,2357905625
6, Mar;0,22868075;0,2102613125;0,1879633125;0,221923;0,21182306250000002;0,215340545;0,20594633730834755;0,1879633125;0,22868075
7, Apr;0,22412693749999998;0,204073109375;0,18139575;0,2194035625;0,20401787500000002;0,210714991;0,19685025553662694;0,18139575;0,22412693749999998
8, Apr;0,21922437500000003;0,2001143125;0,1794641875;0,21638737500000002;0,20267037499999999;0,21242155;0,195262265758092;0,1794641875;0,21922437500000003
9, May;0,215421;0,1940053125;0,17179993750000003;0,209911375;0,1891209375;0,20616167;0,18792538330494038;0,17179993750000003;0,215421
10, May;0,2079525;0,19039876562500002;0,1727455625;0,1967035625;0,19835750000000002;0,197284497;0,1871637989778535;0,1727455625;0,2079525
11, Jun;0,21146187500000002;0,186591296875;0,1541405;0,20487287500000004;0,1920153125;0,20013109;0,15815715502555366;0,1541405;0,21146187500000002
12, Jun;0,27188049999999997;0,19809384375;0,1615444375;0,2039514375;0,21374468750000003;0,230724872;0,18264531516183988;0,1615444375;0,27188049999999997
13, Jul;0,3984249375;0,24570653125;0,16872393750000003;0,212204;0,2319254375;0,246681261;0,2551321976149915;0,16872393750000003;0,3984249375
14, Jul;0,48767875000000005;0,3130819375;0,1672444375;0,29905525;0,3478575;0,333906303;0,3133564735945486;0,1672444375;0,48767875000000005
15, Aug;0,6108519375;0,40726340625;0,189533625;0,45456350000000006;0,5023475000000001;0,448486201;0,42155085178875645;0,189533625;0,6108519375
16, Aug;0,6509668125;0,4916715625;0,2863745;0,5391658125000001;0,5154820625000001;0,503469336;0,5205012776831346;0,2863745;0,6509668125
17, Sept;0,6589205625;0,5408520000000001;0,41908693750000003;0,6066615625;0,5944067500000001;0,501915673;0,5984851788756389;0,41908693750000003;0,6589205625
18, Sept;0,5940134375;0,5142156875;0,42422250000000006;0,5189365;0,56165175;0,506218399;0,5257126916524703;0,42422250000000006;0,5940134375
19, Oct;0,5491864375000001;0,43486121875;0,3140320625;0,48681700000000006;0,4246099375;0,410813884;0,47434752981260647;0,3140320625;0,5491864375000001
20, Nov;0,4605961250000001;0,36154215625;0,28057037500000004;0,36428662500000003;0,42067268750000003;0,361627853;0,3289645655877343;0,28057037500000004;0,4605961250000001
21, Nov;0,3810495;0,3139093125;0,2576203125;0,300546125;0,35087087499999997;0,313987138;0,31067930153321976;0,2576203125;0,3810495
22, Dec;0,32636;0,2803115;0,2362925625;0,27773956250000004;0,3076809375;0,268370528;0,2921415672913118;0,2362925625;0,32636
23, Dec;0,2927238125;0,26188275;0,22722950000000003;0,2552385625;0,2736491875;0,259581431;0,2687321124361159;0,22722950000000003;0,2927238125
