"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5945924861156485;0,4870932048350213;0,37182740934335184;0,5462046081399261;0,5386966683493185;0,514181682;0,4568227772685609;0,37182740934335184;0,5945924861156485
2, Jan;0,542261153783298;0,4515036443863376;0,3331773492400719;0,5308703647671877;0,5090583950201885;0,4528643;0,443812784548172;0,3331773492400719;0,542261153783298
3, Feb;0,5051059054474072;0,40897837395714054;0,295237821037134;0,42191675612210666;0,4448486941870261;0,425703202;0,3946221226740179;0,295237821037134;0,5051059054474072
4, Feb;0,4574076445606012;0,3668891212022215;0,2663272296635087;0,4090191164118932;0,3825762504196039;0,366695731;0,3409934237755806;0,2663272296635087;0,4574076445606012
5, Mar;0,42912198627899384;0,3404186867036916;0,25159181639986933;0,3982478691275168;0,3676501500500167;0,334920932;0,3238091283459163;0,25159181639986933;0,42912198627899384
6, Mar;0,40826428104575163;0,3298799346405229;0,24792107843137257;0,37012309759784984;0,3447800940702167;0,332165912;0,3280344487737795;0,24792107843137257;0,40826428104575163
7, Apr;0,4010855648193559;0,32299074709825076;0,2446644433545856;0,38478264963012776;0,3391677966101695;0,319936702;0,3041683596431023;0,2446644433545856;0,4010855648193559
8, Apr;0,40263025649403694;0,3235523933997713;0,23927784675706584;0,4000536847406413;0,3422245416316232;0,333456349;0,3110562557286893;0,23927784675706584;0,40263025649403694
9, May;0,41823835347925514;0,3290322443645867;0,23964006860503106;0,3934821476510067;0,34118854884815875;0,341275561;0,3127917450126118;0,23964006860503106;0,41823835347925514
10, May;0,4471581524400196;0,340345552472662;0,23225079157826017;0,41625311447811447;0,4103196509481457;0,340062383;0,2994183957952468;0,23225079157826017;0,4471581524400196
11, Jun;0,4935601502531439;0,35143818389678266;0,2109862812346889;0,4153072180451128;0,45876572817161054;0,397159573;0,2607984907386234;0,2109862812346889;0,4935601502531439
12, Jun;0,5955108787977785;0,404553283240771;0,18762847108787978;0,5029145948666331;0,5209391355335903;0,447750163;0,4296423421354765;0,18762847108787978;0,5955108787977785
13, Jul;0,6728694657735664;0,46593442247998695;0,1888413657899036;0,5116429337803856;0,5767330423102753;0,453749292;0,5027229829414477;0,1888413657899036;0,6728694657735664
14, Jul;0,7002659031413613;0,501050719895288;0,16708358965968587;0,5782461448009407;0,5392742765814267;0,501546177;0,45981869825207;0,16708358965968587;0,7002659031413613
15, Aug;0,7276323793949305;0,5438675388389207;0,19543481602616516;0,6508980589022758;0,5436780402010051;0,558229405;0,6215478510687199;0,19543481602616516;0,7276323793949305
16, Aug;0,7416285900783289;0,561171540469974;0,20591395234986945;0,5820962919659262;0,5530485461229947;0,614443455;0,5394019006182734;0,20591395234986945;0,7416285900783289
17, Sept;0,7486125979112271;0,621130221932115;0,3900052872062663;0,697953711790393;0,664503429147756;0,611625681;0,6724231104985068;0,3900052872062663;0,7486125979112271
18, Sept;0,743749263502455;0,6405181014729951;0,4695868085106383;0,6735455941931128;0,612444289083558;0,644481573;0,6857385020613834;0,4695868085106383;0,743749263502455
19, Oct;0,7290462442847813;0,6478480731548008;0,5441762900065317;0,6679569199798692;0,6392758503401361;0,609955347;0,6551492427719138;0,5441762900065317;0,7290462442847813
20, Nov;0,7096809803921569;0,6310475816993464;0,5274115032679739;0,6495503764430317;0,6519033551417548;0,614383555;0,6613560578246902;0,5274115032679739;0,7096809803921569
21, Nov;0,679218208613067;0,5975993450139184;0,49756554773211076;0,6289576974789917;0,5964520451102507;0,57129059;0,6205138920780712;0,49756554773211076;0,679218208613067
22, Dec;0,6423785924713584;0,5661854664484453;0,4663469721767594;0,5943187594808698;0,592194929245283;0,541517992;0,6103803075510673;0,4663469721767594;0,6423785924713584
23, Dec;0,6057592816326531;0,5250473142857144;0,4310887836734694;0,5174187805288867;0,5435652188552189;0,512838205;0,5762310583352548;0,4310887836734694;0,6057592816326531
