"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3284487218045113;0,2739303195488722;0,22818428571428573;0,2914606766917293;0,2583172180451128;0,286355363;0,24110684371807967;0,22818428571428573;0,3284487218045113
2, Jan;0,30514849624060153;0,2613023308270677;0,22100556390977447;0,2826283458646617;0,24732759398496243;0,264678447;0,23736006128702758;0,22100556390977447;0,30514849624060153
3, Feb;0,2841948120300752;0,24889716165413533;0,21669827067669173;0,254711052631579;0,22975;0,252954648;0,2312150153217569;0,21669827067669173;0,2841948120300752
4, Feb;0,27455744360902257;0,23891877819548873;0,20531;0,24580383458646618;0,21936345864661655;0,237182329;0,22322839632277833;0,20531;0,27455744360902257
5, Mar;0,2612006766917293;0,22741447368421056;0,19824864661654135;0,2421433082706767;0,2125015037593985;0,227472217;0,21907466802860065;0,19824864661654135;0,2612006766917293
6, Mar;0,2519405263157895;0,22175806390977446;0,19523548872180452;0,247146992481203;0,2058727819548872;0,228990296;0,21051246169560778;0,19523548872180452;0,2519405263157895
7, Apr;0,24739917293233085;0,21663639097744364;0,18525067669172932;0,23318360902255642;0,20146488721804515;0,216917263;0,20395005107252298;0,18525067669172932;0,24739917293233085
8, Apr;0,24224766917293233;0,21207984962406018;0,1837996992481203;0,2282566917293233;0,19752187969924814;0,213275689;0,1952303370786517;0,1837996992481203;0,24224766917293233
9, May;0,23865563909774437;0,2042923120300752;0,17483729323308272;0,2206918796992481;0,1802975939849624;0,209345761;0,1907386108273749;0,17483729323308272;0,23865563909774437
10, May;0,232849022556391;0,19733054511278197;0,17023744360902257;0,19927127819548873;0,20111195488721806;0,203665475;0,18695669050051072;0,17023744360902257;0,232849022556391
11, Jun;0,2562589473684211;0,19467864661654136;0,1536515037593985;0,18706857142857145;0,2434230827067669;0,218860674;0,16802196118488252;0,1536515037593985;0,2562589473684211
12, Jun;0,3222827819548872;0,20845902255639098;0,1557511278195489;0,1980278195488722;0,3202589473684211;0,230815935;0,18548958120531156;0,1557511278195489;0,3222827819548872
13, Jul;0,41553360902255637;0,27333496240601507;0,17139496240601504;0,30398706766917294;0,35009270676691734;0,28869142;0,26677671092951993;0,17139496240601504;0,41553360902255637
14, Jul;0,5593761654135339;0,364369022556391;0,17154496240601505;0,39761676691729325;0,504466015037594;0,415899081;0,43584606741573034;0,17154496240601505;0,5593761654135339
15, Aug;0,6632163157894737;0,47366052631578953;0,2166321804511278;0,534173007518797;0,5080575939849624;0,552385291;0,5492893769152196;0,2166321804511278;0,6632163157894737
16, Aug;0,7165165413533835;0,5712142105263158;0,3391572180451128;0,6436742105263158;0,6633643609022556;0,616579877;0,5687289070480083;0,3391572180451128;0,7165165413533835
17, Sept;0,7120979699248121;0,6209709774436091;0,5092391729323308;0,6992617293233083;0,6737481203007519;0,60159142;0,6910965270684372;0,5092391729323308;0,7120979699248121
18, Sept;0,684116090225564;0,6132284962406016;0,5235517293233083;0,6615258646616542;0,6268842105263158;0,621878243;0,6538316649642493;0,5235517293233083;0,684116090225564
19, Oct;0,654146015037594;0,5393318796992481;0,43387721804511276;0,5899366165413534;0,47815428571428575;0,511211542;0,6175600612870276;0,43387721804511276;0,654146015037594
20, Nov;0,5591177443609023;0,4393442105263158;0,3377216541353384;0,4303136842105263;0,4616346616541354;0,400279265;0,44074759959141985;0,3377216541353384;0,5591177443609023
21, Nov;0,46609812030075193;0,3630856390977444;0,292609022556391;0,3495890977443609;0,3901615037593985;0,333555771;0,3489186925434116;0,292609022556391;0,46609812030075193
22, Dec;0,3799211278195489;0,32029977443609026;0,258199022556391;0,3201906015037594;0,3415074436090226;0,29325332;0,3267997957099081;0,258199022556391;0,3799211278195489
23, Dec;0,35048067669172933;0,2959904511278196;0,24547203007518797;0,27517992481203013;0,30474353383458647;0,273481103;0,3044024514811032;0,24547203007518797;0,35048067669172933
