"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,5549253748897384;0,4309607762422817;0,28586101146721554;0,468257585596222;0,4561581979320532;0,484122084;0,3873782958199357;0,28586101146721554;0,5549253748897384
2, Jan;0,48756865627756546;0,3807877683034402;0,2635710085269039;0,462329271171437;0,42863162393162396;0,40338481;0,3558255720594139;0,2635710085269039;0,48756865627756546
3, Feb;0,42642869744192885;0,3268025874742723;0,24082772713907677;0,3573551978735972;0,3626600708800945;0,368274549;0,31501199677938807;0,24082772713907677;0,42642869744192885
4, Feb;0,36908820935019115;0,2923791825933549;0,22640890914436934;0,31807491895078105;0,2979055162241888;0,306836914;0,2718887459807074;0,22640890914436934;0,36908820935019115
5, Mar;0,33876198177006767;0,2776115848279918;0,21934719200235228;0,30096677505172925;0,28235318396226416;0,27920493;0,2767535182951347;0,21934719200235228;0,33876198177006767
6, Mar;0,34607006762716847;0,2853455454278154;0,23125016171714202;0,30890927895981085;0,28019619356742403;0,300214669;0,2789372690763052;0,23125016171714202;0,34607006762716847
7, Apr;0,37163278447515435;0,2931950308732726;0,22745239635401354;0,3348726281673542;0,29378254716981134;0,309928136;0,27150956207312177;0,22745239635401354;0,37163278447515435
8, Apr;0,38494478094678036;0,29777300793884154;0,2310063804763305;0,3529706403068752;0,3084579444772593;0,32124497;0,268323763570567;0,2310063804763305;0,38494478094678036
9, May;0,394540135254337;0,30278512202293445;0,2299723904733902;0,3515107374631269;0,2862185655253837;0,33112485;0,2740562826174227;0,2299723904733902;0,394540135254337
10, May;0,4134841223169656;0,31344336959717733;0,22640264628050574;0,35491330573625074;0,36026838690651725;0,333139679;0,27081838619028503;0,22640264628050574;0,4134841223169656
11, Jun;0,4879103498970891;0,33514457512496326;0,21919914730961482;0,357292954009434;0,4497844929245284;0,376261723;0,24748085277554308;0,21919914730961482;0,4879103498970891
12, Jun;0,6360118788591591;0,4209716259923552;0,22526759776536315;0,4339682300884956;0,5917313551815766;0,41607984;0,4323225391723584;0,22526759776536315;0,6360118788591591
13, Jul;0,7468209350191121;0,5359338429873567;0,24823969420758601;0,552390347263096;0,5926689675516225;0,583378717;0,5877006846556585;0,24823969420758601;0,7468209350191121
14, Jul;0,7891608350485152;0,5967768303440165;0,26649926492208176;0,6313592275943396;0,6184340620384047;0,684823647;0,5890764469453377;0,26649926492208176;0,7891608350485152
15, Aug;0,8151548956189357;0,6547611290796825;0,27989767715377833;0,7523819604369649;0,5947959009141847;0,709827335;0,6890971876255524;0,27989767715377833;0,8151548956189357
16, Aug;0,8334869744192885;0,6766693325492503;0,30000111731843576;0,7056971706454465;0,6894605596465391;0,734907014;0,653959726688103;0,30000111731843576;0,8334869744192885
17, Sept;0,8224631578947369;0,7406066451043811;0,5809029697147897;0,7877843391227555;0,7530926800472255;0,716701603;0,7692017269076306;0,5809029697147897;0,8224631578947369
18, Sept;0,820181358423993;0,7584695089679506;0,6492215818876801;0,7743281167108753;0,7379126548672567;0,797659399;0,7786541029766694;0,6492215818876801;0,820181358423993
19, Oct;0,8022220523375478;0,7443117906498089;0,672497383122611;0,7286895729013255;0,7293792296296296;0,726716313;0,7441157958199357;0,672497383122611;0,8022220523375478
20, Nov;0,769068156424581;0,6957306086445164;0,6106311084975008;0,677221950500884;0,6800426926483614;0,690079599;0,7110263369521512;0,6106311084975008;0,769068156424581
21, Nov;0,7023397824169363;0,6180323434284034;0,5297394295795355;0,5882177495569995;0,627611501032144;0,625976313;0,5918836890857834;0,5297394295795355;0,7023397824169363
22, Dec;0,6278963834166421;0,5562578065274919;0,4624176418700382;0,531779244168881;0,577011622418879;0,532718156;0,5712635080645161;0,4624176418700382;0,6278963834166421
23, Dec;0,5734957953543076;0,4895957659511908;0,3783916789179653;0,4009857016248154;0,5129107068914522;0,490809579;0,5264452170418006;0,3783916789179653;0,5734957953543076
