"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,27462803201933245;0,21087258722247393;0,15536388763026732;0,22974190578487033;0,22827398123942796;0,234417949;0,19821562178828367;0,15536388763026732;0,27462803201933245
2, Jan;0,2645445317220544;0,20692415407854983;0,15765092145015105;0,2216210194994626;0,2216249541003672;0,219597503;0,1983575738789006;0,15765092145015105;0,2645445317220544
3, Feb;0,2573407888771347;0,20474480882575186;0,1578722381743993;0,20476643504531722;0,21232794027093596;0,217735591;0,2005582033686837;0,1578722381743993;0,2573407888771347
4, Feb;0,25278080884580434;0,20107011511663134;0,15320720993638293;0,19841153027076364;0,19955872066267832;0,199611809;0,19639997924449978;0,15320720993638293;0,25278080884580434
5, Mar;0,24572769626380278;0,19470937830887916;0,14956570866737257;0,2017993491751173;0,19881098230628433;0,203623803;0,187393577791589;0,14956570866737257;0,24572769626380278
6, Mar;0,2519118411116146;0,1961806222624981;0,15008574233499472;0,20229659245797366;0,20304292712798533;0,209166291;0,20018744041450778;0,15008574233499472;0,2519118411116146
7, Apr;0,26014372451291345;0,1983796707446005;0,15268666364597494;0,20926252644303414;0,20458540433925052;0,212805956;0,20864868583162222;0,15268666364597494;0,26014372451291345
8, Apr;0,2730391179580124;0,20279845944721342;0,14158892916477875;0,2247648681418612;0,2253411369193154;0,231529472;0,21881497227356744;0,14158892916477875;0,2730391179580124
9, May;0,2718272164325631;0,20345281679504607;0,15156064038664854;0,2289560219813769;0,21761997563946409;0,225538191;0,21782572895277208;0,15156064038664854;0,2718272164325631
10, May;0,27624008457936866;0,20393413381664402;0,15155023410360974;0,22463084126264918;0,2340918404351768;0,229938559;0,21811778234086243;0,15155023410360974;0,27624008457936866
11, Jun;0,2637431807884006;0,19509175351155417;0,1438125358707144;0,22470886573025223;0,21402487007031493;0,219936083;0,17743378545006167;0,1438125358707144;0,2637431807884006
12, Jun;0,275914272768464;0,1987187735991542;0,14893793988823442;0,22386427705365264;0,21509129777912073;0,240482112;0,19569546201232035;0,14893793988823442;0,275914272768464
13, Jul;0,3409808186074611;0,20837942908926144;0,14246154659417007;0,20624617824773414;0,21174036363636364;0,220179861;0,22958963039014377;0,14246154659417007;0,3409808186074611
14, Jul;0,37669663192871167;0,2339140311131249;0,1424846246790515;0,2604858741681791;0,24229491422498864;0,217555342;0,3159949476278497;0,1424846246790515;0,37669663192871167
15, Aug;0,4672799275033983;0,2888873281981574;0,1440837033680713;0,3586670303030303;0,27635239462154404;0,283351208;0,3153208804772681;0,1440837033680713;0,4672799275033983
16, Aug;0,5310674520465186;0,3519148466998943;0,18209652620450084;0,37232699498404015;0,3892168448381185;0,394928408;0,4194202680412371;0,18209652620450084;0,5310674520465186
17, Sept;0,5273045763479837;0,3655504304485727;0,21044589941096511;0,4327915058501748;0,4020664216812127;0,373969136;0,45512567317574515;0,21044589941096511;0,5273045763479837
18, Sept;0,4789102281311376;0,32767460341441307;0,1958858437830488;0,3188604615619746;0,32685997878466433;0,337050491;0,4086140492447755;0,1958858437830488;0,4789102281311376
19, Oct;0,431233499622071;0,2870962962962963;0,17655894179894183;0,2959515514592934;0,273472885266072;0,28944034;0,3524613238967527;0,17655894179894183;0,431233499622071
20, Nov;0,38748507349598427;0,2632127595090165;0,1782057887558721;0,2635680275229358;0,2735797150298759;0,263796582;0,28842492699207345;0,1782057887558721;0,38748507349598427
21, Nov;0,3479878494786157;0,24928224270817592;0,17672182257820765;0,24589712970069072;0,256974815611555;0,250773659;0,2685537196876284;0,17672182257820765;0,3479878494786157
22, Dec;0,3185950714937633;0,23587452083967142;0,16911554609066018;0,2365778289574697;0,2435513969910961;0,235346316;0,2622335071979971;0,16911554609066018;0,3185950714937633
23, Dec;0,296886905301314;0,22381502794139863;0,16066847908170973;0,21738221198156685;0,2339051838178742;0,240911932;0,24332112176814014;0,16066847908170973;0,296886905301314
