"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,22882934782608697;0,1674336616847826;0,1088608695652174;0,19083370786516857;0,16584000000000002;0,090093243;0,152071875;0,1088608695652174;0,22882934782608697
2, Jan;0,21349130434782612;0,16168240489130437;0,1095054347826087;0,17566444444444446;0,15837362637362637;0,094347297;0,14850645161290324;0,1095054347826087;0,21349130434782612
3, Feb;0,21048369565217392;0,15411462296195652;0,09837282608695654;0,1568287356321839;0,14771818181818183;0,092736486;0,14523846153846157;0,09837282608695654;0,21048369565217392
4, Feb;0,19635108695652176;0,14536661005434784;0,09652282608695653;0,1550065934065934;0,1444561797752809;0,057732432;0,1402857142857143;0,09652282608695653;0,19635108695652176
5, Mar;0,18432282608695652;0,13718834069293478;0,0935554347826087;0,1450956043956044;0,13376516853932585;0,069752703;0,13572857142857142;0,0935554347826087;0,18432282608695652
6, Mar;0,1870913043478261;0,13449330842391305;0,08657282608695653;0,15383586956521741;0,12774044943820226;0,064091892;0,1352140625;0,08657282608695653;0,1870913043478261
7, Apr;0,18180217391304349;0,13035998641304347;0,08654239130434783;0,1442179775280899;0,11417111111111113;0,077437838;0,1415888888888889;0,08654239130434783;0,18180217391304349
8, Apr;0,17620869565217392;0,12733340692934783;0,08173478260869566;0,15152417582417582;0,12805714285714287;0,069577027;0,12196406250000001;0,08173478260869566;0,17620869565217392
9, May;0,1794;0,12493374660326088;0,07635434782608697;0,14949333333333334;0,1180314606741573;0,043305405;0,12027692307692307;0,07635434782608697;0,1794
10, May;0,1776054347826087;0,12402678328804348;0,076975;0,12740337078651687;0,13505777777777778;0,068355405;0,1264031746031746;0,076975;0,1776054347826087
11, Jun;0,1828358695652174;0,11853484205163044;0,05562826086956522;0,17489213483146068;0,10982386363636364;0,062613514;0,0885078125;0,05562826086956522;0,1828358695652174
12, Jun;0,21569347826086957;0,13245103600543479;0,07795760869565217;0,13647252747252747;0,13708444444444445;0,087452703;0,11015555555555558;0,07795760869565217;0,21569347826086957
13, Jul;0,26921739130434785;0,14874903192934782;0,0691445652173913;0,12565681818181818;0,14419333333333334;0,084263514;0,13684000000000002;0,0691445652173913;0,26921739130434785
14, Jul;0,30369021739130436;0,16792564538043478;0,07095978260869565;0,14938444444444446;0,1625879120879121;0,101112162;0,1627809523809524;0,07095978260869565;0,30369021739130436
15, Aug;0,3340054347826087;0,19167197690217394;0,08200108695652174;0,17930000000000001;0,18526043956043958;0,084222973;0,2290230769230769;0,08200108695652174;0,3340054347826087
16, Aug;0,3965380434782609;0,2339554008152174;0,10133043478260871;0,21514318181818182;0,1513887640449438;0,165064865;0,24233225806451617;0,10133043478260871;0,3965380434782609
17, Sept;0,3926663043478261;0,2530388926630435;0,1413880434782609;0,29816436781609196;0,2302088888888889;0,168067568;0,2842;0,1413880434782609;0,3926663043478261
18, Sept;0,3458978260869565;0,24810011888586955;0,14351304347826088;0,25761208791208795;0,20849540229885058;0,177736486;0,23968906250000002;0,14351304347826088;0,3458978260869565
19, Oct;0,33101847826086955;0,2303481827445652;0,13998043478260871;0,23768777777777778;0,27852444444444446;0,168071622;0,23700634920634922;0,13998043478260871;0,33101847826086955
20, Nov;0,31816086956521744;0,21516577785326085;0,13821195652173912;0,22795869565217391;0,2685428571428572;0,147010811;0,20518153846153847;0,13821195652173912;0,31816086956521744
21, Nov;0,2767032608695652;0,20159646739130435;0,13231195652173913;0,1916466666666667;0,20397111111111113;0,117094595;0,1939292307692308;0,13231195652173913;0,2767032608695652
22, Dec;0,2587119565217392;0,18745088315217392;0,13105869565217393;0,1889477777777778;0,2116911111111111;0,109260811;0,19074615384615387;0,13105869565217393;0,2587119565217392
23, Dec;0,24620652173913046;0,17599738451086958;0,11372391304347826;0,1806534090909091;0,17795505617977528;0,102547297;0,17291746031746033;0,11372391304347826;0,24620652173913046
