"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,27563055916775037;0,24249102730819247;0,2091465539661899;0,2598019505851756;0,2338262678803641;0,259693872;0,22726998223801068;0,2091465539661899;0,27563055916775037
2, Jan;0,2638472041612484;0,23290811118335503;0,20215104031209363;0,25273530559167756;0,22762327698309492;0,241486323;0,2212852575488455;0,20215104031209363;0,2638472041612484
3, Feb;0,2631802990897269;0,22624060468140444;0,20007165149544864;0,2386233420026008;0,2158715864759428;0,238066341;0,2172690941385435;0,20007165149544864;0,2631802990897269
4, Feb;0,24421963589076723;0,21907111508452537;0,19489635890767232;0,2233739921976593;0,21061059817945385;0,221992274;0,21333383658969807;0,19489635890767232;0,24421963589076723
5, Mar;0,23789746423927177;0,21040731469440835;0,18646716514954487;0,22073452535760732;0,20549473342002603;0,215891208;0,20363587921847248;0,18646716514954487;0,23789746423927177
6, Mar;0,22916566970091026;0,2068150845253576;0,1833808842652796;0,21975630689206765;0,20257607282184656;0,214621847;0,20078010657193607;0,1833808842652796;0,22916566970091026
7, Apr;0,22469544863459037;0,20091664499349804;0,17652958387516257;0,21084518855656698;0,19609876462938883;0,209901776;0,19264591474245116;0,17652958387516257;0,22469544863459037
8, Apr;0,22222919375812744;0,19694539986996099;0,17192782834850456;0,2103468790637191;0,1947753576072822;0,21174103;0,18973383658969806;0,17192782834850456;0,22222919375812744
9, May;0,2196722366710013;0,19121849804941485;0,16912451235370612;0,20464954486345904;0,18154895968790638;0,205010213;0,18410896980461813;0,16912451235370612;0,2196722366710013
10, May;0,2052236020806242;0,1871464076723017;0,16916749024707414;0,18733420026007802;0,1875141742522757;0,195039787;0,18161651865008882;0,16916749024707414;0,2052236020806242
11, Jun;0,21344590377113137;0,18323515929778936;0,14929317295188557;0,18708758127438233;0,1900521456436931;0,197178863;0,15800381882770873;0,14929317295188557;0,21344590377113137
12, Jun;0,28746092327698314;0,2011417100130039;0,15797873862158648;0,19474525357607284;0,23101755526658;0,236864387;0,18092975133214922;0,15797873862158648;0,28746092327698314
13, Jul;0,4244435630689207;0,24828870286085827;0,1652814044213264;0,22440143042912875;0,236789466840052;0,244996625;0,2579930728241563;0,1652814044213264;0,4244435630689207
14, Jul;0,509142522756827;0,31722630039011707;0,16487217165149545;0,2728319895968791;0,36431872561768536;0,343157549;0,3401928063943162;0,16487217165149545;0,509142522756827
15, Aug;0,6305568920676203;0,4108240247074123;0,19185728218465542;0,4252592977893368;0,44681833550065025;0,483059325;0,4419224689165187;0,19185728218465542;0,6305568920676203
16, Aug;0,647228933680104;0,5096986345903771;0,3277789336801041;0,533980299089727;0,4968656697009103;0,517706838;0,5588812611012434;0,3277789336801041;0,647228933680104
17, Sept;0,6609773081924577;0,5547120286085826;0,4401159297789337;0,6026308192457738;0,5636616384915475;0,520855329;0,6101516873889876;0,4401159297789337;0,6609773081924577
18, Sept;0,6059068920676203;0,5284819245773733;0,4333918725617686;0,527388621586476;0,5567001950585175;0,515096625;0,5327515097690942;0,4333918725617686;0,6059068920676203
19, Oct;0,569742977893368;0,44881469440832256;0,34105650195058523;0,5256286736020807;0,44168068920676207;0,390323091;0,498053730017762;0,34105650195058523;0,569742977893368
20, Nov;0,47331599479843955;0,36941833550065023;0,29031358907672306;0,38582204161248373;0,42848426527958394;0,351013677;0,3439151865008881;0,29031358907672306;0,47331599479843955
21, Nov;0,38689336801040314;0,31373572821846557;0,2588801040312094;0,30482893368010405;0,35668823146944084;0,30236643;0,31597024866785084;0,2588801040312094;0,38689336801040314
22, Dec;0,3252663198959688;0,2791732119635891;0,23601430429128742;0,2743604031209363;0,307519765929779;0,259729307;0,29933827708703376;0,23601430429128742;0,3252663198959688
23, Dec;0,2986090377113134;0,26068563068920675;0,22406449934980494;0,24629473342002603;0,2744371911573472;0,244640941;0,2761277087033748;0,22406449934980494;0,2986090377113134
