"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2726656701377226;0,22833772253946927;0,18204165267047365;0,2570067385444744;0,2264800740491417;0,241439634;0,2103032258064516;0,18204165267047365;0,2726656701377226
2, Jan;0,2586162915686933;0,21997646960026873;0,17894612025529058;0,24407389544688027;0,21817157326130993;0,219906453;0,20729557807461998;0,17894612025529058;0,2586162915686933
3, Feb;0,24853275109170306;0,2134712966073228;0,17772509237487405;0,22776792580101182;0,20825209035738368;0,213106773;0,20181568537258512;0,17772509237487405;0,24853275109170306
4, Feb;0,24058286865972456;0,2093340947262345;0,175618844474303;0,21752380310182062;0,2032782198246797;0,203059725;0,20487039594843465;0,175618844474303;0,24058286865972456
5, Mar;0,23449741350352707;0,20086373866308363;0,16403916694659054;0,21579760458839406;0,2032013135735938;0,199533959;0,19393219871205153;0,16403916694659054;0,23449741350352707
6, Mar;0,23099459187101112;0,19918041652670476;0,1634342290896876;0,21558500673854447;0,2015936026936027;0,203818398;0,1948778492647059;0,1634342290896876;0,23099459187101112
7, Apr;0,2264245213301982;0,19518995633187775;0,15785744037621768;0,21083890013495277;0,1962342760942761;0,194177849;0,18834967771639044;0,15785744037621768;0,2264245213301982
8, Apr;0,22357971111857575;0,19220786026200876;0,1554523681558616;0,2140615436467813;0,19408650927487353;0,197900458;0,18664924137931035;0,1554523681558616;0,22357971111857575
9, May;0,21997671370967742;0,18766947244623658;0,15181673387096775;0,204552478920742;0,17717258934592045;0,189001281;0,1865383624655014;0,15181673387096775;0,21997671370967742
10, May;0,21964709439032581;0,185540460194827;0,15245938864628822;0,1950362225969646;0,1892345466801483;0,189584897;0,1815742277547257;0,15245938864628822;0,21964709439032581
11, Jun;0,24269324823647967;0,18419816929795096;0,13524813570708769;0,1990346115035318;0,21904622387053269;0,200780137;0,16347985280588775;0,13524813570708769;0,24269324823647967
12, Jun;0,27399264360094056;0,19453563990594558;0,14565172992945918;0,19728810646900272;0,2340470865611317;0,21158865;0,17804314627414905;0,14565172992945918;0,27399264360094056
13, Jul;0,35144726234464224;0,22725263688276787;0,13814632180047026;0,2099592318059299;0,25549238544474395;0,210288238;0,22676986175115207;0,13814632180047026;0,35144726234464224
14, Jul;0,43510802821632516;0,2802453812562983;0,14232324487739337;0,3054326709329741;0,339497473896935;0,288594005;0,29420694572217115;0,14232324487739337;0,43510802821632516
15, Aug;0,5147623319892473;0,3604588373655914;0,15668699596774194;0,44629126180836715;0,43381763317599464;0,387703707;0,40178059770114943;0,15668699596774194;0,5147623319892473
16, Aug;0,5644600604635539;0,42851965065502184;0,26428817601612364;0,49224090296495965;0,4347027955540586;0,451162654;0,4478682298850575;0,26428817601612364;0,5644600604635539
17, Sept;0,5754445414847161;0,466348639570037;0,3529201545179711;0,5361960539629006;0,5011709710047202;0,438991716;0,5272169811320755;0,3529201545179711;0,5754445414847161
18, Sept;0,5348426939872355;0,4482764192139738;0,3538229425596238;0,49611070707070704;0,4852184361307718;0,451237849;0,46955440701430556;0,3538229425596238;0,5348426939872355
19, Oct;0,5069847161572053;0,40777591535102453;0,2958280819617064;0,4931348178137652;0,41583123092573754;0,368123387;0,45747790055248616;0,2958280819617064;0,5069847161572053
20, Nov;0,4411434329862277;0,3377926436009405;0,23858411152166611;0,39732929871881323;0,39791546252532073;0,305108558;0,31324488479262674;0,23858411152166611;0,4411434329862277
21, Nov;0,3743551411290323;0,2899204301075269;0,21756868279569896;0,32355141796083725;0,3390346464646465;0,277864439;0,28389137453874536;0,21756868279569896;0,3743551411290323
22, Dec;0,32455080645161294;0,2603298891129032;0,1989168682795699;0,284536109238031;0,29565545055686804;0,241449474;0,2788497695852535;0,1989168682795699;0,32455080645161294
23, Dec;0,29658770574403764;0,2443813738663084;0,19551709774941217;0,24850263335584064;0,2663026954177898;0,233689336;0,25632847286108557;0,19551709774941217;0,29658770574403764
