"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,4287551391254969;0,3398654173764907;0,2548356899488927;0,3767359186080802;0,36301043761088114;0,348553683;0,3168572577402493;0,2548356899488927;0,4287551391254969
2, Jan;0,3968411262798635;0,3221834470989761;0,2476258816837315;0,3712493943870015;0,34619873343151697;0,313062946;0,3121654699475595;0,2476258816837315;0,3968411262798635
3, Feb;0,3720616718794427;0,30386297981234006;0,2359184247938584;0,31273156185414824;0,3161666076173605;0,298281207;0,3037788942695722;0,2359184247938584;0,3720616718794427
4, Feb;0,3512864811133201;0,2871584777051974;0,21858315819369498;0,29903040918457463;0,28854896694214877;0,266718831;0,2856519855595668;0,21858315819369498;0,3512864811133201
5, Mar;0,340761010215664;0,27312307037457434;0,2050205448354143;0,3108959129667745;0,2842547119645495;0,259941344;0,2699709768950142;0,2050205448354143;0,340761010215664
6, Mar;0,32571948383437327;0,265383267158253;0,19852733976176973;0,2851992638398116;0,2761233107111242;0,251710782;0,2724999195171026;0,19852733976176973;0,32571948383437327
7, Apr;0,3210428003408123;0,2594828457824482;0,19665103663731895;0,28606923302967974;0,26952625846335;0,249898368;0,25268321986383663;0,19665103663731895;0,3210428003408123
8, Apr;0,3154244614512472;0,25562976190476194;0,19107925170068027;0,29289771193898506;0,26996281673541545;0,245431473;0,2551210887096774;0,19107925170068027;0,3154244614512472
9, May;0,31534361671879446;0,25182305942564687;0,18341066249644586;0,2754600762687005;0,23955916740478303;0,238450607;0,256050605815832;0,18341066249644586;0,31534361671879446
10, May;0,33641951150241406;0,2568263561488214;0,18030559500142007;0,28091514437242193;0,31497453690091154;0,23240019;0,2509536202735318;0,18030559500142007;0,33641951150241406
11, Jun;0,37895203298265573;0,26646829684390105;0,1713531703156099;0,32013197895352236;0,3406955267804591;0,282048861;0,2241813552526063;0,1713531703156099;0,37895203298265573
12, Jun;0,44907893840476865;0,30075276752767527;0,18533298325290948;0,316728789211375;0,3830943201883461;0,317468907;0,2872669221460266;0,18533298325290948;0,44907893840476865
13, Jul;0,5242112154853402;0,34600341588385997;0,18332553373185315;0,37733639324844537;0,4365675786996176;0,334401481;0,38316147672552164;0,18332553373185315;0,5242112154853402
14, Jul;0,5831137009664583;0,3824863558840251;0,14578487777146107;0,4520532745961821;0,4364882161842883;0,41244514;0,4307433159373745;0,14578487777146107;0,5831137009664583
15, Aug;0,6402737919272314;0,44967856736782263;0,17116668561682777;0,5793973854289072;0,42850868799530384;0,44063675;0,5160071198712792;0,17116668561682777;0,6402737919272314
16, Aug;0,683588298778756;0,5128230048281739;0,24376481113320078;0,5931046361502348;0,48391436950146627;0,556829385;0,5539684210526317;0,24376481113320078;0,683588298778756
17, Sept;0,6835606464417352;0,5580597675077971;0,3929604763254891;0,6364785440613027;0,6151524286134825;0,504303113;0,6234636327023761;0,3929604763254891;0,6835606464417352
18, Sept;0,6630336172629188;0,5615278250993754;0,4460657296990347;0,5915330291433618;0,5764771579565473;0,559876576;0,5734622732769045;0,4460657296990347;0,6630336172629188
19, Oct;0,6424915553028149;0,5425169178276941;0,4242345180551606;0,5463506344054294;0,5221853482062104;0,506229727;0,5823983173076923;0,4242345180551606;0,6424915553028149
20, Nov;0,5869699346405228;0,4787791418016482;0,3650809605001421;0,5052540124370744;0,5210215882352941;0,446966629;0,5007905607099636;0,3650809605001421;0,5869699346405228
21, Nov;0,5279911313246163;0,4300071915861285;0,3281310687890847;0,43806966922622564;0,48170493682045257;0,404405391;0,44351648572577407;0,3281310687890847;0,5279911313246163
22, Dec;0,4822748152359295;0,39358624218305854;0,2985078453666856;0,4161318235642392;0,42467664688427303;0,366771033;0,43019497772377485;0,2985078453666856;0,4822748152359295
23, Dec;0,4464197674418605;0,36213579126488943;0,26426508791832104;0,35612337470449174;0,39131716549295775;0,350915983;0,397228640776699;0,26426508791832104;0,4464197674418605
