"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2898520080321285;0,250520515394913;0,2161092369477912;0,2651814591700134;0,23968319946452477;0,262087887;0,22734699453551913;0,2161092369477912;0,2898520080321285
2, Jan;0,27769236947791165;0,2410297858099063;0,20926064257028112;0,2594349397590362;0,23229705488621155;0,243953097;0,2241725865209472;0,20926064257028112;0,27769236947791165
3, Feb;0,26450180722891564;0,23235963855421687;0,20694277108433737;0,24583453815261047;0,21921646586345384;0,240835246;0,21834253187613845;0,20694277108433737;0,26450180722891564
4, Feb;0,25655066934404286;0,2264964357429719;0,19978232931726908;0,2293767737617135;0,21218159303882195;0,225475774;0,21260437158469947;0,19978232931726908;0,25655066934404286
5, Mar;0,24698527443105756;0,2156781291834003;0,1909013386880857;0,22562811244979922;0,20639846050870148;0,213805373;0,20379845173041897;0,1909013386880857;0,24698527443105756
6, Mar;0,2376587684069612;0,21152474899598392;0,18754009370816602;0,23021914323962517;0,20119056224899598;0,218320128;0,2002247723132969;0,18754009370816602;0,2376587684069612
7, Apr;0,23185294511378848;0,2044761044176707;0,17120943775100403;0,21869377510040164;0,19506091030789827;0,211067213;0,19328551912568306;0,17120943775100403;0,23185294511378848
8, Apr;0,22696572958500671;0,20040158969210176;0,17451445783132533;0,21337751004016065;0,19192583668005356;0,207540073;0,18783588342440802;0,17451445783132533;0,22696572958500671
9, May;0,22175836680053548;0,19330665997322624;0,16860836680053548;0,20825254350736278;0,1793673360107095;0,199538616;0,1815353369763206;0,16860836680053548;0,22175836680053548
10, May;0,2094417001338688;0,18755299531459171;0,16709143239625168;0,19385307898259707;0,18548855421686747;0,192789526;0,17995273224043715;0,16709143239625168;0,2094417001338688
11, Jun;0,22210910307898263;0,1835336010709505;0,15285883534136546;0,1845888888888889;0,20928413654618477;0,194233333;0,16688734061930785;0,15285883534136546;0,22210910307898263
12, Jun;0,27624692101740295;0,19403723226238287;0,15527784471218206;0,19338340026773762;0,23506813922356093;0,210268488;0,17200601092896176;0,15527784471218206;0,27624692101740295
13, Jul;0,40947429718875505;0,2529657797858099;0,16533012048192772;0,3105145917001339;0,2706116465863454;0,230288889;0,24141083788706738;0,16533012048192772;0,40947429718875505
14, Jul;0,5358771753681393;0,3279014725568943;0,1624100401606426;0,3784485943775101;0,41345542168674704;0,333100182;0,34225291438979966;0,1624100401606426;0,5358771753681393
15, Aug;0,6062620481927711;0,42659029451137886;0,18397576974564928;0,5270366131191432;0,4408334002677376;0,463890801;0,4747262295081967;0,18397576974564928;0,6062620481927711
16, Aug;0,6505777777777778;0,5144027108433735;0,3363983935742972;0,5965380856760375;0,5575107764390896;0,506562477;0,5643326958105647;0,3363983935742972;0,6505777777777778
17, Sept;0,6697589692101741;0,5462479250334672;0,42575816599732264;0,6085781124497992;0,5941947791164659;0,536366849;0,6164246812386157;0,42575816599732264;0,6697589692101741
18, Sept;0,614637282463186;0,5189567269076305;0,42072396251673366;0,565697389558233;0,5719823962516734;0,530214117;0,5546725865209472;0,42072396251673366;0,614637282463186
19, Oct;0,5483590361445784;0,45100910307898257;0,3539379518072289;0,5474159973226239;0,4314546854082999;0,406405464;0,5219620218579235;0,3539379518072289;0,5483590361445784
20, Nov;0,47070542168674706;0,3711264390896921;0,28203748326639894;0,4037887550200803;0,42827556894243646;0,337708652;0,3401308743169399;0,28203748326639894;0,47070542168674706
21, Nov;0,39255153949129856;0,3160718875502008;0,2595633199464525;0,32570194109772427;0,34575301204819275;0,294149362;0,3064072859744991;0,2595633199464525;0,39255153949129856
22, Dec;0,3344926372155288;0,2867010709504686;0,24168975903614462;0,29575066934404287;0,31151593038821956;0,265919035;0,2935908014571949;0,24168975903614462;0,3344926372155288
23, Dec;0,30824504685408305;0,2684945113788487;0,22782550200803212;0,2632124497991968;0,2806304551539492;0,247984791;0,27622158469945357;0,22782550200803212;0,30824504685408305
