"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,3791717104199235;0,30522643523260207;0,23375022370761686;0,3359456363538354;0,29589549889493827;0,309297514;0,28987592674315976;0,23375022370761686;0,3791717104199235
2, Jan;0,3396897417928953;0,28537517114980326;0,2267794512425206;0,32548696566222846;0,282645086518247;0,284553442;0,269945528096499;0,2267794512425206;0,3396897417928953
3, Feb;0,31206886960271685;0,26864026737103125;0,2219919573068837;0,3025533825669775;0,26731990189208127;0,270821014;0,26825621506325387;0,2219919573068837;0,31206886960271685
4, Feb;0,29450332596625517;0,25365429356907987;0,20934912403644007;0,26014570104037515;0,24357284243437013;0,253147109;0,2447285010297146;0,20934912403644007;0,29450332596625517
5, Mar;0,28357397444881677;0,24206809336423912;0,19115540941189155;0,26815440137997953;0,2332298797908469;0,240340762;0,2393565607531627;0,19115540941189155;0,28357397444881677
6, Mar;0,2844721470540672;0,24382034391677;0,19737786642229532;0,2636949544498949;0,23748199018920815;0,23941343;0,2379924021771109;0,19737786642229532;0,2844721470540672
7, Apr;0,2965081774567409;0,24915875154978168;0,1966127109050725;0,274032548110614;0,22692964799741255;0,246123683;0,2332900117681671;0,1966127109050725;0,2965081774567409
8, Apr;0,3013599698129481;0,24964040752520084;0,1980967495013746;0,2719487251361113;0,23767788259393025;0,240277604;0,24331724771991764;0,1980967495013746;0,3013599698129481
9, May;0,3065407794728047;0,25212777747830306;0,20003471510969761;0,2780647781790739;0,2405293245647135;0,226429354;0,23229327743453956;0,20003471510969761;0,3065407794728047
10, May;0,34955487035739313;0,2669760767613606;0,1869306452482346;0,26253978222198265;0,2995788313298475;0,235425588;0,2368097455133863;0,1869306452482346;0,34955487035739313
11, Jun;0,47409834510268983;0,3099780065764649;0,18829469031319065;0,310041701255997;0,42821270012398255;0,31272464;0,33491974110032363;0,18829469031319065;0,47409834510268983
12, Jun;0,6047588593606814;0,3940392216053043;0,23575781359495446;0,37243019244245595;0,5571584928036225;0,376977736;0,4514541335686967;0,23575781359495446;0,6047588593606814
13, Jul;0,7091480135841733;0,5110237076168401;0,2931404668211956;0,5245756077839471;0,5828838337555927;0,433104376;0,5300189467490439;0,2931404668211956;0,7091480135841733
14, Jul;0,7742885666540887;0,585095962481807;0,2328154600830144;0,5792198048622716;0,7063330494312976;0,592402839;0,6016412694910268;0,2328154600830144;0,7742885666540887
15, Aug;0,8103720985391624;0,6662262519540726;0,29782109859306777;0,6810234973855858;0,724363026251954;0,654347941;0,7345544866137099;0,29782109859306777;0,8103720985391624
16, Aug;0,8268369791385909;0,7258681041453291;0,4639784378200636;0,7381606058972563;0,6265655005121018;0,762383833;0,7506018681965284;0,4639784378200636;0,8268369791385909
17, Sept;0,7902441485634197;0,7146255835264945;0,5798261657053528;0,7478269365532856;0,7370042854832624;0,68867614;0,7403972712562519;0,5798261657053528;0,7902441485634197
18, Sept;0,7427723357231416;0,6625798717050294;0,5665638294431568;0,6345818392539486;0,6750915907498248;0,701507951;0,6670032803765814;0,5665638294431568;0,7427723357231416
19, Oct;0,6730069538030296;0,5666214867123066;0,4391440245808852;0,5265109266346828;0,5910074820764379;0,545877192;0,5708331494557223;0,4391440245808852;0,6730069538030296
20, Nov;0,5927280685677323;0,4721897040590804;0,35085401326074067;0,4495493342676945;0,5167353134601909;0,455431715;0,41070724477787585;0,35085401326074067;0,5927280685677323
21, Nov;0,5042808689558514;0,39452053258584446;0,30018646973208996;0,3657437658347259;0,3876084415934451;0,387640578;0,3556773095027949;0,30018646973208996;0,5042808689558514
22, Dec;0,4322819470648483;0,35013901137404996;0,27039038326774834;0,3439551614468223;0,34436674572799314;0,331057296;0,34300086790232426;0,27039038326774834;0,4322819470648483
23, Dec;0,40105805616947876;0,32741018813001993;0,25937536520942267;0,30723962050563314;0,33930076545738774;0,319358914;0,32279455722271255;0,25937536520942267;0,40105805616947876
