"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,6221511177347243;0,517070044709389;0,3430652757078987;0,5832530372639102;0,5659423685553854;0,563279492;0,5131264502762432;0,3430652757078987;0,6221511177347243
2, Jan;0,5733625996015936;0,4890293326693227;0,3509222609561753;0,5932975934459805;0,5501616368286446;0,497901336;0,49945355153203347;0,3509222609561753;0,5733625996015936
3, Feb;0,533252736318408;0,44195905472636815;0,3021958706467662;0,46749846860643185;0,48901588355464765;0,487521777;0,47632106353591164;0,3021958706467662;0,533252736318408
4, Feb;0,49415556660039767;0,40129502982107357;0,2808738568588469;0,4538721628498728;0,42092076335877865;0,437100334;0,3943202364394993;0,2808738568588469;0,49415556660039767
5, Mar;0,45658453505718544;0,36914878170064647;0,26985688712083544;0,45847202441505597;0,39240198372329604;0,384370875;0,3677923448275862;0,26985688712083544;0,45658453505718544
6, Mar;0,4292518168242907;0,35300841214534595;0,2701314584370334;0,42838313745528867;0,370363358778626;0,372012625;0,36599479528105483;0,2701314584370334;0,4292518168242907
7, Apr;0,4209839383391348;0,34856678269517655;0,2577164097463948;0,4116896057347671;0,3637947234906139;0,357046627;0,3487092733564014;0,2577164097463948;0,4209839383391348
8, Apr;0,4344835323383085;0,35576557213930354;0,26745552238805975;0,44771440245148114;0,37976233435270135;0,371530795;0,35622440890125173;0,26745552238805975;0,4344835323383085
9, May;0,46012597014925377;0,36963706467661694;0,26915328358208956;0,45670453387671933;0,37115400305966345;0,395161924;0,35936465696465697;0,26915328358208956;0,46012597014925377
10, May;0,5176647614314116;0,38812668986083504;0,27258638170974153;0,4664295616717635;0,4841982188295166;0,409779025;0,3587187933425798;0,27258638170974153;0,5176647614314116
11, Jun;0,605445219123506;0,4254467131474104;0,26433187250996015;0,4505176078028748;0,5491283742331289;0,477320174;0,39368255172413796;0,26433187250996015;0,605445219123506
12, Jun;0,6754107285429142;0,48889710578842316;0,23993562874251498;0,6371789150460594;0,6403809109518936;0,52227328;0,505889916550765;0,23993562874251498;0,6754107285429142
13, Jul;0,7575049701789265;0,5754139662027833;0,2771350894632207;0,6443003562340966;0,6429031218014329;0,560713226;0,5995364016736402;0,2771350894632207;0,7575049701789265
14, Jul;0,7788431274900399;0,6046352589641434;0,2425808266932271;0,65160974858902;0,6529105828220859;0,664584168;0,5672775922059847;0,2425808266932271;0,7788431274900399
15, Aug;0,796550124564026;0,6229926258096662;0,2575552566018934;0,5877045154743785;0,5946004087889627;0,650133267;0,6637075747046561;0,2575552566018934;0,796550124564026
16, Aug;0,8065715422885573;0,6282786069651741;0,22637029850746268;0,6501322068612392;0,6546172343670564;0,676065531;0,6322458158995816;0,22637029850746268;0,8065715422885573
17, Sept;0,8030361194029851;0,7107332338308459;0,4954958706467662;0,64762633723892;0,7439537952114111;0,702763327;0,7719205555555556;0,4954958706467662;0,8030361194029851
18, Sept;0,8100434977578476;0,7283522670652716;0,5853293971101147;0,7427223300970873;0,7468422154160286;0,751480962;0,7555379094076655;0,5853293971101147;0,8100434977578476
19, Oct;0,7876006474103586;0,7254567231075698;0,6276262450199204;0,7506097698209719;0,7345358802271554;0,703484636;0,6965705759888966;0,6276262450199204;0,7876006474103586
20, Nov;0,7722314741035857;0,7078593625498009;0,6011551792828685;0,7216932212028543;0,7174772959183674;0,688302538;0,7314472841225627;0,6011551792828685;0,7722314741035857
21, Nov;0,730487064676617;0,6614387562189055;0,5504583582089553;0,680131189382338;0,6924619703930578;0,673494456;0,6628956158663883;0,5504583582089553;0,730487064676617
22, Dec;0,6893004479840718;0,6187066202090592;0,521643205574913;0,6446675012774655;0,646667364657814;0,585894656;0,6505517409470752;0,521643205574913;0,6893004479840718
23, Dec;0,6397832421680756;0,5643070114370959;0,4646106911984088;0,544735393258427;0,5873086934156379;0,549938677;0,611248717948718;0,4646106911984088;0,6397832421680756
