"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2801;0,18506923828125002;0,098425;0,172085;0,157175;0,20979375;0,16741333333333336;0,098425;0,2801
2, Jan;0,26716500000000004;0,18508601562500002;0,11111500000000002;0,18716;0,176655;0,16826875;0,18378666666666665;0,11111500000000002;0,26716500000000004
3, Feb;0,25896;0,173582734375;0,105425;0,165755;0,153935;0,1611125;0,18127333333333334;0,105425;0,25896
4, Feb;0,2461;0,16586712890625;0,090655;0,16776500000000003;0,18094500000000002;0,1155625;0,17335333333333333;0,090655;0,2461
5, Mar;0,229495;0,15871069335937502;0,094205;0,168325;0,13422;0,14464375;0,16013333333333332;0,094205;0,229495
6, Mar;0,23955500000000002;0,159297236328125;0,09564;0,14330500000000002;0,17081500000000002;0,1425125;0,17274;0,09564;0,23955500000000002
7, Apr;0,22715000000000002;0,15586;0,089185;0,14659000000000003;0,14127;0,12654375;0,17952;0,089185;0,22715000000000002
8, Apr;0,22080000000000002;0,1500205078125;0,08431000000000001;0,16412000000000002;0,146265;0,138125;0,12267333333333334;0,08431000000000001;0,22080000000000002
9, May;0,22487;0,1446180078125;0,07794;0,145175;0,144235;0,1101875;0,14756666666666668;0,07794;0,22487
10, May;0,21202;0,14301724609375002;0,08238;0,14278;0,14161500000000002;0,12796875;0,15669333333333335;0,08238;0,21202
11, Jun;0,21031999999999998;0,136732998046875;0,057675000000000004;0,143715;0,139805;0,1044375;0,07345333333333333;0,057675000000000004;0,21031999999999998
12, Jun;0,269035;0,15132273437500002;0,078855;0,138055;0,15576500000000001;0,16586875;0,14865333333333333;0,078855;0,269035
13, Jul;0,2569;0,15235900390625;0,050045;0,120555;0,15015;0,136425;0,12484666666666668;0,050045;0,2569
14, Jul;0,27571;0,16381850585937502;0,07024;0,13567500000000002;0,175425;0,15753125;0,17862666666666668;0,07024;0,27571
15, Aug;0,27923000000000003;0,167047734375;0,06429;0,22487;0,158305;0,126975;0,16784000000000002;0,06429;0,27923000000000003
16, Aug;0,34137500000000004;0,200985546875;0,07144;0,20799;0,14448;0,2239;0,14199333333333333;0,07144;0,34137500000000004
17, Sept;0,33151;0,21739494140625004;0,127075;0,25288000000000005;0,222675;0,17334375;0,2867133333333333;0,127075;0,33151
18, Sept;0,31472500000000003;0,2230842578125;0,13631500000000002;0,20344;0,20244;0,23339375;0,25106666666666666;0,13631500000000002;0,31472500000000003
19, Oct;0,313815;0,21321173828125004;0,11578000000000001;0,211385;0,19734000000000002;0,19879375;0,22275333333333333;0,11578000000000001;0,313815
20, Nov;0,30841;0,208101015625;0,1282;0,20139;0,21411;0,18450625;0,2269266666666667;0,1282;0,30841
21, Nov;0,294175;0,20391675781250002;0,12962;0,181335;0,18653;0,20835;0,20260666666666666;0,12962;0,294175
22, Dec;0,28987;0,1990492578125;0,12973;0,19243000000000002;0,17791500000000002;0,16101875;0,23896;0,12973;0,28987
23, Dec;0,292265;0,19480574218750002;0,099095;0,17715;0,18540500000000001;0,2035875;0,21556666666666666;0,099095;0,292265
