"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,30758390313390316;0,2609741096866097;0,22209472934472935;0,27996566951566954;0,23899081196581198;0,270389073;0,23845980487804877;0,22209472934472935;0,30758390313390316
2, Jan;0,29392450142450144;0,24948144586894588;0,21403639601139604;0,26670669515669515;0,230392094017094;0,249398537;0,23226721951219512;0,21403639601139604;0,29392450142450144
3, Feb;0,273735754985755;0,23877193732193733;0,2100519230769231;0,24893012820512822;0,21733133903133903;0,244351415;0,2263757073170732;0,2100519230769231;0,273735754985755
4, Feb;0,26418924501424507;0,23130039173789174;0,2019900284900285;0,2354593304843305;0,20983411680911682;0,22986361;0,21880731707317075;0,2019900284900285;0,26418924501424507
5, Mar;0,25060576923076927;0,2199565527065527;0,1939326210826211;0,23066346153846154;0,20328732193732196;0,215419317;0,21277717073170735;0,1939326210826211;0,25060576923076927
6, Mar;0,24386574074074074;0,2155896901709402;0,19036944444444445;0,23543646723646727;0,19785334757834758;0,221390927;0,20549024390243903;0,19036944444444445;0,24386574074074074
7, Apr;0,2378359686609687;0,20920509259259262;0,1783649572649573;0,22202571225071224;0,19217799145299147;0,215079512;0,19898419512195123;0,1783649572649573;0,2378359686609687
8, Apr;0,2309118945868946;0,2034881232193732;0,17862663817663818;0,21684544159544164;0,18839957264957266;0,209675707;0,18948439024390243;0,17862663817663818;0,2309118945868946
9, May;0,2257019230769231;0,195378400997151;0,1683994301994302;0,2124925213675214;0,1727992165242165;0,199658927;0,1817959024390244;0,1683994301994302;0,2257019230769231
10, May;0,2175108262108262;0,18779750712250712;0,16471061253561256;0,19220363247863248;0,17923817663817665;0,194059512;0,1788997073170732;0,16471061253561256;0,2175108262108262
11, Jun;0,2303922364672365;0,18509321581196583;0,15177450142450144;0,18226972934472938;0,20104494301994302;0,20346078;0,16343482926829267;0,15177450142450144;0,2303922364672365
12, Jun;0,27874971509971513;0,1954700854700855;0,1505423076923077;0,19369066951566952;0,27028846153846153;0,222905659;0,16995921951219511;0,1505423076923077;0,27874971509971513
13, Jul;0,3850811965811966;0,2527965811965812;0,1607042022792023;0,302810754985755;0,2907485754985755;0,244730927;0,2466788292682927;0,1607042022792023;0,3850811965811966
14, Jul;0,5339073361823362;0,33628383190883193;0,1634303418803419;0,41159088319088327;0,4447918803418804;0,372216;0,3852448780487805;0,1634303418803419;0,5339073361823362
15, Aug;0,5978920940170941;0,42907118945868944;0,1863559116809117;0,5406047008547009;0,4053431623931624;0,492362732;0,4947189268292683;0,1863559116809117;0,5978920940170941
16, Aug;0,6518014957264957;0,516073717948718;0,32707293447293445;0,5887631766381767;0,5956521367521368;0,544072098;0,5741198048780488;0,32707293447293445;0,6518014957264957
17, Sept;0,6617104700854701;0,5505812321937322;0,4333359686609687;0,6291567663817664;0,618066452991453;0,541386439;0,6419324878048781;0,4333359686609687;0,6617104700854701
18, Sept;0,6218399572649572;0,5401851495726496;0,45741481481481483;0,5960869658119659;0,583007621082621;0,530774927;0,599268;0,45741481481481483;0,6218399572649572
19, Oct;0,577625284900285;0,47946385327635327;0,3763178062678063;0,5606492877492878;0,45435185185185184;0,404837463;0,5403249756097561;0,3763178062678063;0,577625284900285
20, Nov;0,4864216524216524;0,3960721153846154;0,3084616809116809;0,42202599715099715;0,436084472934473;0,351194634;0,3619189268292683;0,3084616809116809;0,4864216524216524
21, Nov;0,42249323361823365;0,3355412393162393;0,273701566951567;0,35102763532763537;0,3715103988603989;0,300882049;0,31768185365853663;0,273701566951567;0,42249323361823365
22, Dec;0,35692029914529916;0,30166883903133906;0,24718468660968662;0,3104377492877493;0,3256209401709402;0,267941268;0,3017948292682927;0,24718468660968662;0,35692029914529916
23, Dec;0,3270967948717949;0,28027539173789173;0,2329862535612536;0,2703418091168091;0,29195569800569804;0,243700488;0,28489317073170733;0,2329862535612536;0,3270967948717949
