"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,31271706484641637;0,2644929692832765;0,21940825938566555;0,2749973378839591;0,24849668941979522;0,279992161;0,24112447454460537;0,21940825938566555;0,31271706484641637
2, Jan;0,2922125597269625;0,25247044368600685;0,212918976109215;0,271053071672355;0,2390322866894198;0,260014046;0,2362951891639421;0,212918976109215;0,2922125597269625
3, Feb;0,2745246757679181;0,24042621160409558;0,2068241638225256;0,24452631399317407;0,22132402730375425;0,249484554;0,2291535263895376;0,2068241638225256;0,2745246757679181
4, Feb;0,264520819112628;0,23063638225255972;0,19856607508532423;0,23463430034129693;0,21354539249146756;0,231868735;0,21771714152265295;0,19856607508532423;0,264520819112628
5, Mar;0,2507480204778157;0,2201944709897611;0,19027679180887372;0,23274952218430037;0,2062190443686007;0,222945684;0,2164218122372723;0,19027679180887372;0,2507480204778157
6, Mar;0,24568474402730378;0,2162073037542662;0,1885209556313993;0,23774750853242324;0,19916;0,224774055;0,20827361046240075;0,1885209556313993;0,24568474402730378
7, Apr;0,2426416723549488;0,21218201365187717;0,1809171672354949;0,2235096928327645;0,1966094539249147;0,215072235;0,20166319476879963;0,1809171672354949;0,2426416723549488
8, Apr;0,24069634812286692;0,2090081228668942;0,180239180887372;0,22268781569965873;0,19244075085324233;0,210509659;0,19523848668846333;0,180239180887372;0,24069634812286692
9, May;0,2381629351535836;0,20329058020477817;0,17414689419795223;0,2185066211604096;0,18267464163822528;0,206423518;0,19192410088743578;0,17414689419795223;0,2381629351535836
10, May;0,23234901023890786;0,19652762798634812;0,16786580204778156;0,20238068259385666;0,19201194539249147;0,200689687;0,18881508640822048;0,16786580204778156;0,23234901023890786
11, Jun;0,2528063822525597;0,195449590443686;0,15398392491467577;0,18411795221843005;0,21280307167235496;0,220263136;0,18183297524521252;0,15398392491467577;0,2528063822525597
12, Jun;0,30482303754266216;0,2077608020477816;0,15857986348122868;0,19762054607508533;0,2852458020477816;0,24285679;0,1827921531994395;0,15857986348122868;0,30482303754266216
13, Jul;0,4176282593856656;0,2699946757679181;0,16676075085324232;0,3230160409556314;0,3149;0,30154489;0,2536623540401682;0,16676075085324232;0,4176282593856656
14, Jul;0,563170819112628;0,3677101706484642;0,17087928327645052;0,4084986348122867;0,46207750853242324;0,414911619;0,3974083605791687;0,17087928327645052;0,563170819112628
15, Aug;0,6629213651877134;0,4737539249146758;0,22747139931740612;0,5592976450511946;0,5641012627986348;0,492021372;0,50678355908454;0,22747139931740612;0,6629213651877134
16, Aug;0,7002260750853242;0,5698773037542662;0,3660142662116041;0,6296735836177474;0,6359661092150171;0,613925245;0,5940249883232135;0,3660142662116041;0,7002260750853242
17, Sept;0,7079942662116041;0,6130927645051195;0,46989406143344714;0,6827104436860069;0,6513209215017065;0,58594741;0,6727215787015414;0,46989406143344714;0,7079942662116041
18, Sept;0,6754656655290102;0,5958084641638226;0,4896690102389079;0,6154551877133106;0,623418976109215;0,603096454;0,631033815973844;0,4896690102389079;0,6754656655290102
19, Oct;0,6292495563139932;0,5133062457337884;0,3935578156996587;0,5227950170648464;0,45817436860068256;0,481490807;0,6049090144792154;0,3935578156996587;0,6292495563139932
20, Nov;0,5359098976109216;0,42005744027303754;0,31055825938566556;0,39499136518771333;0,4317617064846417;0,369703733;0,4394808033629145;0,31055825938566556;0,5359098976109216
21, Nov;0,4327005802047782;0,3450930716723549;0,27152873720136517;0,3233901023890785;0,3582124232081912;0,312771069;0,33953928070994865;0,27152873720136517;0,4327005802047782
22, Dec;0,3637495563139932;0,30706344709897615;0,24564696245733791;0,3028182252559727;0,3183521501706485;0,277641297;0,3192719290051378;0,24564696245733791;0,3637495563139932
23, Dec;0,3346789419795222;0,2845203412969283;0,2353876791808874;0,2629484982935154;0,280630819112628;0,265357116;0,3000269033162074;0,2353876791808874;0,3346789419795222
