"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,29879143396226415;0,24254303773584907;0,19157977358490566;0,28144580188679247;0,23426414150943398;0,255833072;0,22718188834576797;0,19157977358490566;0,29879143396226415
2, Jan;0,2772505849056604;0,23059328301886794;0,18812981132075474;0,27120090566037736;0,22566183018867925;0,237102749;0,2200539619243633;0,18812981132075474;0,2772505849056604
3, Feb;0,2632352830188679;0,22197975471698114;0,18320509433962265;0,25397880188679245;0,2126723773584906;0,232056255;0,21643143812709031;0,18320509433962265;0,2632352830188679
4, Feb;0,2494763773584906;0,21194022641509433;0,17476215094339623;0,22311267924528302;0,19897565094339623;0,21721468;0,20436026498585028;0,17476215094339623;0,2494763773584906
5, Mar;0,23574886792452832;0,20083250943396228;0,1652210566037736;0,2254102169811321;0,19417112264150946;0,204750616;0,19747824800617444;0,1652210566037736;0,23574886792452832
6, Mar;0,23206967924528304;0,1958534716981132;0,15950943396226416;0,2121544245283019;0,19147898113207548;0,197559389;0,19549908669925392;0,15950943396226416;0,23206967924528304
7, Apr;0,2305513962264151;0,19379626415094342;0,15980318867924528;0,21216294339622643;0,18159069811320755;0,199075417;0,18672860818111653;0,15980318867924528;0,2305513962264151
8, Apr;0,22763015094339623;0,1901394716981132;0,15527777358490566;0,21115657547169814;0,1855462641509434;0,19370551;0,1886988680216105;0,15527777358490566;0,22763015094339623
9, May;0,21982249056603775;0,1854101132075472;0,15202446226415095;0,21762378301886792;0,17561706603773586;0,182531955;0,18100237972729613;0,15202446226415095;0,21982249056603775
10, May;0,23790984905660376;0,18732198113207546;0,1469124245283019;0,21706222641509434;0,20364825471698114;0,179712664;0,17718164394134295;0,1469124245283019;0,23790984905660376
11, Jun;0,28197088679245286;0,19509041509433964;0,13628147169811322;0,21834207547169815;0,2513245188679245;0,19952168;0,19620307435039877;0,13628147169811322;0,28197088679245286
12, Jun;0,3985978490566038;0,23721930188679244;0,15411671698113208;0,2754440849056604;0,315209641509434;0,219697444;0,21695397478775405;0,15411671698113208;0,3985978490566038
13, Jul;0,485304603773585;0,31032452830188684;0,1817820754716981;0,4427643773584906;0,3110892169811321;0,225660339;0,3238418960638024;0,1817820754716981;0,485304603773585
14, Jul;0,5859684905660378;0,4053421886792453;0,19216290566037736;0,4921717830188679;0,4867190377358491;0,372451092;0,4638216233599177;0,19216290566037736;0,5859684905660378
15, Aug;0,6656791698113208;0,5045148679245284;0,23624743396226414;0,6148966226415095;0,6155272641509434;0,486046442;0,5244509776177001;0,23624743396226414;0,6656791698113208
16, Aug;0,7034145660377359;0,5626434339622641;0,3827099245283019;0,6069510943396227;0,6493525094339623;0,566933252;0,5596916259325958;0,3827099245283019;0,7034145660377359
17, Sept;0,6791039245283019;0,5534899245283019;0,4054726037735849;0,6248135943396227;0,6448326728936693;0,54430226;0,5807686221536087;0,4054726037735849;0,6791039245283019
18, Sept;0,5984575849056605;0,48146701886792453;0,35992849056603776;0,5523043113207547;0,5718768301886793;0,508973581;0,46992573671342175;0,35992849056603776;0,5984575849056605
19, Oct;0,5225077735849057;0,39019094339622645;0,2869087924528302;0,3772459528301887;0,45376732729331826;0,38943627;0,3865336036036036;0,2869087924528302;0,5225077735849057
20, Nov;0,44289441509433963;0,3361561886792453;0,24859660377358492;0,3056933113207547;0,3916682045475988;0,324537221;0,30654471314638543;0,24859660377358492;0,44289441509433963
21, Nov;0,38331018867924527;0,2996397735849057;0,22825092452830192;0,2796343490566038;0,31704768867924527;0,292894516;0,29523505273990225;0,22825092452830192;0,38331018867924527
22, Dec;0,34647350943396227;0,2764707735849057;0,214916641509434;0,27395311320754717;0,28955548113207547;0,26365935;0,284585129920247;0,214916641509434;0,34647350943396227
23, Dec;0,32107588679245286;0,2589687358490566;0,20485860377358492;0,2467146886792453;0,28219131132075476;0,252706139;0,26634485464368407;0,20485860377358492;0,32107588679245286
