"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,2967865118356409;0,24720987047789192;0,20276167932112552;0,2662875787578758;0,23852350022553;0,256113857;0,221364724116553;0,20276167932112552;0,2967865118356409
2, Jan;0,27561482804823584;0,23533961589995533;0,19579682894149175;0,25537536036036035;0,22817891891891892;0,232187799;0,21498308550185877;0,19579682894149175;0,27561482804823584
3, Feb;0,2604073214285714;0,22516823660714286;0,19268919642857144;0,2328491023339318;0,21361945945945945;0,225360699;0,20988027210884352;0,19268919642857144;0,2604073214285714
4, Feb;0,24957458686913803;0,2176641134435016;0,18377623939258597;0,22677010820559063;0,20407296446243817;0,211790681;0,20610586781964177;0,18377623939258597;0,24957458686913803
5, Mar;0,23792826475849735;0,20805049194991057;0,17692517889087656;0,22088137651821863;0,1990599550561798;0,202215328;0,19904944444444447;0,17692517889087656;0,23792826475849735
6, Mar;0,23285158552925414;0,20491261723983922;0,17673720410897722;0,22552981981981984;0,1954500900900901;0,206353403;0,193801358863496;0,17673720410897722;0,23285158552925414
7, Apr;0,23012821428571428;0,20101890625000002;0,16737049107142857;0,21030843806104133;0,1925661108607481;0,201195953;0,19159808405438816;0,16737049107142857;0,23012821428571428
8, Apr;0,2264134048257373;0,19778201519213584;0,1668610813226095;0,21007936007210457;0,18888235823582358;0,19902802;0,18515398886827458;0,1668610813226095;0,2264134048257373
9, May;0,22412797140303842;0,1929593833780161;0,16245831099195712;0,20427103603603602;0,1761221322537112;0,193703985;0,18230629241209131;0,16245831099195712;0,22412797140303842
10, May;0,22161179624664878;0,18935067024128688;0,15984655942806078;0,1880842484248425;0,19886426318161335;0,190748498;0,1802471569839308;0,15984655942806078;0,22161179624664878
11, Jun;0,2653129579982127;0,1880269436997319;0,13616201966041108;0,1814348627980207;0,25362105263157897;0,204203311;0,15387711811997526;0,13616201966041108;0,2653129579982127
12, Jun;0,3243915178571429;0,20464982142857144;0,14330263392857145;0,19182841113105925;0,31196995958688817;0,217535684;0,18440006191950467;0,14330263392857145;0,3243915178571429
13, Jul;0,4100371875;0,2608607142857143;0,15682147321428572;0,26953705035971226;0,32826872187218725;0,232878418;0,27197495361781077;0,15682147321428572;0,4100371875
14, Jul;0,513661902635105;0,33750768200089326;0,15467905314872712;0,38123678990081156;0,42942720323741007;0,341240405;0,4244574520717378;0,15467905314872712;0,513661902635105
15, Aug;0,5934265415549598;0,42341210902591603;0,1734659070598749;0,5090055305755395;0,4170352808988764;0,448784365;0,516112909203212;0,1734659070598749;0,5934265415549598
16, Aug;0,6495522554711926;0,5148536846806611;0,30402773559624835;0,5588156545209177;0,5459882194244605;0,519577498;0,5594789343246593;0,30402773559624835;0,6495522554711926
17, Sept;0,6464660267857143;0,5468915178571429;0,43061178571428577;0,5779659019343231;0,5738240090090091;0,498880074;0,5942336222910217;0,43061178571428577;0,6464660267857143
18, Sept;0,6173986607142857;0,5398588392857143;0,4502999553571429;0,5566574898785425;0,5408995499549955;0,534431024;0,5625028447742734;0,4502999553571429;0,6173986607142857
19, Oct;0,5871047321428572;0,48694910714285716;0,3781045982142857;0,5122361587015329;0,4520526648599819;0,445704537;0,5179537128712871;0,3781045982142857;0,5871047321428572
20, Nov;0,5066452593917711;0,3990892665474061;0,2926002236135957;0,3973748874887489;0,4322417681551647;0,363770018;0,3885736679058241;0,2926002236135957;0,5066452593917711
21, Nov;0,4206343903528361;0,33056641357748995;0,25604555605180884;0,32319234579018463;0,36589568539325845;0,306160822;0,3227305315203956;0,25604555605180884;0,4206343903528361
22, Dec;0,3529484821428572;0,2903191517857143;0,22450562500000001;0,2849746174617462;0,31840054029716347;0,267429859;0,301956454601606;0,22450562500000001;0,3529484821428572
23, Dec;0,31949933035714284;0,2662379910714286;0,21313491071428572;0,24914794952681388;0,2877521837010356;0,240817167;0,2778522277227723;0,21313491071428572;0,31949933035714284
