"No. of Observations";"Max";"Mean";"Min";"2023";"2022";"2021";"2020";"Fill [Min-Max] (low)";"Fill [Min-Max] (high)"
1, Jan;0,25833364752301624;0,22189614204296365;0,18664188952213942;0,2335736957474792;0,21767799210872427;0,245582804;0,2229931354916067;0,18664188952213942;0,25833364752301624
2, Jan;0,24946850065760634;0,21584094695309078;0,18337799210872424;0,23262680841736083;0,21597886891714163;0,232076783;0,21992179256594724;0,18337799210872424;0,24946850065760634
3, Feb;0,24501707584392812;0,21091519070583079;0,1821309732573433;0,22134094695309078;0,20683833844804908;0,228297244;0,21622452038369308;0,1821309732573433;0,24501707584392812
4, Feb;0,2327001753616835;0,2044121876370013;0,1755809732573433;0,21397505480052612;0,2019310390179746;0,214704434;0,2103803357314149;0,1755809732573433;0,2327001753616835
5, Mar;0,22744728189390617;0,19752246821569489;0,16969362121876372;0,20823022797018853;0,19281948706707586;0,210880348;0,20534616306954437;0,16969362121876372;0,22744728189390617
6, Mar;0,21916163963174046;0,19369055238930294;0,16533480929416922;0,2048988818241614;0,19158965139223855;0,208427621;0,20017224220623503;0,16533480929416922;0,21916163963174046
7, Apr;0,21309287593160894;0,18758991670320035;0,16217781674704076;0,20096238491889523;0,1845485858364394;0,203832504;0,19147395083932855;0,16217781674704076;0,21309287593160894
8, Apr;0,21173752740026303;0,18397474791758;0,15914820254274442;0,19722771322078494;0,18341111598333698;0,203782115;0,1883371103117506;0,15914820254274442;0,21173752740026303
9, May;0,20613318719859713;0,17888763700131521;0,15426361245067954;0,19212152564664622;0,1745191801841298;0,191515788;0,18366300959232615;0,15426361245067954;0,20613318719859713
10, May;0,19760344147303815;0,17520917360806665;0,15502435335379222;0,18142599736957477;0,1780271810609382;0,190460006;0,17804577338129496;0,15502435335379222;0,19760344147303815
11, Jun;0,20204320473476547;0,171042525208242;0,1419102367382727;0,17771087480815612;0,17342430951337134;0,188387238;0,1471271282973621;0,1419102367382727;0,20204320473476547
12, Jun;0,24621431389741344;0,1798693774660237;0,14881595791319596;0,18046593599298555;0,17962987724682158;0,208416028;0,16849532233883058;0,14881595791319596;0,24621431389741344
13, Jul;0,34894147303814116;0,2083807321350285;0,15019958351600177;0,23699208680403333;0,1805869136343709;0,196726962;0,22742574940047963;0,15019958351600177;0,34894147303814116
14, Jul;0,45101657167908815;0,2703810390179746;0,1489750109601052;0,23234279763209825;0,23974405962297238;0,242930857;0,3243675959232614;0,1489750109601052;0,45101657167908815
15, Aug;0,5487523454625164;0,34476453309951777;0,17366685664182377;0,32488976326172736;0,3844840201665936;0,347242001;0,39846516786570746;0,17366685664182377;0,5487523454625164
16, Aug;0,6134750548005261;0,44784918895221393;0,24602886891714162;0,48432967996492765;0,5442705173169662;0,432168185;0,522267206235012;0,24602886891714162;0,6134750548005261
17, Sept;0,6104405085488821;0,48716028057869354;0,35115881192459447;0,5844070802279702;0,5464026961858834;0,452400989;0,5749915742128936;0,35115881192459447;0,6104405085488821
18, Sept;0,5767987724682158;0,448369092503288;0,32413798772468216;0,4720289785181938;0,5137949802718107;0,41017828;0,49791471822541966;0,32413798772468216;0,5767987724682158
19, Oct;0,4898106970626918;0,3555070144673389;0,25727395879000436;0,4284181718544498;0,3629704824561404;0,338248592;0,4205175112443778;0,25727395879000436;0,4898106970626918
20, Nov;0,385858483121438;0,29338437088996056;0,22889500219202105;0,3102366725120561;0,33263871109162646;0,274574955;0,2919643285371703;0,22889500219202105;0,385858483121438
21, Nov;0,3187306225339763;0,26309348969750107;0,2161308417360807;0,26949384042086805;0,286433896075422;0,250673038;0,277930845323741;0,2161308417360807;0,3187306225339763
22, Dec;0,2889254274441035;0,24499697501096013;0,2036650811047786;0,24746961858833844;0,26395723366944324;0,23126459;0,2700330335731415;0,2036650811047786;0,2889254274441035
23, Dec;0,27140670758439284;0,2345254493643139;0,19553621218763703;0,2318882043411533;0,24339868478737395;0,231429599;0,25349604316546764;0,19553621218763703;0,27140670758439284
